#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718251.1         -           3311 1275at5820           -           1790         0 2810.8 210.0   1  12   4.7e-10     3e-06   23.3   0.2     1    26    35    60    35    66 0.93 | transcript=PVPAM_030025100_t1 | gene=PVPAM_030025100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=CASCJQ010000003:817627-828236(-) | protein_length=3311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718251.1         -           3311 1275at5820           -           1790         0 2810.8 210.0   2  12   1.6e-17     1e-13   48.0   0.4    27    75   207   258   202   261 0.88 | transcript=PVPAM_030025100_t1 | gene=PVPAM_030025100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=CASCJQ010000003:817627-828236(-) | protein_length=3311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718251.1         -           3311 1275at5820           -           1790         0 2810.8 210.0   3  12   1.9e-82   1.2e-78  263.3  11.3    75   259   410   610   379   622 0.91 | transcript=PVPAM_030025100_t1 | gene=PVPAM_030025100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=CASCJQ010000003:817627-828236(-) | protein_length=3311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718251.1         -           3311 1275at5820           -           1790         0 2810.8 210.0   4  12  3.3e-113  2.1e-109  365.3  17.7   258   471   782  1000   778  1010 0.97 | transcript=PVPAM_030025100_t1 | gene=PVPAM_030025100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=CASCJQ010000003:817627-828236(-) | protein_length=3311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718251.1         -           3311 1275at5820           -           1790         0 2810.8 210.0   5  12  9.4e-117    6e-113  377.1  18.1   470   719  1041  1330  1038  1354 0.87 | transcript=PVPAM_030025100_t1 | gene=PVPAM_030025100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=CASCJQ010000003:817627-828236(-) | protein_length=3311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718251.1         -           3311 1275at5820           -           1790         0 2810.8 210.0   6  12   2.1e-74   1.4e-70  236.6  10.4   686   841  1446  1605  1418  1617 0.85 | transcript=PVPAM_030025100_t1 | gene=PVPAM_030025100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=CASCJQ010000003:817627-828236(-) | protein_length=3311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718251.1         -           3311 1275at5820           -           1790         0 2810.8 210.0   7  12    3e-133  1.9e-129  431.8  11.1   825  1060  1826  2062  1822  2071 0.93 | transcript=PVPAM_030025100_t1 | gene=PVPAM_030025100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=CASCJQ010000003:817627-828236(-) | protein_length=3311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718251.1         -           3311 1275at5820           -           1790         0 2810.8 210.0   8  12    0.0001      0.66    5.6   0.0  1060  1089  2124  2154  2120  2170 0.84 | transcript=PVPAM_030025100_t1 | gene=PVPAM_030025100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=CASCJQ010000003:817627-828236(-) | protein_length=3311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718251.1         -           3311 1275at5820           -           1790         0 2810.8 210.0   9  12     1e-88   6.5e-85  284.1  14.5  1085  1265  2274  2467  2251  2473 0.89 | transcript=PVPAM_030025100_t1 | gene=PVPAM_030025100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=CASCJQ010000003:817627-828236(-) | protein_length=3311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718251.1         -           3311 1275at5820           -           1790         0 2810.8 210.0  10  12   9.4e-65   6.1e-61  204.6  22.4  1262  1438  2619  2857  2615  2864 0.83 | transcript=PVPAM_030025100_t1 | gene=PVPAM_030025100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=CASCJQ010000003:817627-828236(-) | protein_length=3311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718251.1         -           3311 1275at5820           -           1790         0 2810.8 210.0  11  12   1.1e-59   7.3e-56  187.8   8.9  1438  1547  2889  2998  2885  3002 0.98 | transcript=PVPAM_030025100_t1 | gene=PVPAM_030025100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=CASCJQ010000003:817627-828236(-) | protein_length=3311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718251.1         -           3311 1275at5820           -           1790         0 2810.8 210.0  12  12  2.2e-134  1.4e-130  435.5  17.9  1556  1790  3070  3311  3051  3311 0.95 | transcript=PVPAM_030025100_t1 | gene=PVPAM_030025100 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 6, putative | transcript_product=bromodomain protein 6, putative | location=CASCJQ010000003:817627-828236(-) | protein_length=3311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1275at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1275at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1275at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:49 2026
# [ok]
