#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720418.1         -            394 9916at5820           -            296  2.8e-155  514.5  46.4   1   3   5.9e-47   4.2e-44  149.5   0.1     1    76     1    76     1    84 0.98 | transcript=PVPAM_090018300_t1 | gene=PVPAM_090018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=CASCJQ010000009:661936-663642(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720418.1         -            394 9916at5820           -            296  2.8e-155  514.5  46.4   2   3   2.7e-64   1.9e-61  206.5  26.7    68   207   110   275    95   281 0.85 | transcript=PVPAM_090018300_t1 | gene=PVPAM_090018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=CASCJQ010000009:661936-663642(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720418.1         -            394 9916at5820           -            296  2.8e-155  514.5  46.4   3   3   6.6e-51   4.7e-48  162.5   7.3   200   296   291   394   289   394 0.96 | transcript=PVPAM_090018300_t1 | gene=PVPAM_090018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=CASCJQ010000009:661936-663642(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 9916at5820           -            296   1.5e-41  141.1   3.6   1   4   4.3e-12   3.1e-09   35.1   0.0     6    72     4    70     1    79 0.94 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 9916at5820           -            296   1.5e-41  141.1   3.6   2   4   4.5e-12   3.3e-09   35.0   0.0     5    72    79   146    75   153 0.94 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 9916at5820           -            296   1.5e-41  141.1   3.6   3   4     5e-12   3.6e-09   34.9   0.0     6    72   156   222   152   227 0.94 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 9916at5820           -            296   1.5e-41  141.1   3.6   4   4   5.2e-12   3.7e-09   34.8   0.0     6    72   232   298   228   302 0.94 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720605.1         -            869 9916at5820           -            296   1.7e-09   35.9  14.1   1   3   7.9e-10   5.7e-07   27.6   2.4     5   175   145   318   141   334 0.76 | transcript=PVPAM_090036900_t1 | gene=PVPAM_090036900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000009:1412950-1415559(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720605.1         -            869 9916at5820           -            296   1.7e-09   35.9  14.1   2   3       8.9   6.4e+03   -5.4   2.0    95   133   480   518   466   521 0.61 | transcript=PVPAM_090036900_t1 | gene=PVPAM_090036900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000009:1412950-1415559(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720605.1         -            869 9916at5820           -            296   1.7e-09   35.9  14.1   3   3   1.4e-06   0.00099   17.0   0.0   252   291   822   861   809   864 0.89 | transcript=PVPAM_090036900_t1 | gene=PVPAM_090036900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein, putative | transcript_product=ubiquitin-like protein, putative | location=CASCJQ010000009:1412950-1415559(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721198.1         -            128 9916at5820           -            296   9.3e-09   33.5   0.0   1   1   1.4e-11     1e-08   33.3   0.0     6    73     4    71     1    92 0.92 | transcript=PVPAM_110010000_t1 | gene=PVPAM_110010000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=CASCJQ010000011:198390-199196(+) | protein_length=128 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
