#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722728.1         -           1539 1149at5820           -            799         0 1363.9 124.4   1   5  2.7e-289  5.9e-286  949.7  60.4     1   444    66   516    66   560 0.96 | transcript=PVPAM_130022900_t1 | gene=PVPAM_130022900 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000013:808959-813578(+) | protein_length=1539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722728.1         -           1539 1149at5820           -            799         0 1363.9 124.4   2   5   3.2e-37   6.8e-34  116.0  22.3   452   568   740   882   720   893 0.78 | transcript=PVPAM_130022900_t1 | gene=PVPAM_130022900 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000013:808959-813578(+) | protein_length=1539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722728.1         -           1539 1149at5820           -            799         0 1363.9 124.4   3   5   2.2e-15   4.7e-12   43.8   2.1   574   629  1038  1103  1028  1142 0.75 | transcript=PVPAM_130022900_t1 | gene=PVPAM_130022900 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000013:808959-813578(+) | protein_length=1539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722728.1         -           1539 1149at5820           -            799         0 1363.9 124.4   4   5   5.4e-40   1.2e-36  125.2   6.7   626   711  1266  1351  1171  1363 0.85 | transcript=PVPAM_130022900_t1 | gene=PVPAM_130022900 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000013:808959-813578(+) | protein_length=1539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722728.1         -           1539 1149at5820           -            799         0 1363.9 124.4   5   5   3.1e-48   6.8e-45  152.4   1.8   708   799  1438  1539  1422  1539 0.93 | transcript=PVPAM_130022900_t1 | gene=PVPAM_130022900 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000013:808959-813578(+) | protein_length=1539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1149at5820           -            799     3e-62  209.8  51.3   1   5   7.7e-42   1.7e-38  131.3  27.1     3   221    22   251    20   273 0.84 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1149at5820           -            799     3e-62  209.8  51.3   2   5   8.9e-31   1.9e-27   94.7  16.2   244   434   500   674   485   721 0.82 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1149at5820           -            799     3e-62  209.8  51.3   3   5       1.6   3.4e+03   -5.4   2.1   600   631  1248  1279  1199  1337 0.50 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1149at5820           -            799     3e-62  209.8  51.3   4   5       0.7   1.5e+03   -4.2   2.2   446   534  1618  1682  1575  1700 0.53 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723653.1         -           2146 1149at5820           -            799     3e-62  209.8  51.3   5   5    0.0079        17    2.3   0.1   759   798  2106  2144  2070  2145 0.79 | transcript=PVPAM_140057700_t1 | gene=PVPAM_140057700 | organism=Plasmodium_vivax_PAM | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=CASCJQ010000014:2271484-2278396(-) | protein_length=2146 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721043.1         -            143 1149at5820           -            799       1.2    6.1   7.6   1   2     0.081   1.8e+02   -1.1   1.6   482   512    48    78    18   110 0.54 | transcript=PVPAM_100031100_t1 | gene=PVPAM_100031100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000010:1135167-1135857(+) | protein_length=143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
