#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721474.1         -            153 14675at5820          -            104     1e-59  198.0   4.5   1   2       1.2   2.9e+02    0.5   0.5     1     9     1     9     1    59 0.74 | transcript=PVPAM_110037900_t1 | gene=PVPAM_110037900 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=CASCJQ010000011:1378019-1379455(-) | protein_length=153 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721474.1         -            153 14675at5820          -            104     1e-59  198.0   4.5   2   2   4.2e-62     1e-59  198.0   4.5    11   104    60   153    38   153 0.96 | transcript=PVPAM_110037900_t1 | gene=PVPAM_110037900 | organism=Plasmodium_vivax_PAM | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=CASCJQ010000011:1378019-1379455(-) | protein_length=153 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14675at5820          -            104   3.3e-14   51.7   4.9   1   4   9.7e-06    0.0023   16.9   0.0    16    89    20    94    15   102 0.87 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14675at5820          -            104   3.3e-14   51.7   4.9   2   4   3.1e-05    0.0074   15.3   0.3    14    83   106   175    97   192 0.89 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14675at5820          -            104   3.3e-14   51.7   4.9   3   4       1.5   3.5e+02    0.3   0.1    16    77   197   256   178   261 0.75 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723581.1         -            883 14675at5820          -            104   3.3e-14   51.7   4.9   4   4   4.7e-06    0.0011   17.9   0.0    13    91   450   528   440   539 0.88 | transcript=PVPAM_140050500_t1 | gene=PVPAM_140050500 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=CASCJQ010000014:1969494-1972145(+) | protein_length=883 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 14675at5820          -            104   2.3e-11   42.6   0.5   1   2     3e-06   0.00072   18.5   0.0    13    88    22    97    13   113 0.86 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719963.1         -            250 14675at5820          -            104   2.3e-11   42.6   0.5   2   2   2.2e-07   5.4e-05   22.1   0.1     3    85   163   245   161   249 0.93 | transcript=PVPAM_080018600_t1 | gene=PVPAM_080018600 | organism=Plasmodium_vivax_PAM | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=CASCJQ010000008:638144-639816(+) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 14675at5820          -            104   6.1e-07   28.4   1.9   1   3    0.0051       1.2    8.2   0.0     7    48    14    56     9    73 0.85 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 14675at5820          -            104   6.1e-07   28.4   1.9   2   3   2.1e-06    0.0005   19.0   0.4    11    86   106   181    97   199 0.87 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722937.1         -            479 14675at5820          -            104   6.1e-07   28.4   1.9   3   3       3.1   7.5e+02   -0.8   0.1    41    78   177   215   159   236 0.65 | transcript=PVPAM_130043900_t1 | gene=PVPAM_130043900 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=CASCJQ010000013:1690833-1692526(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
