#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719932.1         -            286 11400at5820          -            224  3.7e-125  414.3  46.4   1   3  2.4e-114  1.5e-111  369.8  35.3     1   193    11   213    11   222 0.95 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719932.1         -            286 11400at5820          -            224  3.7e-125  414.3  46.4   2   3   1.1e-05     0.007   14.4   1.2   179   200   218   239   210   245 0.77 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719932.1         -            286 11400at5820          -            224  3.7e-125  414.3  46.4   3   3   7.8e-13     5e-10   37.8   0.2   184   224   246   286   242   286 0.89 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720263.1         -            869 11400at5820          -            224   2.1e-40  137.1  29.6   1   3   3.3e-43   2.1e-40  137.1  29.6    12   145    69   202    59   288 0.81 | transcript=PVPAM_080048600_t1 | gene=PVPAM_080048600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=CASCJQ010000008:1887398-1890737(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720263.1         -            869 11400at5820          -            224   2.1e-40  137.1  29.6   2   3      0.19   1.2e+02    0.5  10.8    54   120   388   451   361   504 0.64 | transcript=PVPAM_080048600_t1 | gene=PVPAM_080048600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=CASCJQ010000008:1887398-1890737(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720263.1         -            869 11400at5820          -            224   2.1e-40  137.1  29.6   3   3      0.51   3.3e+02   -0.9   0.1   119   157   768   806   756   835 0.68 | transcript=PVPAM_080048600_t1 | gene=PVPAM_080048600 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=CASCJQ010000008:1887398-1890737(+) | protein_length=869 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 11400at5820          -            224   4.3e-13   47.8  67.9   1   4   1.6e-08     1e-05   23.7  10.5    47    93    93   137    88   141 0.87 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 11400at5820          -            224   4.3e-13   47.8  67.9   2   4   6.2e-11     4e-08   31.5  33.0    46   146   128   236   128   243 0.79 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 11400at5820          -            224   4.3e-13   47.8  67.9   3   4   6.3e-06    0.0041   15.2  27.7    28   126   168   264   168   265 0.72 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 11400at5820          -            224   4.3e-13   47.8  67.9   4   4      0.11        74    1.2  14.7    44    95   244   293   233   334 0.76 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720876.1         -            301 11400at5820          -            224   4.3e-12   44.5  48.8   1   2   1.5e-13   9.4e-11   40.1  22.6    45   125    39   117    29   117 0.89 | transcript=PVPAM_100014400_t1 | gene=PVPAM_100014400 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=CASCJQ010000010:410217-411122(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
