#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718197.1         -           1309 3245at5820           -            805    1e-269  895.6  13.4   1  12   7.4e-25   4.8e-21   73.2   0.0     4    64    11    71     8    76 0.95 | transcript=PVPAM_030019700_t1 | gene=PVPAM_030019700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:640839-644768(-) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718197.1         -           1309 3245at5820           -            805    1e-269  895.6  13.4   2  12   1.7e-07    0.0011   15.7   0.1    64    88   107   131   101   137 0.86 | transcript=PVPAM_030019700_t1 | gene=PVPAM_030019700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:640839-644768(-) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718197.1         -           1309 3245at5820           -            805    1e-269  895.6  13.4   3  12   3.1e-34     2e-30  104.2   0.0    88   193   165   283   149   288 0.83 | transcript=PVPAM_030019700_t1 | gene=PVPAM_030019700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:640839-644768(-) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718197.1         -           1309 3245at5820           -            805    1e-269  895.6  13.4   4  12     9e-11   5.8e-07   26.6   0.0   193   234   350   392   346   407 0.92 | transcript=PVPAM_030019700_t1 | gene=PVPAM_030019700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:640839-644768(-) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718197.1         -           1309 3245at5820           -            805    1e-269  895.6  13.4   5  12   1.2e-05     0.076    9.6   0.1   234   254   424   444   409   447 0.86 | transcript=PVPAM_030019700_t1 | gene=PVPAM_030019700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:640839-644768(-) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718197.1         -           1309 3245at5820           -            805    1e-269  895.6  13.4   6  12   1.4e-41   8.8e-38  128.5   0.5   256   363   474   587   471   590 0.91 | transcript=PVPAM_030019700_t1 | gene=PVPAM_030019700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:640839-644768(-) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718197.1         -           1309 3245at5820           -            805    1e-269  895.6  13.4   7  12   1.1e-34   7.1e-31  105.7   0.0   361   455   608   706   601   714 0.91 | transcript=PVPAM_030019700_t1 | gene=PVPAM_030019700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:640839-644768(-) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718197.1         -           1309 3245at5820           -            805    1e-269  895.6  13.4   8  12   1.9e-52   1.3e-48  164.4   0.0   451   572   747   886   745   893 0.87 | transcript=PVPAM_030019700_t1 | gene=PVPAM_030019700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:640839-644768(-) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718197.1         -           1309 3245at5820           -            805    1e-269  895.6  13.4   9  12   1.3e-15   8.6e-12   42.5   0.0   570   618   924   972   914   983 0.90 | transcript=PVPAM_030019700_t1 | gene=PVPAM_030019700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:640839-644768(-) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718197.1         -           1309 3245at5820           -            805    1e-269  895.6  13.4  10  12     0.047     3e+02   -2.3   0.0   616   636  1007  1027  1000  1030 0.83 | transcript=PVPAM_030019700_t1 | gene=PVPAM_030019700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:640839-644768(-) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718197.1         -           1309 3245at5820           -            805    1e-269  895.6  13.4  11  12   1.4e-23   8.8e-20   69.0   0.0   638   697  1101  1160  1098  1164 0.95 | transcript=PVPAM_030019700_t1 | gene=PVPAM_030019700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:640839-644768(-) | protein_length=1309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
