#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719534.1         -           1353 1468at5820           -            858         0 1710.4  60.1   1   4  3.9e-281  8.5e-278  922.5  24.0     1   443     1   483     1   488 0.95 | transcript=PVPAM_070014800_t1 | gene=PVPAM_070014800 | organism=Plasmodium_vivax_PAM | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=CASCJQ010000007:501837-505898(+) | protein_length=1353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719534.1         -           1353 1468at5820           -            858         0 1710.4  60.1   2   4   6.9e-22   1.5e-18   64.9   0.1   433   484   549   600   542   618 0.88 | transcript=PVPAM_070014800_t1 | gene=PVPAM_070014800 | organism=Plasmodium_vivax_PAM | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=CASCJQ010000007:501837-505898(+) | protein_length=1353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719534.1         -           1353 1468at5820           -            858         0 1710.4  60.1   3   4  6.1e-153  1.3e-149  498.4  10.1   480   719   655   895   650   912 0.97 | transcript=PVPAM_070014800_t1 | gene=PVPAM_070014800 | organism=Plasmodium_vivax_PAM | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=CASCJQ010000007:501837-505898(+) | protein_length=1353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719534.1         -           1353 1468at5820           -            858         0 1710.4  60.1   4   4   8.1e-73   1.7e-69  233.4   5.9   716   839   952  1075   944  1084 0.96 | transcript=PVPAM_070014800_t1 | gene=PVPAM_070014800 | organism=Plasmodium_vivax_PAM | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=CASCJQ010000007:501837-505898(+) | protein_length=1353 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720353.1         -            657 1468at5820           -            858     1e-78  263.9  33.4   1   4     0.026        57    0.1   0.1     2    19    58    75    57    87 0.83 | transcript=PVPAM_090011800_t1 | gene=PVPAM_090011800 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exoribonuclease 1, putative | transcript_product=5'-3' exoribonuclease 1, putative | location=CASCJQ010000009:388297-391470(-) | protein_length=657 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720353.1         -            657 1468at5820           -            858     1e-78  263.9  33.4   2   4   7.7e-46   1.7e-42  144.1   2.5    60   266    85   275    66   288 0.89 | transcript=PVPAM_090011800_t1 | gene=PVPAM_090011800 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exoribonuclease 1, putative | transcript_product=5'-3' exoribonuclease 1, putative | location=CASCJQ010000009:388297-391470(-) | protein_length=657 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720353.1         -            657 1468at5820           -            858     1e-78  263.9  33.4   3   4   1.3e-14   2.7e-11   40.8   7.0   292   415   346   476   337   493 0.75 | transcript=PVPAM_090011800_t1 | gene=PVPAM_090011800 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exoribonuclease 1, putative | transcript_product=5'-3' exoribonuclease 1, putative | location=CASCJQ010000009:388297-391470(-) | protein_length=657 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720353.1         -            657 1468at5820           -            858     1e-78  263.9  33.4   4   4   2.4e-29   5.2e-26   89.5   6.8   525   672   488   635   475   649 0.83 | transcript=PVPAM_090011800_t1 | gene=PVPAM_090011800 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exoribonuclease 1, putative | transcript_product=5'-3' exoribonuclease 1, putative | location=CASCJQ010000009:388297-391470(-) | protein_length=657 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718570.1         -            975 1468at5820           -            858   6.2e-12   42.9   1.5   1   3   6.6e-07    0.0014   15.3   0.2    59   133    93   162    22   168 0.85 | transcript=PVPAM_040031400_t1 | gene=PVPAM_040031400 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=CASCJQ010000004:1093533-1096460(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718570.1         -            975 1468at5820           -            858   6.2e-12   42.9   1.5   2   3   1.9e-08     4e-05   20.4   0.0   163   250   170   262   161   273 0.81 | transcript=PVPAM_040031400_t1 | gene=PVPAM_040031400 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=CASCJQ010000004:1093533-1096460(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718570.1         -            975 1468at5820           -            858   6.2e-12   42.9   1.5   3   3    0.0013       2.8    4.4   0.1   549   580   667   699   627   704 0.76 | transcript=PVPAM_040031400_t1 | gene=PVPAM_040031400 | organism=Plasmodium_vivax_PAM | gene_product=5'-3' exonuclease, putative | transcript_product=5'-3' exonuclease, putative | location=CASCJQ010000004:1093533-1096460(+) | protein_length=975 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1468at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1468at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1468at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:11 2026
# [ok]
