#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720517.1         -            547 5094at5820           -            473         0 1057.4   8.8   1   2   1.8e-07   9.5e-05   19.7   0.7     1    20     1    20     1    24 0.92 | transcript=PVPAM_090028200_t1 | gene=PVPAM_090028200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=CASCJQ010000009:1083019-1084861(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720517.1         -            547 5094at5820           -            473         0 1057.4   8.8   2   2         0         0 1041.9   2.1    22   472    96   546    79   547 0.99 | transcript=PVPAM_090028200_t1 | gene=PVPAM_090028200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=CASCJQ010000009:1083019-1084861(+) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721286.1         -            443 5094at5820           -            473   2.9e-91  305.0   0.9   1   1   7.1e-94   3.8e-91  304.6   0.9    35   469     5   425     2   430 0.94 | transcript=PVPAM_110018800_t1 | gene=PVPAM_110018800 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:582675-584006(-) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721287.1         -            443 5094at5820           -            473   2.9e-91  305.0   0.9   1   1   7.1e-94   3.8e-91  304.6   0.9    35   469     5   425     2   430 0.94 | transcript=PVPAM_110018900_t1 | gene=PVPAM_110018900 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=CASCJQ010000011:585419-586750(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 5094at5820           -            473   5.6e-23   79.8   3.8   1   2   2.4e-22   1.3e-19   68.7   3.0    34   358    69   359    50   373 0.79 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722048.1         -            456 5094at5820           -            473   5.6e-23   79.8   3.8   2   2      0.29   1.6e+02   -0.8   0.0   452   469   436   453   411   455 0.84 | transcript=PVPAM_120028600_t1 | gene=PVPAM_120028600 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000012:912230-913600(+) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723907.1         -            409 5094at5820           -            473   1.2e-19   68.8  16.2   1   2   1.6e-21   8.6e-19   66.0  13.4    32   397     7   347     2   365 0.80 | transcript=PVPAM_API0007200_t1 | gene=PVPAM_API0007200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000015:9513-10742(+) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723907.1         -            409 5094at5820           -            473   1.2e-19   68.8  16.2   2   2       1.5   8.2e+02   -3.2   0.0   452   469   388   405   376   407 0.79 | transcript=PVPAM_API0007200_t1 | gene=PVPAM_API0007200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000015:9513-10742(+) | protein_length=409 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719758.1         -            845 5094at5820           -            473   8.5e-18   62.7   0.1   1   2   1.2e-13   6.5e-11   40.0   0.0    36   103   128   190   102   203 0.86 | transcript=PVPAM_070037200_t1 | gene=PVPAM_070037200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000007:1364224-1366761(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719758.1         -            845 5094at5820           -            473   8.5e-18   62.7   0.1   2   2   1.5e-07   7.9e-05   20.0   0.0   115   210   267   356   259   384 0.84 | transcript=PVPAM_070037200_t1 | gene=PVPAM_070037200 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor Tu, putative | transcript_product=elongation factor Tu, putative | location=CASCJQ010000007:1364224-1366761(-) | protein_length=845 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 5094at5820           -            473   9.8e-07   26.3   2.4   1   3       2.8   1.5e+03   -4.0   0.1   200   222   390   412   377   413 0.76 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 5094at5820           -            473   9.8e-07   26.3   2.4   2   3   4.4e-09   2.4e-06   25.0   0.1    86   168   785   870   767   903 0.84 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 5094at5820           -            473   9.8e-07   26.3   2.4   3   3      0.14        76    0.2   0.0   281   331   979  1028   956  1053 0.72 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723669.1         -            775 5094at5820           -            473   0.00043   17.6   0.1   1   1   1.8e-06   0.00099   16.3   0.1    39   152    43   150    34   176 0.79 | transcript=PVPAM_140059300_t1 | gene=PVPAM_140059300 | organism=Plasmodium_vivax_PAM | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=CASCJQ010000014:2342075-2344402(-) | protein_length=775 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723290.1         -           1066 5094at5820           -            473   0.00043   17.5   0.0   1   1   1.5e-06   0.00081   16.6   0.0   104   236   241   367   231   371 0.82 | transcript=PVPAM_140020900_t1 | gene=PVPAM_140020900 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000014:701480-704680(+) | protein_length=1066 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 5094at5820           -            473    0.0012   16.1   3.0   1   3   3.4e-06    0.0018   15.5   0.1    36   155    24   130    17   144 0.83 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 5094at5820           -            473    0.0012   16.1   3.0   2   3      0.78   4.2e+02   -2.2   0.0   252   352   420   520   413   533 0.68 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723694.1         -           1101 5094at5820           -            473    0.0012   16.1   3.0   3   3      0.98   5.3e+02   -2.5   0.1   410   436   940   966   926   972 0.80 | transcript=PVPAM_140061800_t1 | gene=PVPAM_140061800 | organism=Plasmodium_vivax_PAM | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=CASCJQ010000014:2456022-2459327(-) | protein_length=1101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 5094at5820           -            473    0.0078   13.4   0.1   1   3     0.087        47    0.9   0.0    38    61     4    27     2    42 0.81 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 5094at5820           -            473    0.0078   13.4   0.1   2   3   0.00039      0.21    8.7   0.0   117   197   122   194   115   224 0.76 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717892.1         -            770 5094at5820           -            473    0.0078   13.4   0.1   3   3       0.4   2.1e+02   -1.2   0.0   285   374   366   457   342   469 0.67 | transcript=PVPAM_020012400_t1 | gene=PVPAM_020012400 | organism=Plasmodium_vivax_PAM | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=CASCJQ010000002:347732-350044(+) | protein_length=770 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723026.1         -            465 5094at5820           -            473     0.011   12.9   0.4   1   2     0.032        17    2.4   0.0    24    57    21    55    10    74 0.80 | transcript=PVPAM_130053200_t1 | gene=PVPAM_130053200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=CASCJQ010000013:2118437-2119834(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723026.1         -            465 5094at5820           -            473     0.011   12.9   0.4   2   2   0.00045      0.24    8.5   0.1   115   184   122   185   111   335 0.74 | transcript=PVPAM_130053200_t1 | gene=PVPAM_130053200 | organism=Plasmodium_vivax_PAM | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=CASCJQ010000013:2118437-2119834(-) | protein_length=465 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5094at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5094at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5094at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:17 2026
# [ok]
