#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720934.1         -            701 5024at5820           -            513  1.6e-268  890.1  63.4   1   2    6e-116  6.5e-113  376.7  31.5     9   257    68   315    54   334 0.77 | transcript=PVPAM_100020200_t1 | gene=PVPAM_100020200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000010:667839-670743(-) | protein_length=701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720934.1         -            701 5024at5820           -            513  1.6e-268  890.1  63.4   2   2  3.8e-158  4.1e-155  515.9  25.5   198   513   365   701   318   701 0.81 | transcript=PVPAM_100020200_t1 | gene=PVPAM_100020200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000010:667839-670743(-) | protein_length=701 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722336.1         -            411 5024at5820           -            513   5.9e-12   43.6   4.0   1   6     0.023        25    1.9   0.1   157   177    52    72     8    78 0.68 | transcript=PVPAM_120057200_t1 | gene=PVPAM_120057200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000012:2117673-2120639(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722336.1         -            411 5024at5820           -            513   5.9e-12   43.6   4.0   2   6   1.9e-13   2.1e-10   38.5   0.6   277   357    88   170    80   172 0.82 | transcript=PVPAM_120057200_t1 | gene=PVPAM_120057200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000012:2117673-2120639(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722336.1         -            411 5024at5820           -            513   5.9e-12   43.6   4.0   3   6     0.081        87    0.1   0.0   391   408   178   195   176   212 0.84 | transcript=PVPAM_120057200_t1 | gene=PVPAM_120057200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000012:2117673-2120639(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722336.1         -            411 5024at5820           -            513   5.9e-12   43.6   4.0   4   6   4.6e-06     0.005   14.1   0.1   458   513   222   279   213   279 0.85 | transcript=PVPAM_120057200_t1 | gene=PVPAM_120057200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000012:2117673-2120639(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722336.1         -            411 5024at5820           -            513   5.9e-12   43.6   4.0   5   6       1.4   1.5e+03   -3.9   2.4    55    77   306   330   296   371 0.73 | transcript=PVPAM_120057200_t1 | gene=PVPAM_120057200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000012:2117673-2120639(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722336.1         -            411 5024at5820           -            513   5.9e-12   43.6   4.0   6   6       0.3   3.3e+02   -1.8   0.1   373   413   350   388   343   408 0.70 | transcript=PVPAM_120057200_t1 | gene=PVPAM_120057200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=CASCJQ010000012:2117673-2120639(+) | protein_length=411 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723829.1         -           1106 5024at5820           -            513   1.7e-08   32.2  11.9   1   4      0.37     4e+02   -2.1   0.7    47    73   515   540   508   548 0.75 | transcript=PVPAM_140075200_t1 | gene=PVPAM_140075200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=CASCJQ010000014:2948173-2951726(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723829.1         -           1106 5024at5820           -            513   1.7e-08   32.2  11.9   2   4    0.0001      0.11    9.7   0.3   155   195   801   842   784   876 0.75 | transcript=PVPAM_140075200_t1 | gene=PVPAM_140075200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=CASCJQ010000014:2948173-2951726(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723829.1         -           1106 5024at5820           -            513   1.7e-08   32.2  11.9   3   4   0.00012      0.13    9.4   1.3   275   372   865   965   837   999 0.69 | transcript=PVPAM_140075200_t1 | gene=PVPAM_140075200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=CASCJQ010000014:2948173-2951726(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723829.1         -           1106 5024at5820           -            513   1.7e-08   32.2  11.9   4   4   1.8e-07   0.00019   18.8   0.0   456   513  1013  1071   999  1071 0.88 | transcript=PVPAM_140075200_t1 | gene=PVPAM_140075200 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=CASCJQ010000014:2948173-2951726(+) | protein_length=1106 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723454.1         -            303 5024at5820           -            513   3.4e-06   24.6   1.8   1   3     0.028        30    1.6   0.1   153   182    52    81    12   101 0.72 | transcript=PVPAM_140037600_t1 | gene=PVPAM_140037600 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=CASCJQ010000014:1400671-1403169(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723454.1         -            303 5024at5820           -            513   3.4e-06   24.6   1.8   2   3     6e-08   6.4e-05   20.4   0.1   279   356   109   186    75   189 0.83 | transcript=PVPAM_140037600_t1 | gene=PVPAM_140037600 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=CASCJQ010000014:1400671-1403169(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723454.1         -            303 5024at5820           -            513   3.4e-06   24.6   1.8   3   3     0.063        68    0.5   0.0   484   512   271   300   228   301 0.77 | transcript=PVPAM_140037600_t1 | gene=PVPAM_140037600 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=CASCJQ010000014:1400671-1403169(+) | protein_length=303 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720636.1         -            852 5024at5820           -            513   1.4e-05   22.6   1.2   1   2    0.0002      0.22    8.7   0.1   270   331   585   660   533   679 0.73 | transcript=PVPAM_090040000_t1 | gene=PVPAM_090040000 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=CASCJQ010000009:1550068-1552626(-) | protein_length=852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720636.1         -            852 5024at5820           -            513   1.4e-05   22.6   1.2   2   2   1.7e-05     0.018   12.3   0.1   456   496   773   813   766   826 0.88 | transcript=PVPAM_090040000_t1 | gene=PVPAM_090040000 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=CASCJQ010000009:1550068-1552626(-) | protein_length=852 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723456.1         -            559 5024at5820           -            513   8.3e-05   20.0  25.9   1   4       3.9   4.2e+03   -5.4   7.2   199   241    53    95    19   131 0.45 | transcript=PVPAM_140037800_t1 | gene=PVPAM_140037800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=CASCJQ010000014:1410342-1413715(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723456.1         -            559 5024at5820           -            513   8.3e-05   20.0  25.9   2   4   7.7e-08   8.3e-05   20.0  25.9   199   362   263   436   145   486 0.75 | transcript=PVPAM_140037800_t1 | gene=PVPAM_140037800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=CASCJQ010000014:1410342-1413715(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723456.1         -            559 5024at5820           -            513   8.3e-05   20.0  25.9   3   4    0.0063       6.8    3.8   0.1   454   485   483   514   468   528 0.76 | transcript=PVPAM_140037800_t1 | gene=PVPAM_140037800 | organism=Plasmodium_vivax_PAM | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=CASCJQ010000014:1410342-1413715(+) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
