#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722906.1         -            433 11519at5820          -            319  1.5e-159  529.1  27.9   1   2  6.9e-115  5.5e-112  372.8   6.7     1   166     1   166     1   210 0.92 | transcript=PVPAM_130040800_t1 | gene=PVPAM_130040800 | organism=Plasmodium_vivax_PAM | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=CASCJQ010000013:1587047-1589663(-) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722906.1         -            433 11519at5820          -            319  1.5e-159  529.1  27.9   2   2     1e-50   8.5e-48  161.9  13.2   194   318   286   426   274   427 0.89 | transcript=PVPAM_130040800_t1 | gene=PVPAM_130040800 | organism=Plasmodium_vivax_PAM | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=CASCJQ010000013:1587047-1589663(-) | protein_length=433 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720446.1         -            167 11519at5820          -            319   3.9e-31  107.2   0.3   1   1   6.2e-34     5e-31  106.8   0.3    16   174     4   159     2   162 0.92 | transcript=PVPAM_090021100_t1 | gene=PVPAM_090021100 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000009:764777-766319(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720848.1         -            203 11519at5820          -            319   1.3e-30  105.5   1.4   1   1   1.9e-33   1.6e-30  105.2   1.4    12   165    45   195    18   201 0.93 | transcript=PVPAM_100011400_t1 | gene=PVPAM_100011400 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:296194-296805(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721034.1         -            737 11519at5820          -            319     5e-29  100.3   0.5   1   2       1.2   9.3e+02   -2.5   2.1   139   226   436   526   420   573 0.61 | transcript=PVPAM_100030200_t1 | gene=PVPAM_100030200 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:1086375-1088588(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721034.1         -            737 11519at5820          -            319     5e-29  100.3   0.5   2   2   6.2e-32     5e-29  100.3   0.5    10   164   580   731   570   736 0.93 | transcript=PVPAM_100030200_t1 | gene=PVPAM_100030200 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:1086375-1088588(-) | protein_length=737 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717776.1         -            262 11519at5820          -            319   4.7e-16   57.6   2.8   1   1   7.8e-19   6.3e-16   57.2   2.8    21   149   106   241    97   258 0.83 | transcript=PVPAM_010029000_t1 | gene=PVPAM_010029000 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=CASCJQ010000001:1062352-1063140(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720081.1         -            170 11519at5820          -            319   1.2e-15   56.4   0.1   1   1   1.9e-18   1.5e-15   56.0   0.1    19   136    15   139     5   151 0.86 | transcript=PVPAM_080030300_t1 | gene=PVPAM_080030300 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000008:1145010-1145522(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720440.1         -            193 11519at5820          -            319   1.2e-12   46.5   0.1   1   1   1.7e-15   1.3e-12   46.3   0.1     4   144    24   169    21   185 0.80 | transcript=PVPAM_090020500_t1 | gene=PVPAM_090020500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=CASCJQ010000009:743151-744335(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722667.1         -            226 11519at5820          -            319   2.7e-10   38.7   2.8   1   2   7.3e-13   5.9e-10   37.6   1.3    21   135    19   142     5   145 0.80 | transcript=PVPAM_130016800_t1 | gene=PVPAM_130016800 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000013:546633-548322(-) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722667.1         -            226 11519at5820          -            319   2.7e-10   38.7   2.8   2   2      0.15   1.2e+02    0.5   0.0   120   152   147   182   143   224 0.67 | transcript=PVPAM_130016800_t1 | gene=PVPAM_130016800 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000013:546633-548322(-) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11519at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11519at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11519at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:22 2026
# [ok]
