#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718007.1         -           1311 1802at5820           -            635         0 1014.7 101.8   1   4   1.1e-18   6.1e-16   56.7   0.5     7    68    40   110    35   118 0.86 | transcript=PVPAM_020023800_t1 | gene=PVPAM_020023800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=CASCJQ010000002:808048-811983(+) | protein_length=1311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718007.1         -           1311 1802at5820           -            635         0 1014.7 101.8   2   4   2.1e-25   1.1e-22   78.9   0.1    62   129   218   286   199   300 0.92 | transcript=PVPAM_020023800_t1 | gene=PVPAM_020023800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=CASCJQ010000002:808048-811983(+) | protein_length=1311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718007.1         -           1311 1802at5820           -            635         0 1014.7 101.8   3   4   2.6e-25   1.4e-22   78.6  40.8   124   222   708   820   703   828 0.81 | transcript=PVPAM_020023800_t1 | gene=PVPAM_020023800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=CASCJQ010000002:808048-811983(+) | protein_length=1311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718007.1         -           1311 1802at5820           -            635         0 1014.7 101.8   4   4  4.3e-256  2.3e-253  841.0  42.5   210   635   842  1311   822  1311 0.93 | transcript=PVPAM_020023800_t1 | gene=PVPAM_020023800 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-L, putative | transcript_product=AP2 domain transcription factor AP2-L, putative | location=CASCJQ010000002:808048-811983(+) | protein_length=1311 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723561.1         -           2887 1802at5820           -            635   5.2e-14   50.3   0.4   1   2   9.6e-17   5.2e-14   50.3   0.4   321   391  1896  1966  1866  1987 0.86 | transcript=PVPAM_140048500_t1 | gene=PVPAM_140048500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000014:1848533-1857196(+) | protein_length=2887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723561.1         -           2887 1802at5820           -            635   5.2e-14   50.3   0.4   2   2   0.00014     0.078   10.1   5.7   525   613  2788  2875  2778  2884 0.83 | transcript=PVPAM_140048500_t1 | gene=PVPAM_140048500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor, putative | transcript_product=AP2 domain transcription factor, putative | location=CASCJQ010000014:1848533-1857196(+) | protein_length=2887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 1802at5820           -            635   3.6e-13   47.5  12.0   1   6   6.7e-16   3.6e-13   47.5  12.0   251   471   105   336    86   346 0.71 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 1802at5820           -            635   3.6e-13   47.5  12.0   2   6       2.9   1.6e+03   -4.2   1.9   131   176  1078  1123  1056  1189 0.46 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 1802at5820           -            635   3.6e-13   47.5  12.0   3   6       9.4   5.1e+03   -5.8  11.6   114   205  1441  1541  1382  1567 0.53 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 1802at5820           -            635   3.6e-13   47.5  12.0   4   6     0.017       9.1    3.2   0.0   322   437  1942  1975  1915  2015 0.60 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 1802at5820           -            635   3.6e-13   47.5  12.0   5   6      0.74     4e+02   -2.2   5.0   138   287  2417  2564  2398  2579 0.72 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720678.1         -           2819 1802at5820           -            635   3.6e-13   47.5  12.0   6   6   0.00068      0.37    7.8   4.7   497   624  2676  2814  2612  2818 0.75 | transcript=PVPAM_090044300_t1 | gene=PVPAM_090044300 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-G5, putative | transcript_product=AP2 domain transcription factor AP2-G5, putative | location=CASCJQ010000009:1754277-1763083(-) | protein_length=2819 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720968.1         -           2407 1802at5820           -            635   4.5e-13   47.2   7.4   1   2   6.1e-12   3.3e-09   34.4   0.4   329   386   998  1055   986  1063 0.90 | transcript=PVPAM_100023600_t1 | gene=PVPAM_100023600 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=CASCJQ010000010:817847-825070(+) | protein_length=2407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720968.1         -           2407 1802at5820           -            635   4.5e-13   47.2   7.4   2   2   1.5e-09   8.2e-07   26.5   1.6   338   388  1904  1955  1897  1967 0.87 | transcript=PVPAM_100023600_t1 | gene=PVPAM_100023600 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-O2, putative | transcript_product=AP2 domain transcription factor AP2-O2, putative | location=CASCJQ010000010:817847-825070(+) | protein_length=2407 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719973.1         -           1380 1802at5820           -            635     1e-12   46.0  50.9   1   4     0.077        42    1.1   0.1   575   621    94   146    61   156 0.83 | transcript=PVPAM_080019500_t1 | gene=PVPAM_080019500 | organism=Plasmodium_vivax_PAM | gene_product=AP2 domain transcription factor AP2-I, putative | transcript_product=AP2 domain transcription factor AP2-I, putative | location=CASCJQ010000008:665457-669599(-) | protein_length=1380 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
