#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720455.1         -           1566 8100at5820           -            858  7.2e-271  899.7  48.9   1  10     0.023   1.5e+02   -1.2   0.7    67    97     7    37     4    42 0.87 | transcript=PVPAM_090022000_t1 | gene=PVPAM_090022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:802245-806945(+) | protein_length=1566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720455.1         -           1566 8100at5820           -            858  7.2e-271  899.7  48.9   2  10    0.0025        16    2.0   0.2     1    17    45    61    45    66 0.90 | transcript=PVPAM_090022000_t1 | gene=PVPAM_090022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:802245-806945(+) | protein_length=1566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720455.1         -           1566 8100at5820           -            858  7.2e-271  899.7  48.9   3  10   2.1e-22   1.4e-18   65.1   0.0    13    84    80   152    71   168 0.89 | transcript=PVPAM_090022000_t1 | gene=PVPAM_090022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:802245-806945(+) | protein_length=1566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720455.1         -           1566 8100at5820           -            858  7.2e-271  899.7  48.9   4  10   1.2e-10   7.6e-07   26.2   0.0    74   110   187   223   180   230 0.90 | transcript=PVPAM_090022000_t1 | gene=PVPAM_090022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:802245-806945(+) | protein_length=1566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720455.1         -           1566 8100at5820           -            858  7.2e-271  899.7  48.9   5  10   4.6e-09     3e-05   20.9   0.0   134   164   327   357   296   367 0.78 | transcript=PVPAM_090022000_t1 | gene=PVPAM_090022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:802245-806945(+) | protein_length=1566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720455.1         -           1566 8100at5820           -            858  7.2e-271  899.7  48.9   6  10   2.3e-12   1.5e-08   31.9   0.2   163   196   382   415   370   422 0.90 | transcript=PVPAM_090022000_t1 | gene=PVPAM_090022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:802245-806945(+) | protein_length=1566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720455.1         -           1566 8100at5820           -            858  7.2e-271  899.7  48.9   7  10   1.1e-19     7e-16   56.1   0.0   216   261   560   605   551   613 0.90 | transcript=PVPAM_090022000_t1 | gene=PVPAM_090022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:802245-806945(+) | protein_length=1566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720455.1         -           1566 8100at5820           -            858  7.2e-271  899.7  48.9   8  10     4e-57   2.6e-53  179.9   0.3   260   406   647   827   640   862 0.80 | transcript=PVPAM_090022000_t1 | gene=PVPAM_090022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:802245-806945(+) | protein_length=1566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720455.1         -           1566 8100at5820           -            858  7.2e-271  899.7  48.9   9  10    0.0021        13    2.2   0.0   456   501  1074  1114  1057  1117 0.80 | transcript=PVPAM_090022000_t1 | gene=PVPAM_090022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:802245-806945(+) | protein_length=1566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720455.1         -           1566 8100at5820           -            858  7.2e-271  899.7  48.9  10  10  2.3e-159  1.5e-155  518.2  21.3   502   858  1157  1551  1154  1551 0.93 | transcript=PVPAM_090022000_t1 | gene=PVPAM_090022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:802245-806945(+) | protein_length=1566 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
