#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719976.1         -           2234 996at5820            -           1613         0 2324.3 117.3   1   3   7.5e-37     8e-34  115.1  22.8     1   232     1   371     1   385 0.81 | transcript=PVPAM_080019800_t1 | gene=PVPAM_080019800 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase 2, putative | transcript_product=histone deacetylase 2, putative | location=CASCJQ010000008:689491-696195(+) | protein_length=2234 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719976.1         -           2234 996at5820            -           1613         0 2324.3 117.3   2   3         0         0 2054.0  78.7   249  1509   458  2084   435  2094 0.84 | transcript=PVPAM_080019800_t1 | gene=PVPAM_080019800 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase 2, putative | transcript_product=histone deacetylase 2, putative | location=CASCJQ010000008:689491-696195(+) | protein_length=2234 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719976.1         -           2234 996at5820            -           1613         0 2324.3 117.3   3   3     3e-50   3.3e-47  159.4   1.0  1516  1611  2138  2233  2125  2234 0.93 | transcript=PVPAM_080019800_t1 | gene=PVPAM_080019800 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase 2, putative | transcript_product=histone deacetylase 2, putative | location=CASCJQ010000008:689491-696195(+) | protein_length=2234 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719698.1         -            448 996at5820            -           1613   6.7e-15   52.3   3.4   1   2   4.6e-11   4.9e-08   29.6   1.4   566   630   138   200   123   202 0.90 | transcript=PVPAM_070031200_t1 | gene=PVPAM_070031200 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=CASCJQ010000007:1127941-1129287(-) | protein_length=448 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719698.1         -            448 996at5820            -           1613   6.7e-15   52.3   3.4   2   2   4.3e-09   4.6e-06   23.0   0.0   746   819   202   275   200   280 0.96 | transcript=PVPAM_070031200_t1 | gene=PVPAM_070031200 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=CASCJQ010000007:1127941-1129287(-) | protein_length=448 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721070.1         -            443 996at5820            -           1613   2.4e-12   43.9   4.9   1   2   3.5e-15   3.8e-12   43.2   3.8   565   630   255   320   246   337 0.93 | transcript=PVPAM_100033800_t1 | gene=PVPAM_100033800 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=CASCJQ010000010:1238815-1240280(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721070.1         -            443 996at5820            -           1613   2.4e-12   43.9   4.9   2   2      0.11   1.1e+02   -1.5   0.0   796   851   360   414   341   415 0.83 | transcript=PVPAM_100033800_t1 | gene=PVPAM_100033800 | organism=Plasmodium_vivax_PAM | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=CASCJQ010000010:1238815-1240280(+) | protein_length=443 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722955.1         -            228 996at5820            -           1613    0.0028   13.8  15.6   1   1   2.8e-06     0.003   13.7  15.6    17   149    25   162    14   221 0.63 | transcript=PVPAM_130046100_t1 | gene=PVPAM_130046100 | organism=Plasmodium_vivax_PAM | gene_product=DEK-C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3H4] | transcript_product=DEK-C domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H3H4] | location=CASCJQ010000013:1773281-1774836(-) | protein_length=228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721050.1         -            277 996at5820            -           1613     0.019   11.0  16.9   1   1   2.4e-05     0.026   10.6  16.9    27   189    23   263    17   272 0.46 | transcript=PVPAM_100031800_t1 | gene=PVPAM_100031800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000010:1167488-1168321(-) | protein_length=277 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723673.1         -            159 996at5820            -           1613       4.3    3.2  25.4   1   1    0.0044       4.8    3.1  25.4   105   179    71   144    34   158 0.34 | transcript=PVPAM_140059700_t1 | gene=PVPAM_140059700 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000014:2356786-2357265(+) | protein_length=159 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
