#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722161.1         -           1965 821at5820            -           1086         0 1131.8  79.8   1  15   5.4e-11   3.5e-07   26.9   0.0     1    50     1    63     1    72 0.77 | transcript=PVPAM_120039900_t1 | gene=PVPAM_120039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1374239-1380414(+) | protein_length=1965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722161.1         -           1965 821at5820            -           1086         0 1131.8  79.8   2  15   1.2e-86   7.6e-83  277.5   7.1    44   238   124   338   111   342 0.85 | transcript=PVPAM_120039900_t1 | gene=PVPAM_120039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1374239-1380414(+) | protein_length=1965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722161.1         -           1965 821at5820            -           1086         0 1131.8  79.8   3  15   2.1e-23   1.4e-19   68.0   0.0   232   293   403   471   399   475 0.86 | transcript=PVPAM_120039900_t1 | gene=PVPAM_120039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1374239-1380414(+) | protein_length=1965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722161.1         -           1965 821at5820            -           1086         0 1131.8  79.8   4  15   5.5e-05      0.35    7.0   0.0   296   328   513   546   507   552 0.86 | transcript=PVPAM_120039900_t1 | gene=PVPAM_120039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1374239-1380414(+) | protein_length=1965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722161.1         -           1965 821at5820            -           1086         0 1131.8  79.8   5  15   5.2e-22   3.4e-18   63.4   0.0   321   393   563   637   554   643 0.88 | transcript=PVPAM_120039900_t1 | gene=PVPAM_120039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1374239-1380414(+) | protein_length=1965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722161.1         -           1965 821at5820            -           1086         0 1131.8  79.8   6  15   2.5e-06     0.016   11.5   0.0   388   409   667   688   660   689 0.91 | transcript=PVPAM_120039900_t1 | gene=PVPAM_120039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1374239-1380414(+) | protein_length=1965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722161.1         -           1965 821at5820            -           1086         0 1131.8  79.8   7  15   1.3e-05     0.084    9.1   0.0   430   450   819   839   811   846 0.86 | transcript=PVPAM_120039900_t1 | gene=PVPAM_120039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1374239-1380414(+) | protein_length=1965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722161.1         -           1965 821at5820            -           1086         0 1131.8  79.8   8  15     4e-16   2.6e-12   43.9   0.0   434   494   860   923   843   928 0.85 | transcript=PVPAM_120039900_t1 | gene=PVPAM_120039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1374239-1380414(+) | protein_length=1965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722161.1         -           1965 821at5820            -           1086         0 1131.8  79.8   9  15   2.6e-33   1.7e-29  100.8   1.6   493   573   951  1038   947  1046 0.89 | transcript=PVPAM_120039900_t1 | gene=PVPAM_120039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1374239-1380414(+) | protein_length=1965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722161.1         -           1965 821at5820            -           1086         0 1131.8  79.8  10  15     1e-17   6.7e-14   49.2   0.0   571   658  1077  1192  1074  1201 0.78 | transcript=PVPAM_120039900_t1 | gene=PVPAM_120039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1374239-1380414(+) | protein_length=1965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722161.1         -           1965 821at5820            -           1086         0 1131.8  79.8  11  15   1.1e-40   6.9e-37  125.3   7.4   636   734  1227  1327  1202  1334 0.92 | transcript=PVPAM_120039900_t1 | gene=PVPAM_120039900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1374239-1380414(+) | protein_length=1965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
