#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721024.1         -           1397 1384at5820           -            902         0 1478.0 112.8   1   5   6.1e-78     4e-75  252.1  11.8     2   184    75   298    74   300 0.86 | transcript=PVPAM_100029200_t1 | gene=PVPAM_100029200 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:1045384-1049771(+) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721024.1         -           1397 1384at5820           -            902         0 1478.0 112.8   2   5  1.4e-101   9.2e-99  330.3  13.4   182   383   351   557   340   560 0.97 | transcript=PVPAM_100029200_t1 | gene=PVPAM_100029200 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:1045384-1049771(+) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721024.1         -           1397 1384at5820           -            902         0 1478.0 112.8   3   5   0.00029      0.19    8.3   0.6   380   400   678   698   674   707 0.86 | transcript=PVPAM_100029200_t1 | gene=PVPAM_100029200 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:1045384-1049771(+) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721024.1         -           1397 1384at5820           -            902         0 1478.0 112.8   4   5  2.3e-191  1.5e-188  627.4  47.2   393   720   723  1059   709  1102 0.95 | transcript=PVPAM_100029200_t1 | gene=PVPAM_100029200 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:1045384-1049771(+) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721024.1         -           1397 1384at5820           -            902         0 1478.0 112.8   5   5   1.7e-85   1.1e-82  277.1   9.4   733   902  1213  1397  1210  1397 0.95 | transcript=PVPAM_100029200_t1 | gene=PVPAM_100029200 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:1045384-1049771(+) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 1384at5820           -            902   1.5e-36  124.4  82.7   1   4   8.9e-18   5.7e-15   53.0  14.8   560   692     7   135     2   136 0.91 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 1384at5820           -            902   1.5e-36  124.4  82.7   2   4   2.1e-12   1.3e-09   35.3   9.8   587   671    80   170    80   176 0.89 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 1384at5820           -            902   1.5e-36  124.4  82.7   3   4   8.3e-11   5.4e-08   30.0  14.0   566   676   128   244   127   247 0.86 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719267.1         -            369 1384at5820           -            902   1.5e-36  124.4  82.7   4   4   5.3e-16   3.4e-13   47.1  20.1   514   677   176   338   174   352 0.84 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 1384at5820           -            902     5e-17   59.8  29.3   1   2   8.3e-10   5.3e-07   26.7   0.9   629   678    44    93    38    95 0.92 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 1384at5820           -            902     5e-17   59.8  29.3   2   2     6e-13   3.8e-10   37.0  22.5   540   676    92   232    88   314 0.83 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
