#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722466.1         -            185 12531at5820          -            161   2.6e-95  315.3  14.7   1   1   6.7e-97   2.3e-94  312.3  14.7     1   161     1   181     1   181 0.92 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719302.1         -            178 12531at5820          -            161   4.3e-38  129.3   2.1   1   1   1.8e-40   6.1e-38  128.9   2.1     9   157    14   177     6   178 0.88 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 12531at5820          -            161   7.7e-33  112.3   0.1   1   1   3.7e-35   1.3e-32  111.6   0.1     7   157    12   177     7   180 0.82 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718946.1         -            191 12531at5820          -            161   2.3e-19   68.4   0.0   1   1   8.5e-22   2.9e-19   68.1   0.0    11   125    19   140    10   180 0.84 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719646.1         -            191 12531at5820          -            161   1.2e-12   46.6   1.2   1   1   5.1e-15   1.7e-12   46.1   1.2     5   160    15   182    12   183 0.80 | transcript=PVPAM_070026000_t1 | gene=PVPAM_070026000 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000007:932498-933855(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723272.1         -            205 12531at5820          -            161   1.5e-08   33.3   0.5   1   1   7.6e-11   2.6e-08   32.5   0.5    49   150    82   185    25   196 0.67 | transcript=PVPAM_140019100_t1 | gene=PVPAM_140019100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=CASCJQ010000014:641770-643260(-) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720460.1         -            214 12531at5820          -            161   2.1e-08   32.9   0.2   1   1   2.3e-10     8e-08   31.0   0.2    11   157     8   167     4   170 0.77 | transcript=PVPAM_090022500_t1 | gene=PVPAM_090022500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=CASCJQ010000009:817557-818377(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721259.1         -            203 12531at5820          -            161   2.4e-08   32.6   2.0   1   1   9.7e-11   3.3e-08   32.2   2.0    11   133    25   163    20   185 0.72 | transcript=PVPAM_110016100_t1 | gene=PVPAM_110016100 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000011:452607-453649(-) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720996.1         -            207 12531at5820          -            161   4.2e-07   28.6   0.9   1   1   2.4e-09   8.2e-07   27.7   0.9    41   123    53   134    11   157 0.72 | transcript=PVPAM_100026500_t1 | gene=PVPAM_100026500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-1A, putative | transcript_product=ras-related protein Rab-1A, putative | location=CASCJQ010000010:930208-930831(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723329.1         -            207 12531at5820          -            161   2.3e-06   26.2   1.7   1   1   8.2e-08   2.8e-05   22.7   1.7    51   155    72   185     9   189 0.65 | transcript=PVPAM_140024800_t1 | gene=PVPAM_140024800 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000014:866786-867932(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720733.1         -            207 12531at5820          -            161   3.1e-05   22.5   0.3   1   1     2e-07     7e-05   21.4   0.3    12   125    11   135     7   172 0.72 | transcript=PVPAM_090049800_t1 | gene=PVPAM_090049800 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=CASCJQ010000009:1997786-1999218(-) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
