#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721958.1         -            815 4282at5820           -            551  4.3e-277  918.8  38.6   1   4   2.6e-23   1.3e-20   72.2   0.0     6    54    58   106    52   111 0.94 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 4282at5820           -            551  4.3e-277  918.8  38.6   2   4  4.7e-139  2.4e-136  454.3  15.1    53   314   156   442   150   446 0.91 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 4282at5820           -            551  4.3e-277  918.8  38.6   3   4   2.6e-60   1.3e-57  194.4   1.5   310   421   476   590   475   596 0.96 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721958.1         -            815 4282at5820           -            551  4.3e-277  918.8  38.6   4   4   8.5e-65   4.2e-62  209.2   4.5   420   551   675   808   665   808 0.97 | transcript=PVPAM_120019400_t1 | gene=PVPAM_120019400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=CASCJQ010000012:611960-614407(-) | protein_length=815 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 4282at5820           -            551   1.1e-46  158.3  55.6   1   5   6.4e-17   3.2e-14   51.1   3.4   314   419   382   488   325   499 0.90 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 4282at5820           -            551   1.1e-46  158.3  55.6   2   5   1.8e-13   9.1e-11   39.7   2.6   415   521   534   646   522   668 0.78 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 4282at5820           -            551   1.1e-46  158.3  55.6   3   5      0.41   2.1e+02   -1.0   6.2    39   202   843  1000   809  1016 0.65 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 4282at5820           -            551   1.1e-46  158.3  55.6   4   5   5.2e-10   2.6e-07   28.3   0.2   307   375  1156  1224  1143  1235 0.92 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 4282at5820           -            551   1.1e-46  158.3  55.6   5   5   9.6e-24   4.8e-21   73.7   0.2   367   530  1271  1433  1262  1453 0.82 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 4282at5820           -            551   1.9e-41  141.0  29.7   1   3   6.7e-23   3.3e-20   70.9  14.9    11   312   217   533   209   578 0.76 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 4282at5820           -            551   1.9e-41  141.0  29.7   2   3   1.5e-15   7.7e-13   46.6   2.0   328   423   612   707   603   786 0.75 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 4282at5820           -            551   1.9e-41  141.0  29.7   3   3     4e-11     2e-08   32.0   0.3   450   532   810   893   774   906 0.82 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722408.1         -           1611 4282at5820           -            551     2e-33  114.6  18.8   1   1   1.6e-35   7.8e-33  112.6  18.8   118   540   473   914   365   925 0.75 | transcript=PVPAM_120064400_t1 | gene=PVPAM_120064400 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=CASCJQ010000012:2427914-2432749(+) | protein_length=1611 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721839.1         -            969 4282at5820           -            551     2e-33  114.6  11.6   1   2       8.2   4.1e+03   -5.3  33.2     9   331   295   654   288   660 0.58 | transcript=PVPAM_120007300_t1 | gene=PVPAM_120007300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=CASCJQ010000012:98389-101386(+) | protein_length=969 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721839.1         -            969 4282at5820           -            551     2e-33  114.6  11.6   2   2     4e-36     2e-33  114.6  11.6   325   538   738   948   734   961 0.86 | transcript=PVPAM_120007300_t1 | gene=PVPAM_120007300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=CASCJQ010000012:98389-101386(+) | protein_length=969 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 4282at5820           -            551   5.3e-26   90.0   8.4   1   3      0.17        84    0.2   0.3   482   520   187   225   178   247 0.84 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 4282at5820           -            551   5.3e-26   90.0   8.4   2   3       3.9   1.9e+03   -4.3  22.0    20   232   211   420   194   488 0.64 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720739.1         -            783 4282at5820           -            551   5.3e-26   90.0   8.4   3   3   1.1e-28   5.3e-26   90.0   8.4   314   532   556   778   550   781 0.87 | transcript=PVPAM_090050400_t1 | gene=PVPAM_090050400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=CASCJQ010000009:2031131-2033769(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720277.1         -           1376 4282at5820           -            551   1.1e-22   79.1  27.8   1   3       0.2     1e+02   -0.0   2.4   195   244   752   799   737   836 0.70 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720277.1         -           1376 4282at5820           -            551   1.1e-22   79.1  27.8   2   3   1.7e-13   8.2e-11   39.9  14.7   299   415  1010  1131   977  1155 0.83 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720277.1         -           1376 4282at5820           -            551   1.1e-22   79.1  27.8   3   3   5.3e-18   2.6e-15   54.7   5.2   431   543  1250  1364  1224  1369 0.88 | transcript=PVPAM_080050000_t1 | gene=PVPAM_080050000 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 4, putative | transcript_product=ABC transporter B family member 4, putative | location=CASCJQ010000008:1945463-1949593(-) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 4282at5820           -            551   4.5e-12   44.1  13.1   1   3   4.3e-08   2.1e-05   22.0   2.9   348   516   122   292   113   307 0.68 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 4282at5820           -            551   4.5e-12   44.1  13.1   2   3     0.037        18    2.4   0.0   330   363   371   409   359   416 0.68 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 4282at5820           -            551   4.5e-12   44.1  13.1   3   3   8.3e-09   4.1e-06   24.4   1.0   450   529   475   557   455   581 0.78 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722884.1         -            695 4282at5820           -            551   8.4e-12   43.2   0.9   1   1   3.2e-14   1.6e-11   42.2   0.9   315   536    35   259    30   269 0.76 | transcript=PVPAM_130038600_t1 | gene=PVPAM_130038600 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=CASCJQ010000013:1498834-1500921(+) | protein_length=695 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 4282at5820           -            551   1.5e-10   39.0  26.2   1   5   9.7e-05     0.048   10.9   0.3   327   383   192   245   162   284 0.74 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 4282at5820           -            551   1.5e-10   39.0  26.2   2   5   6.3e-07   0.00032   18.2   2.0   429   542   334   450   319   457 0.75 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
