#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719480.1         -           1319 1635at5820           -            845         0 1614.7 108.4   1   6         0         0 1080.4  29.7     1   469     4   472     4   482 0.99 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 1635at5820           -            845         0 1614.7 108.4   2   6  2.2e-115  3.6e-112  374.4  15.5   459   664   595   807   584   827 0.93 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 1635at5820           -            845         0 1614.7 108.4   3   6   3.1e-07    0.0005   16.6   6.8   663   697   840   874   820   933 0.74 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 1635at5820           -            845         0 1614.7 108.4   4   6   0.00034      0.55    6.5   3.0   687   740  1011  1067  1004  1072 0.79 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 1635at5820           -            845         0 1614.7 108.4   5   6   5.9e-11   9.5e-08   28.9   5.4   705   756  1073  1136  1068  1157 0.76 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 1635at5820           -            845         0 1614.7 108.4   6   6   3.1e-44   5.1e-41  139.0   8.4   750   845  1223  1319  1170  1319 0.92 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 1635at5820           -            845   6.6e-39  132.0  38.6   1   3   1.5e-22   2.4e-19   67.3   9.4    13   261     5   256     1   262 0.86 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 1635at5820           -            845   6.6e-39  132.0  38.6   2   3   1.2e-23     2e-20   70.9   9.6   270   448   311   488   299   500 0.91 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 1635at5820           -            845   6.6e-39  132.0  38.6   3   3   0.00057      0.91    5.8   3.7   543   590   635   681   545   689 0.71 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721459.1         -           1287 1635at5820           -            845   2.4e-22   77.2  29.0   1   4   2.8e-19   4.5e-16   56.5  16.8    16   209    12   214     4   223 0.87 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721459.1         -           1287 1635at5820           -            845   2.4e-22   77.2  29.0   2   4     4e-13   6.4e-10   36.1   4.2   288   432   553   700   533   741 0.80 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721459.1         -           1287 1635at5820           -            845   2.4e-22   77.2  29.0   3   4     0.077   1.2e+02   -1.2   4.0   465   597   767   895   750   922 0.66 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721459.1         -           1287 1635at5820           -            845   2.4e-22   77.2  29.0   4   4      0.55   8.9e+02   -4.1   3.2   726   794  1021  1094  1003  1120 0.67 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721497.1         -           1004 1635at5820           -            845   1.6e-05   21.6   0.6   1   2   9.7e-09   1.6e-05   21.6   0.6    49   204    56   207    35   218 0.85 | transcript=PVPAM_110040200_t1 | gene=PVPAM_110040200 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit beta, putative | transcript_product=AP-3 complex subunit beta, putative | location=CASCJQ010000011:1482984-1485998(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
