#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721252.1         -           3144 188at5820            -           2473         0 4588.4 200.4   1   4         0         0 2314.3 101.0     1  1182     1  1263     1  1275 0.97 | transcript=PVPAM_110015400_t1 | gene=PVPAM_110015400 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=CASCJQ010000011:420051-432122(-) | protein_length=3144 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721252.1         -           3144 188at5820            -           2473         0 4588.4 200.4   2   4  1.8e-234  3.8e-231  769.0  39.5  1176  1582  1298  1711  1293  1716 0.97 | transcript=PVPAM_110015400_t1 | gene=PVPAM_110015400 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=CASCJQ010000011:420051-432122(-) | protein_length=3144 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721252.1         -           3144 188at5820            -           2473         0 4588.4 200.4   3   4  9.4e-100     2e-96  322.1  10.1  1581  1882  1747  2225  1737  2265 0.85 | transcript=PVPAM_110015400_t1 | gene=PVPAM_110015400 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=CASCJQ010000011:420051-432122(-) | protein_length=3144 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721252.1         -           3144 188at5820            -           2473         0 4588.4 200.4   4   4         0         0 1196.8  25.8  1875  2473  2410  3133  2377  3133 0.94 | transcript=PVPAM_110015400_t1 | gene=PVPAM_110015400 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase beta, putative | transcript_product=guanylyl cyclase beta, putative | location=CASCJQ010000011:420051-432122(-) | protein_length=3144 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 188at5820            -           2473  4.3e-179  596.4 134.7   1   9   2.2e-34   4.8e-31  105.3  21.1    22   379    58   430    38   437 0.77 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 188at5820            -           2473  4.3e-179  596.4 134.7   2   9         3   6.5e+03   -8.6   9.6  1816  1919   463   565   437   575 0.51 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 188at5820            -           2473  4.3e-179  596.4 134.7   3   9     0.046        98   -1.9   0.0   383   423   684   724   673   731 0.87 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 188at5820            -           2473  4.3e-179  596.4 134.7   4   9      0.62   1.3e+03   -5.7   3.2  1811  1932   746   873   709   886 0.53 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 188at5820            -           2473  4.3e-179  596.4 134.7   5   9     0.052   1.1e+02   -2.1  22.7  1798  1931  1163  1297  1040  1328 0.65 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 188at5820            -           2473  4.3e-179  596.4 134.7   6   9    0.0022       4.8    2.4   0.4   600   689  1407  1496  1378  1501 0.78 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720671.1         -           3984 188at5820            -           2473  4.3e-179  596.4 134.7   7   9   1.1e-21   2.4e-18   63.1  39.4   695  1211  1636  2180  1629  2206 0.74 | transcript=PVPAM_090043600_t1 | gene=PVPAM_090043600 | organism=Plasmodium_vivax_PAM | gene_product=guanylyl cyclase alpha, putative | transcript_product=guanylyl cyclase alpha, putative | location=CASCJQ010000009:1693656-1705610(-) | protein_length=3984 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
