#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722097.1         -           2318 684at5820            -           1068         0 1120.0 104.7   1  15   1.7e-22   1.1e-18   64.9   0.6     3    41    46    84    44    87 0.93 | transcript=PVPAM_120033500_t1 | gene=PVPAM_120033500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1128583-1135539(+) | protein_length=2318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722097.1         -           2318 684at5820            -           1068         0 1120.0 104.7   2  15     0.036   2.3e+02   -2.4   0.0    37    56   112   131   102   137 0.73 | transcript=PVPAM_120033500_t1 | gene=PVPAM_120033500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1128583-1135539(+) | protein_length=2318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722097.1         -           2318 684at5820            -           1068         0 1120.0 104.7   3  15  2.8e-113  1.8e-109  365.5  23.6    60   315   255   516   240   524 0.93 | transcript=PVPAM_120033500_t1 | gene=PVPAM_120033500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1128583-1135539(+) | protein_length=2318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722097.1         -           2318 684at5820            -           1068         0 1120.0 104.7   4  15   9.4e-33   6.1e-29   98.9   8.1   314   396   545   629   542   634 0.92 | transcript=PVPAM_120033500_t1 | gene=PVPAM_120033500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1128583-1135539(+) | protein_length=2318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722097.1         -           2318 684at5820            -           1068         0 1120.0 104.7   5  15   4.6e-41     3e-37  126.4   0.4   396   474   658   736   653   750 0.92 | transcript=PVPAM_120033500_t1 | gene=PVPAM_120033500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1128583-1135539(+) | protein_length=2318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722097.1         -           2318 684at5820            -           1068         0 1120.0 104.7   6  15   1.9e-13   1.2e-09   35.0   0.8   482   528   830   877   823   884 0.92 | transcript=PVPAM_120033500_t1 | gene=PVPAM_120033500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1128583-1135539(+) | protein_length=2318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722097.1         -           2318 684at5820            -           1068         0 1120.0 104.7   7  15   1.1e-31   7.4e-28   95.3   8.0   507   601   892   994   878   999 0.84 | transcript=PVPAM_120033500_t1 | gene=PVPAM_120033500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1128583-1135539(+) | protein_length=2318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722097.1         -           2318 684at5820            -           1068         0 1120.0 104.7   8  15   1.4e-09   9.3e-06   22.1   0.2   617   659  1127  1168  1101  1178 0.71 | transcript=PVPAM_120033500_t1 | gene=PVPAM_120033500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1128583-1135539(+) | protein_length=2318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722097.1         -           2318 684at5820            -           1068         0 1120.0 104.7   9  15   1.3e-24   8.7e-21   71.9   2.8   657   726  1259  1347  1204  1349 0.84 | transcript=PVPAM_120033500_t1 | gene=PVPAM_120033500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1128583-1135539(+) | protein_length=2318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722097.1         -           2318 684at5820            -           1068         0 1120.0 104.7  10  15   6.5e-16   4.2e-12   43.1   0.1   726   764  1434  1472  1431  1476 0.92 | transcript=PVPAM_120033500_t1 | gene=PVPAM_120033500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1128583-1135539(+) | protein_length=2318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722097.1         -           2318 684at5820            -           1068         0 1120.0 104.7  11  15   9.3e-13     6e-09   32.7   0.3   761   814  1498  1552  1488  1562 0.88 | transcript=PVPAM_120033500_t1 | gene=PVPAM_120033500 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:1128583-1135539(+) | protein_length=2318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
