#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720545.1         -           1222 2178at5820           -            722         0 1061.3  38.3   1   7   1.3e-24   1.7e-21   74.8   3.4     1    56    38    93    38   137 0.81 | transcript=PVPAM_090031100_t1 | gene=PVPAM_090031100 | organism=Plasmodium_vivax_PAM | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=CASCJQ010000009:1186608-1190433(-) | protein_length=1222 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720545.1         -           1222 2178at5820           -            722         0 1061.3  38.3   2   7   1.3e-59   1.7e-56  190.4   8.6    62   216   187   365   181   407 0.85 | transcript=PVPAM_090031100_t1 | gene=PVPAM_090031100 | organism=Plasmodium_vivax_PAM | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=CASCJQ010000009:1186608-1190433(-) | protein_length=1222 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720545.1         -           1222 2178at5820           -            722         0 1061.3  38.3   3   7   2.8e-46   3.7e-43  146.3   1.5   226   319   469   568   455   572 0.92 | transcript=PVPAM_090031100_t1 | gene=PVPAM_090031100 | organism=Plasmodium_vivax_PAM | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=CASCJQ010000009:1186608-1190433(-) | protein_length=1222 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720545.1         -           1222 2178at5820           -            722         0 1061.3  38.3   4   7   0.00089       1.1    5.9   0.0   320   336   652   668   646   678 0.87 | transcript=PVPAM_090031100_t1 | gene=PVPAM_090031100 | organism=Plasmodium_vivax_PAM | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=CASCJQ010000009:1186608-1190433(-) | protein_length=1222 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720545.1         -           1222 2178at5820           -            722         0 1061.3  38.3   5   7   3.6e-96   4.6e-93  311.3   0.0   339   532   710   910   698   921 0.92 | transcript=PVPAM_090031100_t1 | gene=PVPAM_090031100 | organism=Plasmodium_vivax_PAM | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=CASCJQ010000009:1186608-1190433(-) | protein_length=1222 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720545.1         -           1222 2178at5820           -            722         0 1061.3  38.3   6   7   1.2e-64   1.5e-61  207.1   0.0   526   645   961  1080   948  1089 0.95 | transcript=PVPAM_090031100_t1 | gene=PVPAM_090031100 | organism=Plasmodium_vivax_PAM | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=CASCJQ010000009:1186608-1190433(-) | protein_length=1222 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720545.1         -           1222 2178at5820           -            722         0 1061.3  38.3   7   7   7.3e-43   9.4e-40  135.1   0.3   639   722  1138  1222  1129  1222 0.96 | transcript=PVPAM_090031100_t1 | gene=PVPAM_090031100 | organism=Plasmodium_vivax_PAM | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=CASCJQ010000009:1186608-1190433(-) | protein_length=1222 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723711.1         -            631 2178at5820           -            722   4.4e-15   53.5   1.2   1   1   5.9e-18   7.6e-15   52.7   1.2   376   532     7   169     4   196 0.79 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718865.1         -            406 2178at5820           -            722   2.1e-10   38.0   0.0   1   1   2.4e-13   3.1e-10   37.5   0.0   389   470     4    82     1   120 0.90 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 2178at5820           -            722   2.3e-10   37.9   3.0   1   2   1.3e-06    0.0017   15.2   1.6   383   464   209   288   195   305 0.87 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 2178at5820           -            722   2.3e-10   37.9   3.0   2   2   1.9e-08   2.4e-05   21.3   0.0   386   463   668   751   661   766 0.76 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
