#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718830.1         -            705 4437at5820           -            479  7.1e-241  798.9  10.7   1   3   1.3e-80   1.6e-77  260.2   0.6     1   146    61   207    61   218 0.97 | transcript=PVPAM_050022400_t1 | gene=PVPAM_050022400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=CASCJQ010000005:754026-756143(-) | protein_length=705 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718830.1         -            705 4437at5820           -            479  7.1e-241  798.9  10.7   2   3   2.6e-26   3.4e-23   81.0   0.0   144   198   228   287   220   298 0.86 | transcript=PVPAM_050022400_t1 | gene=PVPAM_050022400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=CASCJQ010000005:754026-756143(-) | protein_length=705 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718830.1         -            705 4437at5820           -            479  7.1e-241  798.9  10.7   3   3    9e-140  1.2e-136  455.2   4.5   198   479   359   691   356   691 0.88 | transcript=PVPAM_050022400_t1 | gene=PVPAM_050022400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 4, putative | transcript_product=perforin-like protein 4, putative | location=CASCJQ010000005:754026-756143(-) | protein_length=705 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718130.1         -            843 4437at5820           -            479   2.3e-26   91.5   6.7   1   2   4.4e-13   5.6e-10   37.5   0.2     7   184   248   465   245   490 0.67 | transcript=PVPAM_030012600_t1 | gene=PVPAM_030012600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=CASCJQ010000003:352504-356442(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718130.1         -            843 4437at5820           -            479   2.3e-26   91.5   6.7   2   2     1e-17   1.3e-14   52.7   1.9   200   434   510   763   475   783 0.74 | transcript=PVPAM_030012600_t1 | gene=PVPAM_030012600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=CASCJQ010000003:352504-356442(-) | protein_length=843 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718832.1         -            662 4437at5820           -            479   6.8e-19   66.9   8.2   1   4    0.0022       2.8    5.5   0.0     2    41    44    83    43    91 0.88 | transcript=PVPAM_050022600_t1 | gene=PVPAM_050022600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=CASCJQ010000005:760367-762355(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718832.1         -            662 4437at5820           -            479   6.8e-19   66.9   8.2   2   4    0.0038       4.9    4.7   0.1    47   116   117   184    94   204 0.78 | transcript=PVPAM_050022600_t1 | gene=PVPAM_050022600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=CASCJQ010000005:760367-762355(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718832.1         -            662 4437at5820           -            479   6.8e-19   66.9   8.2   3   4   7.9e-08    0.0001   20.1   0.0   143   180   235   272   231   287 0.85 | transcript=PVPAM_050022600_t1 | gene=PVPAM_050022600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=CASCJQ010000005:760367-762355(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718832.1         -            662 4437at5820           -            479   6.8e-19   66.9   8.2   4   4   2.7e-13   3.4e-10   38.2   0.5   203   418   344   576   338   585 0.75 | transcript=PVPAM_050022600_t1 | gene=PVPAM_050022600 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=CASCJQ010000005:760367-762355(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723511.1         -           1104 4437at5820           -            479   1.7e-18   65.6  22.1   1   2   0.00016       0.2    9.2   0.1     6    38   468   500   464   514 0.86 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723511.1         -           1104 4437at5820           -            479   1.7e-18   65.6  22.1   2   2     6e-17   7.7e-14   50.2  17.7    45   468   556  1057   531  1063 0.70 | transcript=PVPAM_140043400_t1 | gene=PVPAM_140043400 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 2 | transcript_product=perforin-like protein 2 | location=CASCJQ010000014:1613192-1616506(+) | protein_length=1104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719674.1         -            783 4437at5820           -            479   1.9e-18   65.4  12.5   1   3   2.1e-07   0.00027   18.8   0.3     6   143   202   356   199   365 0.72 | transcript=PVPAM_070028800_t1 | gene=PVPAM_070028800 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=CASCJQ010000007:1041436-1043787(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719674.1         -            783 4437at5820           -            479   1.9e-18   65.4  12.5   2   3   6.2e-07    0.0008   17.2   0.2   134   181   372   419   355   425 0.83 | transcript=PVPAM_070028800_t1 | gene=PVPAM_070028800 | organism=Plasmodium_vivax_PAM | gene_product=perforin-like protein 3 | transcript_product=perforin-like protein 3 | location=CASCJQ010000007:1041436-1043787(+) | protein_length=783 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
