#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721331.1         -            674 5931at5820           -            453  9.7e-224  741.6  25.8   1   3    6e-149  9.6e-146  484.5   5.6     1   243     1   245     1   267 0.95 | transcript=PVPAM_110023400_t1 | gene=PVPAM_110023400 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000011:773653-775677(+) | protein_length=674 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721331.1         -            674 5931at5820           -            453  9.7e-224  741.6  25.8   2   3     2e-76   3.3e-73  245.4   6.3   249   415   373   556   365   581 0.79 | transcript=PVPAM_110023400_t1 | gene=PVPAM_110023400 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000011:773653-775677(+) | protein_length=674 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721331.1         -            674 5931at5820           -            453  9.7e-224  741.6  25.8   3   3   1.5e-08   2.4e-05   21.7   0.3   416   453   625   662   609   662 0.77 | transcript=PVPAM_110023400_t1 | gene=PVPAM_110023400 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000011:773653-775677(+) | protein_length=674 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720487.1         -            367 5931at5820           -            453   6.4e-07   26.8   1.6   1   1   5.7e-10   9.3e-07   26.3   1.6   102   209   120   222    83   241 0.79 | transcript=PVPAM_090025200_t1 | gene=PVPAM_090025200 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase fold domain containing protein, putative | transcript_product=alpha/beta hydrolase fold domain containing protein, putative | location=CASCJQ010000009:918361-919638(-) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717990.1         -            591 5931at5820           -            453   1.4e-06   25.8   1.6   1   2   1.4e-09   2.3e-06   25.1   0.3   105   166    62   120    51   187 0.80 | transcript=PVPAM_020022200_t1 | gene=PVPAM_020022200 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000002:734747-737522(-) | protein_length=591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717990.1         -            591 5931at5820           -            453   1.4e-06   25.8   1.6   2   2      0.32   5.2e+02   -2.5   0.0   338   372   226   260   223   270 0.78 | transcript=PVPAM_020022200_t1 | gene=PVPAM_020022200 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000002:734747-737522(-) | protein_length=591 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718080.1         -            867 5931at5820           -            453   5.6e-06   23.7   0.1   1   3   3.5e-09   5.6e-06   23.7   0.1   119   199    43   121    24   142 0.82 | transcript=PVPAM_030007600_t1 | gene=PVPAM_030007600 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000003:121465-124068(-) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718080.1         -            867 5931at5820           -            453   5.6e-06   23.7   0.1   2   3      0.75   1.2e+03   -3.7   0.2   327   346   169   188   154   194 0.77 | transcript=PVPAM_030007600_t1 | gene=PVPAM_030007600 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000003:121465-124068(-) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718080.1         -            867 5931at5820           -            453   5.6e-06   23.7   0.1   3   3      0.26   4.2e+02   -2.2   0.2    13    48   790   826   781   835 0.71 | transcript=PVPAM_030007600_t1 | gene=PVPAM_030007600 | organism=Plasmodium_vivax_PAM | gene_product=alpha/beta hydrolase, putative | transcript_product=alpha/beta hydrolase, putative | location=CASCJQ010000003:121465-124068(-) | protein_length=867 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5931at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5931at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5931at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:12 2026
# [ok]
