#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720751.1         -            800 4394at5820           -            638         0 1114.6  69.3   1   2  2.6e-297  1.7e-294  976.9  59.2     1   520     1   535     1   565 0.97 | transcript=PVPAM_090051500_t1 | gene=PVPAM_090051500 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=CASCJQ010000009:2066270-2069818(-) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720751.1         -            800 4394at5820           -            638         0 1114.6  69.3   2   2   4.8e-45   3.1e-42  143.5   2.4   526   638   672   791   663   791 0.92 | transcript=PVPAM_090051500_t1 | gene=PVPAM_090051500 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-X4, putative | transcript_product=kinesin-X4, putative | location=CASCJQ010000009:2066270-2069818(-) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720108.1         -           1288 4394at5820           -            638   3.9e-31  106.8  32.3   1   2   4.3e-19   2.8e-16   57.7   5.3     4   155   511   654   508   660 0.78 | transcript=PVPAM_080033000_t1 | gene=PVPAM_080033000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=CASCJQ010000008:1268333-1272199(-) | protein_length=1288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720108.1         -           1288 4394at5820           -            638   3.9e-31  106.8  32.3   2   2   6.3e-18   4.1e-15   53.9  19.2   189   452   670   936   659   943 0.67 | transcript=PVPAM_080033000_t1 | gene=PVPAM_080033000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8X, putative | transcript_product=kinesin-8X, putative | location=CASCJQ010000008:1268333-1272199(-) | protein_length=1288 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 4394at5820           -            638   2.2e-30  104.3  14.9   1   3       3.5   2.3e+03   -4.7   1.0   395   435   223   263   196   277 0.51 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 4394at5820           -            638   2.2e-30  104.3  14.9   2   3   3.4e-33   2.2e-30  104.3  14.9    27   377   803  1129   780  1188 0.79 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717884.1         -           1473 4394at5820           -            638   2.2e-30  104.3  14.9   3   3        10   6.5e+03  -10.2  17.9   440   574  1305  1438  1241  1459 0.71 | transcript=PVPAM_020011600_t1 | gene=PVPAM_020011600 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-8B, putative | transcript_product=kinesin-8B, putative | location=CASCJQ010000002:316567-321596(+) | protein_length=1473 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719998.1         -           3266 4394at5820           -            638   1.4e-24   85.2  34.8   1   7   6.6e-21   4.2e-18   63.8  22.7     3   244   162   412   160   420 0.82 | transcript=PVPAM_080022000_t1 | gene=PVPAM_080022000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=CASCJQ010000008:791162-801236(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719998.1         -           3266 4394at5820           -            638   1.4e-24   85.2  34.8   2   7   3.7e-13   2.4e-10   38.2   4.2   245   371   496   607   491   693 0.80 | transcript=PVPAM_080022000_t1 | gene=PVPAM_080022000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=CASCJQ010000008:791162-801236(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719998.1         -           3266 4394at5820           -            638   1.4e-24   85.2  34.8   3   7       2.8   1.8e+03   -4.4   2.6   460   572  1025  1057   990  1081 0.55 | transcript=PVPAM_080022000_t1 | gene=PVPAM_080022000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=CASCJQ010000008:791162-801236(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719998.1         -           3266 4394at5820           -            638   1.4e-24   85.2  34.8   4   7        10   6.5e+03  -14.1  35.4   381   580  1378  1569  1359  1585 0.40 | transcript=PVPAM_080022000_t1 | gene=PVPAM_080022000 | organism=Plasmodium_vivax_PAM | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=CASCJQ010000008:791162-801236(-) | protein_length=3266 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
