#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723809.1         -            302 9829at5820           -            272  2.3e-163  540.5  15.9   1   1  5.1e-166  3.6e-163  539.9  15.9     1   272     9   298     9   298 0.97 | transcript=PVPAM_140073200_t1 | gene=PVPAM_140073200 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | transcript_product=peptidyl-prolyl cis-trans isomerase FKBP35, putative | location=CASCJQ010000014:2882921-2883829(-) | protein_length=302 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722012.1         -            522 9829at5820           -            272   3.8e-17   61.1  18.3   1   3   5.3e-20   3.8e-17   61.1  18.3   117   271    20   188    14   190 0.80 | transcript=PVPAM_120025100_t1 | gene=PVPAM_120025100 | organism=Plasmodium_vivax_PAM | gene_product=chaperone binding protein, putative | transcript_product=chaperone binding protein, putative | location=CASCJQ010000012:804556-806124(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722012.1         -            522 9829at5820           -            272   3.8e-17   61.1  18.3   2   3         7     5e+03   -4.9   4.7   132   155   307   333   262   380 0.68 | transcript=PVPAM_120025100_t1 | gene=PVPAM_120025100 | organism=Plasmodium_vivax_PAM | gene_product=chaperone binding protein, putative | transcript_product=chaperone binding protein, putative | location=CASCJQ010000012:804556-806124(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722012.1         -            522 9829at5820           -            272   3.8e-17   61.1  18.3   3   3       1.2   8.7e+02   -2.4   1.2   141   192   353   406   328   427 0.60 | transcript=PVPAM_120025100_t1 | gene=PVPAM_120025100 | organism=Plasmodium_vivax_PAM | gene_product=chaperone binding protein, putative | transcript_product=chaperone binding protein, putative | location=CASCJQ010000012:804556-806124(-) | protein_length=522 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720402.1         -            426 9829at5820           -            272   3.4e-11   41.5   8.0   1   2       1.9   1.4e+03   -3.1   0.2    19    51    25    61    13    72 0.48 | transcript=PVPAM_090016700_t1 | gene=PVPAM_090016700 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000009:593770-595217(+) | protein_length=426 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720402.1         -            426 9829at5820           -            272   3.4e-11   41.5   8.0   2   2   4.7e-14   3.4e-11   41.5   8.0   119   262   105   265    99   274 0.80 | transcript=PVPAM_090016700_t1 | gene=PVPAM_090016700 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000009:593770-595217(+) | protein_length=426 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723753.1         -            571 9829at5820           -            272   5.8e-09   34.2   9.4   1   1   1.6e-11   1.1e-08   33.3   9.4   132   250   397   514   387   527 0.92 | transcript=PVPAM_140067600_t1 | gene=PVPAM_140067600 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000014:2700696-2702411(+) | protein_length=571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 9829at5820           -            272   6.8e-07   27.4  48.7   1   4   4.9e-08   3.5e-05   21.8   0.4   133   253     6   121     2   125 0.87 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 9829at5820           -            272   6.8e-07   27.4  48.7   2   4       2.4   1.7e+03   -3.4   7.9   154   209   120   174   102   231 0.71 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 9829at5820           -            272   6.8e-07   27.4  48.7   3   4     0.018        13    3.5  14.6   130   249   235   354   220   362 0.64 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722806.1         -            559 9829at5820           -            272   6.8e-07   27.4  48.7   4   4     2e-06    0.0015   16.5  10.7   124   256   366   491   347   502 0.77 | transcript=PVPAM_130030700_t1 | gene=PVPAM_130030700 | organism=Plasmodium_vivax_PAM | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=CASCJQ010000013:1164239-1165918(-) | protein_length=559 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717694.1         -           1094 9829at5820           -            272   1.6e-06   26.2   5.5   1   2         4   2.9e+03   -4.1   1.5   116   159    23    71    17    89 0.66 | transcript=PVPAM_010020800_t1 | gene=PVPAM_010020800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000001:753759-757043(+) | protein_length=1094 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717694.1         -           1094 9829at5820           -            272   1.6e-06   26.2   5.5   2   2   2.2e-09   1.6e-06   26.2   5.5   130   248   834   948   817   972 0.87 | transcript=PVPAM_010020800_t1 | gene=PVPAM_010020800 | organism=Plasmodium_vivax_PAM | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=CASCJQ010000001:753759-757043(+) | protein_length=1094 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718475.1         -            477 9829at5820           -            272   2.4e-05   22.3   3.7   1   2   2.7e-07    0.0002   19.4   0.3   137   218    14    91     2   136 0.80 | transcript=PVPAM_040022100_t1 | gene=PVPAM_040022100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000004:728347-730383(+) | protein_length=477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718475.1         -            477 9829at5820           -            272   2.4e-05   22.3   3.7   2   2     0.014        10    3.9   0.3   136   200   302   367   285   376 0.88 | transcript=PVPAM_040022100_t1 | gene=PVPAM_040022100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000004:728347-730383(+) | protein_length=477 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720181.1         -           1110 9829at5820           -            272   3.7e-05   21.7   2.7   1   1   9.8e-08     7e-05   20.8   2.7   130   201   238   305   218   333 0.84 | transcript=PVPAM_080040300_t1 | gene=PVPAM_080040300 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000008:1569404-1572736(+) | protein_length=1110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
