#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718749.1         -           1677 2206at5820           -            834         0 1239.2 104.0   1   9  1.2e-101   3.8e-98  328.3  14.3     4   182   148   326   146   335 0.98 | transcript=PVPAM_050014300_t1 | gene=PVPAM_050014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:431153-436387(+) | protein_length=1677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718749.1         -           1677 2206at5820           -            834         0 1239.2 104.0   2   9  3.1e-141    1e-137  459.2  20.3   177   438   388   660   375   667 0.94 | transcript=PVPAM_050014300_t1 | gene=PVPAM_050014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:431153-436387(+) | protein_length=1677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718749.1         -           1677 2206at5820           -            834         0 1239.2 104.0   3   9   3.3e-09   1.1e-05   22.5   0.6   421   467   737   782   687   787 0.81 | transcript=PVPAM_050014300_t1 | gene=PVPAM_050014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:431153-436387(+) | protein_length=1677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718749.1         -           1677 2206at5820           -            834         0 1239.2 104.0   4   9      0.31   9.9e+02   -3.9   0.8   199   225   904   930   900   932 0.77 | transcript=PVPAM_050014300_t1 | gene=PVPAM_050014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:431153-436387(+) | protein_length=1677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718749.1         -           1677 2206at5820           -            834         0 1239.2 104.0   5   9   4.9e-50   1.6e-46  157.5   2.4   466   573   969  1081   961  1083 0.93 | transcript=PVPAM_050014300_t1 | gene=PVPAM_050014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:431153-436387(+) | protein_length=1677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718749.1         -           1677 2206at5820           -            834         0 1239.2 104.0   6   9     0.012        37    0.8   0.0   573   588  1149  1164  1137  1178 0.86 | transcript=PVPAM_050014300_t1 | gene=PVPAM_050014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:431153-436387(+) | protein_length=1677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718749.1         -           1677 2206at5820           -            834         0 1239.2 104.0   7   9   1.5e-12     5e-09   33.5   0.3   585   620  1263  1298  1259  1303 0.94 | transcript=PVPAM_050014300_t1 | gene=PVPAM_050014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:431153-436387(+) | protein_length=1677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718749.1         -           1677 2206at5820           -            834         0 1239.2 104.0   8   9   5.7e-40   1.9e-36  124.2  14.3   623   748  1375  1526  1322  1534 0.79 | transcript=PVPAM_050014300_t1 | gene=PVPAM_050014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:431153-436387(+) | protein_length=1677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718749.1         -           1677 2206at5820           -            834         0 1239.2 104.0   9   9     4e-46   1.3e-42  144.6   0.6   734   834  1576  1677  1569  1677 0.95 | transcript=PVPAM_050014300_t1 | gene=PVPAM_050014300 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000005:431153-436387(+) | protein_length=1677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717916.1         -            226 2206at5820           -            834   0.00064   16.6   4.3   1   1   2.4e-07   0.00078   16.3   4.3    84   174    69   165    54   174 0.74 | transcript=PVPAM_020014800_t1 | gene=PVPAM_020014800 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:411766-412446(+) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2206at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2206at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2206at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:30 2026
# [ok]
