#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722399.1         -            321 9793at5820           -            231  3.1e-113  375.3  19.2   1   3   1.2e-26     2e-23   81.5   0.2     1    54     1    54     1    75 0.93 | transcript=PVPAM_120063500_t1 | gene=PVPAM_120063500 | organism=Plasmodium_vivax_PAM | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=CASCJQ010000012:2385218-2386183(-) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722399.1         -            321 9793at5820           -            231  3.1e-113  375.3  19.2   2   3   1.5e-31   2.5e-28   97.5   0.6    51   108   107   164    98   171 0.95 | transcript=PVPAM_120063500_t1 | gene=PVPAM_120063500 | organism=Plasmodium_vivax_PAM | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=CASCJQ010000012:2385218-2386183(-) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722399.1         -            321 9793at5820           -            231  3.1e-113  375.3  19.2   3   3   3.2e-64   5.2e-61  204.4   6.6   107   231   185   320   176   320 0.93 | transcript=PVPAM_120063500_t1 | gene=PVPAM_120063500 | organism=Plasmodium_vivax_PAM | gene_product=HSP20-like chaperone, putative | transcript_product=HSP20-like chaperone, putative | location=CASCJQ010000012:2385218-2386183(-) | protein_length=321 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721985.1         -            378 9793at5820           -            231   8.4e-06   23.8  13.0   1   3      0.77   1.2e+03   -2.9   0.5   112   158    72   118    52   138 0.59 | transcript=PVPAM_120022400_t1 | gene=PVPAM_120022400 | organism=Plasmodium_vivax_PAM | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=CASCJQ010000012:730254-731390(-) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721985.1         -            378 9793at5820           -            231   8.4e-06   23.8  13.0   2   3   8.8e-09   1.4e-05   23.1   3.3    69   132   208   270   200   285 0.84 | transcript=PVPAM_120022400_t1 | gene=PVPAM_120022400 | organism=Plasmodium_vivax_PAM | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=CASCJQ010000012:730254-731390(-) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721985.1         -            378 9793at5820           -            231   8.4e-06   23.8  13.0   3   3   0.00047      0.76    7.6   0.1   181   220   285   324   272   335 0.79 | transcript=PVPAM_120022400_t1 | gene=PVPAM_120022400 | organism=Plasmodium_vivax_PAM | gene_product=nuclear movement protein, putative | transcript_product=nuclear movement protein, putative | location=CASCJQ010000012:730254-731390(-) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723335.1         -            293 9793at5820           -            231   3.8e-05   21.6   2.5   1   2      0.26   4.1e+02   -1.4   0.1   180   205   108   133    84   154 0.71 | transcript=PVPAM_140025400_t1 | gene=PVPAM_140025400 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC20, putative | transcript_product=protein transport protein SEC20, putative | location=CASCJQ010000014:887960-889891(-) | protein_length=293 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723335.1         -            293 9793at5820           -            231   3.8e-05   21.6   2.5   2   2   2.4e-08   3.8e-05   21.6   2.5   121   188   153   221   140   225 0.87 | transcript=PVPAM_140025400_t1 | gene=PVPAM_140025400 | organism=Plasmodium_vivax_PAM | gene_product=protein transport protein SEC20, putative | transcript_product=protein transport protein SEC20, putative | location=CASCJQ010000014:887960-889891(-) | protein_length=293 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719712.1         -            156 9793at5820           -            231    0.0046   14.8   0.9   1   2   9.7e-06     0.016   13.1   0.3    60   105    11    55     5    94 0.71 | transcript=PVPAM_070032600_t1 | gene=PVPAM_070032600 | organism=Plasmodium_vivax_PAM | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=CASCJQ010000007:1196551-1197244(+) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719712.1         -            156 9793at5820           -            231    0.0046   14.8   0.9   2   2     0.079   1.3e+02    0.3   0.0   184   198    99   113    81   135 0.72 | transcript=PVPAM_070032600_t1 | gene=PVPAM_070032600 | organism=Plasmodium_vivax_PAM | gene_product=HSP90 co-chaperone p23, putative | transcript_product=HSP90 co-chaperone p23, putative | location=CASCJQ010000007:1196551-1197244(+) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9793at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9793at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9793at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:43 2026
# [ok]
