#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721222.1         -            781 4293at5820           -            463  1.2e-235  781.1  43.2   1   4   2.5e-86   5.3e-83  277.8  13.8    31   179   176   324   147   329 0.90 | transcript=PVPAM_110012400_t1 | gene=PVPAM_110012400 | organism=Plasmodium_vivax_PAM | gene_product=CCR4 domain-containing protein 2, putative | transcript_product=CCR4 domain-containing protein 2, putative | location=CASCJQ010000011:285229-287824(-) | protein_length=781 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721222.1         -            781 4293at5820           -            463  1.2e-235  781.1  43.2   2   4   9.5e-30   2.1e-26   91.3   0.0   174   229   360   415   344   422 0.86 | transcript=PVPAM_110012400_t1 | gene=PVPAM_110012400 | organism=Plasmodium_vivax_PAM | gene_product=CCR4 domain-containing protein 2, putative | transcript_product=CCR4 domain-containing protein 2, putative | location=CASCJQ010000011:285229-287824(-) | protein_length=781 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721222.1         -            781 4293at5820           -            463  1.2e-235  781.1  43.2   3   4   5.2e-59   1.1e-55  187.8   7.9   225   343   448   578   445   593 0.86 | transcript=PVPAM_110012400_t1 | gene=PVPAM_110012400 | organism=Plasmodium_vivax_PAM | gene_product=CCR4 domain-containing protein 2, putative | transcript_product=CCR4 domain-containing protein 2, putative | location=CASCJQ010000011:285229-287824(-) | protein_length=781 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721222.1         -            781 4293at5820           -            463  1.2e-235  781.1  43.2   4   4   4.8e-74     1e-70  237.3   2.9   336   463   647   774   617   774 0.93 | transcript=PVPAM_110012400_t1 | gene=PVPAM_110012400 | organism=Plasmodium_vivax_PAM | gene_product=CCR4 domain-containing protein 2, putative | transcript_product=CCR4 domain-containing protein 2, putative | location=CASCJQ010000011:285229-287824(-) | protein_length=781 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720940.1         -           2741 4293at5820           -            463   1.6e-22   78.4   9.7   1   2   4.3e-20   9.2e-17   59.5   6.2    19   254  2338  2612  2328  2621 0.75 | transcript=PVPAM_100020800_t1 | gene=PVPAM_100020800 | organism=Plasmodium_vivax_PAM | gene_product=CCR4 domain-containing protein 1, putative | transcript_product=CCR4 domain-containing protein 1, putative | location=CASCJQ010000010:703165-711508(+) | protein_length=2741 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720940.1         -           2741 4293at5820           -            463   1.6e-22   78.4   9.7   2   2   1.4e-07    0.0003   18.2   0.1   387   437  2659  2709  2640  2736 0.80 | transcript=PVPAM_100020800_t1 | gene=PVPAM_100020800 | organism=Plasmodium_vivax_PAM | gene_product=CCR4 domain-containing protein 1, putative | transcript_product=CCR4 domain-containing protein 1, putative | location=CASCJQ010000010:703165-711508(+) | protein_length=2741 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717922.1         -            335 4293at5820           -            463     0.031   11.6   0.0   1   3      0.11   2.3e+02   -1.2   0.0    87   107    48    68    26   101 0.81 | transcript=PVPAM_020015400_t1 | gene=PVPAM_020015400 | organism=Plasmodium_vivax_PAM | gene_product=CCR4 domain-containing protein 3, putative | transcript_product=CCR4 domain-containing protein 3, putative | location=CASCJQ010000002:446019-448295(-) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717922.1         -            335 4293at5820           -            463     0.031   11.6   0.0   2   3      0.08   1.7e+02   -0.8   0.0   184   220   158   194   143   213 0.74 | transcript=PVPAM_020015400_t1 | gene=PVPAM_020015400 | organism=Plasmodium_vivax_PAM | gene_product=CCR4 domain-containing protein 3, putative | transcript_product=CCR4 domain-containing protein 3, putative | location=CASCJQ010000002:446019-448295(-) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717922.1         -            335 4293at5820           -            463     0.031   11.6   0.0   3   3   0.00014      0.29    8.3   0.0   398   454   278   329   247   333 0.82 | transcript=PVPAM_020015400_t1 | gene=PVPAM_020015400 | organism=Plasmodium_vivax_PAM | gene_product=CCR4 domain-containing protein 3, putative | transcript_product=CCR4 domain-containing protein 3, putative | location=CASCJQ010000002:446019-448295(-) | protein_length=335 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4293at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4293at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4293at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:03 2026
# [ok]
