#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723016.1         -            570 5555at5820           -            432  1.1e-232  770.8  54.4   1   2    6e-133  3.5e-130  433.0  23.7    11   221    57   268    53   274 0.98 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723016.1         -            570 5555at5820           -            432  1.1e-232  770.8  54.4   2   2  7.7e-106  4.5e-103  343.7  22.7   219   432   337   565   333   565 0.94 | transcript=PVPAM_130052200_t1 | gene=PVPAM_130052200 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg1, putative | transcript_product=GTP-binding protein Obg1, putative | location=CASCJQ010000013:2069597-2071309(-) | protein_length=570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718781.1         -            747 5555at5820           -            432   8.5e-18   62.7   4.6   1   2   1.4e-20   8.5e-18   62.7   4.6    19   267   248   499   230   511 0.80 | transcript=PVPAM_050017500_t1 | gene=PVPAM_050017500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=CASCJQ010000005:572418-574661(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718781.1         -            747 5555at5820           -            432   8.5e-18   62.7   4.6   2   2      0.18     1e+02   -0.1   0.1   268   318   580   634   573   696 0.76 | transcript=PVPAM_050017500_t1 | gene=PVPAM_050017500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein Obg2, putative | transcript_product=GTP-binding protein Obg2, putative | location=CASCJQ010000005:572418-574661(+) | protein_length=747 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721503.1         -            718 5555at5820           -            432   9.5e-13   46.1   1.0   1   1     3e-15   1.7e-12   45.2   1.0   180   327   175   336   109   352 0.81 | transcript=PVPAM_110040800_t1 | gene=PVPAM_110040800 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=CASCJQ010000011:1501877-1504033(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721268.1         -            367 5555at5820           -            432   2.3e-12   44.8   2.1   1   1   5.3e-15   3.1e-12   44.4   2.1   178   345    64   231    47   298 0.84 | transcript=PVPAM_110017000_t1 | gene=PVPAM_110017000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:514354-517480(+) | protein_length=367 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718896.1         -            639 5555at5820           -            432   6.6e-12   43.3   1.5   1   3      0.64   3.8e+02   -2.0   0.4   339   377   191   226   172   277 0.55 | transcript=PVPAM_050028800_t1 | gene=PVPAM_050028800 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000005:994180-996099(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718896.1         -            639 5555at5820           -            432   6.6e-12   43.3   1.5   2   3      0.96   5.6e+02   -2.6   2.9   255   321   332   397   295   425 0.50 | transcript=PVPAM_050028800_t1 | gene=PVPAM_050028800 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000005:994180-996099(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718896.1         -            639 5555at5820           -            432   6.6e-12   43.3   1.5   3   3   1.1e-14   6.6e-12   43.3   1.5   170   261   450   548   438   606 0.81 | transcript=PVPAM_050028800_t1 | gene=PVPAM_050028800 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000005:994180-996099(+) | protein_length=639 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720891.1         -            365 5555at5820           -            432     1e-10   39.4   0.5   1   1   2.5e-13   1.5e-10   38.9   0.5   177   263    64   151    57   257 0.68 | transcript=PVPAM_100015900_t1 | gene=PVPAM_100015900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome-interacting GTPase 1, putative | transcript_product=ribosome-interacting GTPase 1, putative | location=CASCJQ010000010:476880-477977(+) | protein_length=365 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721554.1         -            627 5555at5820           -            432   2.3e-08   31.7  10.4   1   3   1.4e-06   0.00084   16.6   3.1    22    66    94   140    82   207 0.83 | transcript=PVPAM_110045900_t1 | gene=PVPAM_110045900 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000011:1697467-1699465(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
