#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723645.1         -            376 7425at5820           -            101   3.2e-62  205.6   0.2   1   2      0.11   1.1e+02    1.7   0.0    10    53   207   253   202   261 0.76 | transcript=PVPAM_140056900_t1 | gene=PVPAM_140056900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000014:2235558-2236895(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723645.1         -            376 7425at5820           -            101   3.2e-62  205.6   0.2   2   2   6.5e-64     7e-61  201.3   0.1     1   101   269   374   269   374 0.96 | transcript=PVPAM_140056900_t1 | gene=PVPAM_140056900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000014:2235558-2236895(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720580.1         -            615 7425at5820           -            101     1e-10   40.3   3.5   1   3      0.62   6.7e+02   -0.8   0.0     5    36   110   141   108   155 0.75 | transcript=PVPAM_090034500_t1 | gene=PVPAM_090034500 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000009:1319081-1320928(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720580.1         -            615 7425at5820           -            101     1e-10   40.3   3.5   2   3       1.4   1.5e+03   -1.9   0.1     5    42   172   212   170   223 0.58 | transcript=PVPAM_090034500_t1 | gene=PVPAM_090034500 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000009:1319081-1320928(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720580.1         -            615 7425at5820           -            101     1e-10   40.3   3.5   3   3   1.4e-13   1.5e-10   39.8   0.1     2    75   379   456   378   463 0.88 | transcript=PVPAM_090034500_t1 | gene=PVPAM_090034500 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000009:1319081-1320928(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 7425at5820           -            101   1.7e-07   30.0   0.0   1   1     1e-09   1.1e-06   27.4   0.0     2    62   346   411   345   425 0.82 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719157.1         -            556 7425at5820           -            101   1.7e-05   23.5   0.0   1   2       2.4   2.6e+03   -2.7   0.0     1    14   311   324   311   328 0.87 | transcript=PVPAM_060016400_t1 | gene=PVPAM_060016400 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=CASCJQ010000006:477532-479372(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719157.1         -            556 7425at5820           -            101   1.7e-05   23.5   0.0   2   2   9.2e-08   9.9e-05   21.1   0.0    20    66   439   485   430   500 0.87 | transcript=PVPAM_060016400_t1 | gene=PVPAM_060016400 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=CASCJQ010000006:477532-479372(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720394.1         -            505 7425at5820           -            101     0.011   14.5   1.0   1   3      0.75   8.1e+02   -1.1   0.0    14    56   163   204   152   225 0.62 | transcript=PVPAM_090015900_t1 | gene=PVPAM_090015900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=CASCJQ010000009:572450-573967(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720394.1         -            505 7425at5820           -            101     0.011   14.5   1.0   2   3       1.9     2e+03   -2.4   0.0    51    63   267   278   243   294 0.62 | transcript=PVPAM_090015900_t1 | gene=PVPAM_090015900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=CASCJQ010000009:572450-573967(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720394.1         -            505 7425at5820           -            101     0.011   14.5   1.0   3   3   8.8e-05     0.094   11.5   0.3     4    74   340   417   337   428 0.69 | transcript=PVPAM_090015900_t1 | gene=PVPAM_090015900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=CASCJQ010000009:572450-573967(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
