#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719477.1         -           1424 799at5820            -           1183         0 1954.5  58.4   1   5  1.6e-194  2.5e-191  636.4  12.2     1   382     5   418     5   424 0.94 | transcript=PVPAM_070009100_t1 | gene=PVPAM_070009100 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=CASCJQ010000007:235785-240208(+) | protein_length=1424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719477.1         -           1424 799at5820            -           1183         0 1954.5  58.4   2   5  6.9e-190  1.1e-186  621.0   2.9   381   726   455   827   448   829 0.95 | transcript=PVPAM_070009100_t1 | gene=PVPAM_070009100 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=CASCJQ010000007:235785-240208(+) | protein_length=1424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719477.1         -           1424 799at5820            -           1183         0 1954.5  58.4   3   5  5.3e-142  8.5e-139  462.4  20.6   725  1013   858  1163   849  1190 0.93 | transcript=PVPAM_070009100_t1 | gene=PVPAM_070009100 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=CASCJQ010000007:235785-240208(+) | protein_length=1424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719477.1         -           1424 799at5820            -           1183         0 1954.5  58.4   4   5    0.0065        10    1.7   0.0  1009  1029  1202  1226  1194  1234 0.85 | transcript=PVPAM_070009100_t1 | gene=PVPAM_070009100 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=CASCJQ010000007:235785-240208(+) | protein_length=1424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719477.1         -           1424 799at5820            -           1183         0 1954.5  58.4   5   5   2.4e-77     4e-74  248.2   0.1  1025  1183  1261  1423  1252  1423 0.95 | transcript=PVPAM_070009100_t1 | gene=PVPAM_070009100 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=CASCJQ010000007:235785-240208(+) | protein_length=1424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 799at5820            -           1183     8e-19   65.1   8.1   1   4   3.4e-07   0.00056   15.9   0.1   579   649   305   377   278   399 0.70 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 799at5820            -           1183     8e-19   65.1   8.1   2   4   8.3e-09   1.3e-05   21.3   0.1   584   671   716   802   700   816 0.79 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 799at5820            -           1183     8e-19   65.1   8.1   3   4   2.8e-05     0.046    9.6   0.1   585   618  1114  1149  1084  1152 0.78 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723061.1         -           1306 799at5820            -           1183     8e-19   65.1   8.1   4   4   1.5e-08   2.5e-05   20.4   0.0   589   627  1231  1272  1207  1300 0.78 | transcript=PVPAM_130056700_t1 | gene=PVPAM_130056700 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000013:2296955-2300875(-) | protein_length=1306 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719664.1         -            325 799at5820            -           1183   0.00066   15.6   0.1   1   1   5.6e-07   0.00091   15.2   0.1  1053  1180   140   271   131   273 0.75 | transcript=PVPAM_070027800_t1 | gene=PVPAM_070027800 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:1001233-1004003(+) | protein_length=325 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717904.1         -           1087 799at5820            -           1183     0.018   10.9   1.5   1   2    0.0079        13    1.5   0.0   324   348   412   436   408   439 0.92 | transcript=PVPAM_020013600_t1 | gene=PVPAM_020013600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000002:370344-373811(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717904.1         -           1087 799at5820            -           1183     0.018   10.9   1.5   2   2   0.00011      0.18    7.6   0.5   587   619   780   811   768   815 0.85 | transcript=PVPAM_020013600_t1 | gene=PVPAM_020013600 | organism=Plasmodium_vivax_PAM | gene_product=LCCL domain-containing protein, putative | transcript_product=LCCL domain-containing protein, putative | location=CASCJQ010000002:370344-373811(-) | protein_length=1087 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/799at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/799at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/799at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:38 2026
# [ok]
