#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722453.1         -            101 15144at5820          -             92   6.1e-62  204.9   5.6   1   1   9.7e-65   6.9e-62  204.7   5.6     1    92     7    98     7    98 0.99 | transcript=PVPAM_120069000_t1 | gene=PVPAM_120069000 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=CASCJQ010000012:2619511-2620187(-) | protein_length=101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721857.1         -             94 15144at5820          -             92   1.1e-10   40.5   0.5   1   1     2e-13   1.5e-10   40.2   0.4    16    75    29    86    14    91 0.91 | transcript=PVPAM_120009100_t1 | gene=PVPAM_120009100 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=CASCJQ010000012:170799-171550(+) | protein_length=94 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718825.1         -             91 15144at5820          -             92   4.3e-06   25.9   0.1   1   1   7.4e-09   5.3e-06   25.6   0.1    13    64    17    69     7    89 0.70 | transcript=PVPAM_050021900_t1 | gene=PVPAM_050021900 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=CASCJQ010000005:733817-734656(+) | protein_length=91 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722736.1         -            107 15144at5820          -             92   6.3e-06   25.3   0.1   1   1   1.1e-08   7.8e-06   25.0   0.1    10    54    20    64    13   100 0.74 | transcript=PVPAM_130023700_t1 | gene=PVPAM_130023700 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=CASCJQ010000013:847546-848322(+) | protein_length=107 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718801.1         -             83 15144at5820          -             92   3.9e-05   22.8   0.1   1   1   1.3e-07   9.6e-05   21.5   0.1    12    50    16    54     9    81 0.87 | transcript=PVPAM_050019500_t1 | gene=PVPAM_050019500 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=CASCJQ010000005:644671-645141(+) | protein_length=83 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718425.1         -            101 15144at5820          -             92   0.00061   19.0   0.4   1   1   1.1e-06   0.00081   18.6   0.4     6    66    18    79    16    96 0.75 | transcript=PVPAM_040017100_t1 | gene=PVPAM_040017100 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein Sm D2, putative | transcript_product=small nuclear ribonucleoprotein Sm D2, putative | location=CASCJQ010000004:535886-536424(-) | protein_length=101 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722984.1         -            201 15144at5820          -             92    0.0017   17.5   0.2   1   2   5.7e-06    0.0041   16.3   0.1    18    85    15    87     6    94 0.75 | transcript=PVPAM_130049000_t1 | gene=PVPAM_130049000 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=CASCJQ010000013:1932641-1933491(+) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722984.1         -            201 15144at5820          -             92    0.0017   17.5   0.2   2   2      0.63   4.5e+02    0.2   0.0    62    84    85   107    78   109 0.86 | transcript=PVPAM_130049000_t1 | gene=PVPAM_130049000 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=CASCJQ010000013:1932641-1933491(+) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718732.1         -             95 15144at5820          -             92    0.0046   16.1   0.4   1   1   7.4e-06    0.0053   15.9   0.4    16    59    12    55     4    86 0.82 | transcript=PVPAM_050012600_t1 | gene=PVPAM_050012600 | organism=Plasmodium_vivax_PAM | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=CASCJQ010000005:363483-364299(-) | protein_length=95 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720553.1         -             86 15144at5820          -             92     0.034   13.4   0.0   1   1   5.1e-05     0.037   13.3   0.0     9    50    13    54     6    75 0.87 | transcript=PVPAM_090031900_t1 | gene=PVPAM_090031900 | organism=Plasmodium_vivax_PAM | gene_product=small nuclear ribonucleoprotein F, putative | transcript_product=small nuclear ribonucleoprotein F, putative | location=CASCJQ010000009:1225266-1226140(-) | protein_length=86 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
