#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717806.1         -            574 5648at5820           -            472  2.4e-259  859.4  27.1   1   3   9.1e-11   5.9e-08   30.5   0.1     1    26     1    26     1    29 0.93 | transcript=PVPAM_010032000_t1 | gene=PVPAM_010032000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar protein 10, putative | transcript_product=nucleolar protein 10, putative | location=CASCJQ010000001:1217830-1219554(+) | protein_length=574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717806.1         -            574 5648at5820           -            472  2.4e-259  859.4  27.1   2   3    2e-146  1.3e-143  477.8   2.0    20   257    43   281    38   285 0.98 | transcript=PVPAM_010032000_t1 | gene=PVPAM_010032000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar protein 10, putative | transcript_product=nucleolar protein 10, putative | location=CASCJQ010000001:1217830-1219554(+) | protein_length=574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717806.1         -            574 5648at5820           -            472  2.4e-259  859.4  27.1   3   3  1.3e-109  8.5e-107  356.4  12.9   257   472   314   569   311   569 0.90 | transcript=PVPAM_010032000_t1 | gene=PVPAM_010032000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar protein 10, putative | transcript_product=nucleolar protein 10, putative | location=CASCJQ010000001:1217830-1219554(+) | protein_length=574 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723743.1         -            472 5648at5820           -            472   1.1e-05   23.0   0.4   1   1   2.6e-08   1.7e-05   22.4   0.4   146   238   200   295   125   341 0.84 | transcript=PVPAM_140066700_t1 | gene=PVPAM_140066700 | organism=Plasmodium_vivax_PAM | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=CASCJQ010000014:2657658-2659316(-) | protein_length=472 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 5648at5820           -            472   1.8e-05   22.3   0.0   1   2   1.5e-07   9.5e-05   19.9   0.0    19   221    50   260    39   272 0.75 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718757.1         -            322 5648at5820           -            472   1.8e-05   22.3   0.0   2   2      0.18   1.2e+02   -0.2   0.0   181   233   261   319   254   321 0.65 | transcript=PVPAM_050015100_t1 | gene=PVPAM_050015100 | organism=Plasmodium_vivax_PAM | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=CASCJQ010000005:464459-465869(+) | protein_length=322 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 5648at5820           -            472   4.4e-05   21.0   0.3   1   3       3.8   2.4e+03   -4.5   2.2   410   431   137   158    85   202 0.52 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 5648at5820           -            472   4.4e-05   21.0   0.3   2   3      0.12        78    0.4   0.1   218   269   297   348   289   359 0.61 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 5648at5820           -            472   4.4e-05   21.0   0.3   3   3   6.9e-08   4.4e-05   21.0   0.3   166   272   371   476   324   523 0.76 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722061.1         -            533 5648at5820           -            472   8.5e-05   20.1   0.1   1   1   2.2e-07   0.00014   19.3   0.1   167   264   347   450   329   478 0.72 | transcript=PVPAM_120029900_t1 | gene=PVPAM_120029900 | organism=Plasmodium_vivax_PAM | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=CASCJQ010000012:965657-967258(+) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 5648at5820           -            472    0.0001   19.8  24.4   1   4      0.32   2.1e+02   -1.0   0.9   421   463    27    66    11    73 0.74 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 5648at5820           -            472    0.0001   19.8  24.4   2   4     0.028        18    2.5   7.4   387   448   173   235   123   252 0.81 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 5648at5820           -            472    0.0001   19.8  24.4   3   4   5.8e-06    0.0037   14.7   0.1   164   236   402   474   384   492 0.82 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 5648at5820           -            472    0.0001   19.8  24.4   4   4   2.8e-05     0.018   12.4   0.1   135   249   498   611   489   626 0.83 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 5648at5820           -            472   0.00011   19.7  24.4   1   4      0.33   2.1e+02   -1.0   0.9   421   463    27    66    11    73 0.74 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 5648at5820           -            472   0.00011   19.7  24.4   2   4     0.029        19    2.4   7.3   387   448   182   244   132   261 0.81 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 5648at5820           -            472   0.00011   19.7  24.4   3   4   5.9e-06    0.0038   14.6   0.1   164   236   411   483   393   501 0.82 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 5648at5820           -            472   0.00011   19.7  24.4   4   4   2.9e-05     0.019   12.3   0.1   135   249   507   620   498   635 0.83 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 5648at5820           -            472   0.00018   19.0   0.2   1   1   1.7e-06    0.0011   16.4   0.1   132   237   314   420   307   426 0.82 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 5648at5820           -            472    0.0033   14.8   0.2   1   3      0.44   2.8e+02   -1.5   0.0   193   252   289   348   282   377 0.55 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 5648at5820           -            472    0.0033   14.8   0.2   2   3   0.00023      0.15    9.4   0.0   146   234   398   483   371   491 0.80 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717798.1         -           1071 5648at5820           -            472    0.0033   14.8   0.2   3   3     0.065        42    1.3   0.0   163   216   525   582   517   646 0.72 | transcript=PVPAM_010031200_t1 | gene=PVPAM_010031200 | organism=Plasmodium_vivax_PAM | gene_product=periodic tryptophan protein 2, putative | transcript_product=periodic tryptophan protein 2, putative | location=CASCJQ010000001:1164327-1167542(+) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718877.1         -            458 5648at5820           -            472     0.051   10.9   0.0   1   1   0.00012     0.075   10.3   0.0   151   217   318   386   310   425 0.76 | transcript=PVPAM_050026900_t1 | gene=PVPAM_050026900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=CASCJQ010000005:924052-925428(+) | protein_length=458 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5648at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5648at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5648at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:43 2026
# [ok]
