#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721895.1         -           5569 48at5820             -           4172         0 7683.3 187.2   1  10         0         0 1065.9  28.1     1   549     1   632     1   653 0.88 | transcript=PVPAM_120012900_t1 | gene=PVPAM_120012900 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:318026-334735(-) | protein_length=5569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721895.1         -           5569 48at5820             -           4172         0 7683.3 187.2   2  10  5.5e-178  3.5e-174  579.4   0.5   553   852   692  1039   678  1046 0.97 | transcript=PVPAM_120012900_t1 | gene=PVPAM_120012900 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:318026-334735(-) | protein_length=5569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721895.1         -           5569 48at5820             -           4172         0 7683.3 187.2   3  10  2.3e-118  1.5e-114  381.5   9.2   846  1057  1085  1328  1078  1335 0.95 | transcript=PVPAM_120012900_t1 | gene=PVPAM_120012900 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:318026-334735(-) | protein_length=5569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721895.1         -           5569 48at5820             -           4172         0 7683.3 187.2   4  10     0.015        99   -2.9   0.0  1052  1076  1396  1420  1391  1431 0.81 | transcript=PVPAM_120012900_t1 | gene=PVPAM_120012900 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:318026-334735(-) | protein_length=5569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721895.1         -           5569 48at5820             -           4172         0 7683.3 187.2   5  10         0         0 1290.6  23.6  1076  1779  1503  2343  1494  2368 0.92 | transcript=PVPAM_120012900_t1 | gene=PVPAM_120012900 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:318026-334735(-) | protein_length=5569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721895.1         -           5569 48at5820             -           4172         0 7683.3 187.2   6  10         0         0 1086.2  37.2  1787  2447  2423  3332  2409  3340 0.92 | transcript=PVPAM_120012900_t1 | gene=PVPAM_120012900 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:318026-334735(-) | protein_length=5569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721895.1         -           5569 48at5820             -           4172         0 7683.3 187.2   7  10   8.9e-55   5.7e-51  170.5   0.0  2453  2563  3416  3525  3399  3581 0.79 | transcript=PVPAM_120012900_t1 | gene=PVPAM_120012900 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:318026-334735(-) | protein_length=5569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721895.1         -           5569 48at5820             -           4172         0 7683.3 187.2   8  10         0         0 1415.2  14.6  2563  3331  3622  4515  3598  4519 0.93 | transcript=PVPAM_120012900_t1 | gene=PVPAM_120012900 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:318026-334735(-) | protein_length=5569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721895.1         -           5569 48at5820             -           4172         0 7683.3 187.2   9  10  4.6e-190    3e-186  619.5   2.8  3330  3683  4554  5004  4551  5015 0.94 | transcript=PVPAM_120012900_t1 | gene=PVPAM_120012900 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:318026-334735(-) | protein_length=5569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721895.1         -           5569 48at5820             -           4172         0 7683.3 187.2  10  10         0         0 1112.7  13.4  3690  4171  5075  5565  5063  5566 0.98 | transcript=PVPAM_120012900_t1 | gene=PVPAM_120012900 | organism=Plasmodium_vivax_PAM | gene_product=VPS13 domain-containing protein, putative | transcript_product=VPS13 domain-containing protein, putative | location=CASCJQ010000012:318026-334735(-) | protein_length=5569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
