#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720258.1         -            168 13466at5820          -            130   3.5e-72  238.8   5.5   1   1   5.8e-75   7.4e-72  237.7   5.5    15   130    53   168    27   168 0.95 | transcript=PVPAM_080048100_t1 | gene=PVPAM_080048100 | organism=Plasmodium_vivax_PAM | gene_product=1-cys-glutaredoxin-like protein-1, putative | transcript_product=1-cys-glutaredoxin-like protein-1, putative | location=CASCJQ010000008:1868882-1869766(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721563.1         -            220 13466at5820          -            130   3.8e-29   99.6   0.1   1   1   4.7e-32   6.1e-29   98.9   0.1    33   129   118   213    95   214 0.92 | transcript=PVPAM_110046800_t1 | gene=PVPAM_110046800 | organism=Plasmodium_vivax_PAM | gene_product=glutaredoxin-like protein | transcript_product=glutaredoxin-like protein | location=CASCJQ010000011:1738557-1739219(+) | protein_length=220 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717710.1         -            333 13466at5820          -            130   1.7e-25   87.8   0.4   1   2       1.8   2.3e+03   -3.2   0.0    26    39    81    94    69   104 0.59 | transcript=PVPAM_010022400_t1 | gene=PVPAM_010022400 | organism=Plasmodium_vivax_PAM | gene_product=glutaredoxin-like protein | transcript_product=glutaredoxin-like protein | location=CASCJQ010000001:811481-812482(-) | protein_length=333 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717710.1         -            333 13466at5820          -            130   1.7e-25   87.8   0.4   2   2   2.3e-28   2.9e-25   87.0   0.1    27   128   228   329   210   331 0.92 | transcript=PVPAM_010022400_t1 | gene=PVPAM_010022400 | organism=Plasmodium_vivax_PAM | gene_product=glutaredoxin-like protein | transcript_product=glutaredoxin-like protein | location=CASCJQ010000001:811481-812482(-) | protein_length=333 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720239.1         -            110 13466at5820          -            130   2.1e-05   22.8   1.4   1   1     2e-08   2.6e-05   22.5   1.4    32   129     8   103     4   104 0.81 | transcript=PVPAM_080046200_t1 | gene=PVPAM_080046200 | organism=Plasmodium_vivax_PAM | gene_product=glutaredoxin 1, putative | transcript_product=glutaredoxin 1, putative | location=CASCJQ010000008:1792990-1793912(+) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721019.1         -            627 13466at5820          -            130       2.5    6.4   9.5   1   4      0.53   6.9e+02   -1.5   0.1    30    79    82   136    75   162 0.62 | transcript=PVPAM_100028700_t1 | gene=PVPAM_100028700 | organism=Plasmodium_vivax_PAM | gene_product=inositol-3-phosphate synthase, putative | transcript_product=inositol-3-phosphate synthase, putative | location=CASCJQ010000010:994904-997014(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721019.1         -            627 13466at5820          -            130       2.5    6.4   9.5   2   4   0.00025      0.32    9.3   0.5    68   112   180   224   177   232 0.94 | transcript=PVPAM_100028700_t1 | gene=PVPAM_100028700 | organism=Plasmodium_vivax_PAM | gene_product=inositol-3-phosphate synthase, putative | transcript_product=inositol-3-phosphate synthase, putative | location=CASCJQ010000010:994904-997014(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721019.1         -            627 13466at5820          -            130       2.5    6.4   9.5   3   4      0.93   1.2e+03   -2.3   0.0    81    97   253   269   227   283 0.62 | transcript=PVPAM_100028700_t1 | gene=PVPAM_100028700 | organism=Plasmodium_vivax_PAM | gene_product=inositol-3-phosphate synthase, putative | transcript_product=inositol-3-phosphate synthase, putative | location=CASCJQ010000010:994904-997014(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721019.1         -            627 13466at5820          -            130       2.5    6.4   9.5   4   4     0.091   1.2e+02    1.0   0.2    74   120   449   499   384   505 0.74 | transcript=PVPAM_100028700_t1 | gene=PVPAM_100028700 | organism=Plasmodium_vivax_PAM | gene_product=inositol-3-phosphate synthase, putative | transcript_product=inositol-3-phosphate synthase, putative | location=CASCJQ010000010:994904-997014(+) | protein_length=627 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13466at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13466at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13466at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:25 2026
# [ok]
