#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722964.1         -            677 4511at5820           -            508  3.4e-280  928.5  23.1   1   3   2.5e-48   3.2e-45  153.3   0.7    19   121    52   158    43   165 0.89 | transcript=PVPAM_130047000_t1 | gene=PVPAM_130047000 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000013:1841121-1843154(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722964.1         -            677 4511at5820           -            508  3.4e-280  928.5  23.1   2   3  3.7e-207  4.8e-204  677.3  14.3   122   456   229   573   223   583 0.96 | transcript=PVPAM_130047000_t1 | gene=PVPAM_130047000 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000013:1841121-1843154(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722964.1         -            677 4511at5820           -            508  3.4e-280  928.5  23.1   3   3     7e-33     9e-30  102.3   0.0   452   508   621   677   603   677 0.92 | transcript=PVPAM_130047000_t1 | gene=PVPAM_130047000 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000013:1841121-1843154(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721858.1         -            585 4511at5820           -            508   5.8e-86  287.7   0.3   1   1   2.3e-88     3e-85  285.3   0.3    22   507    69   583    49   584 0.82 | transcript=PVPAM_120009200_t1 | gene=PVPAM_120009200 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000012:172890-174856(+) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721040.1         -            744 4511at5820           -            508     5e-11   40.5   0.1   1   3      0.64   8.3e+02   -3.1   0.0    66   119   189   247   186   258 0.68 | transcript=PVPAM_100030800_t1 | gene=PVPAM_100030800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000010:1119863-1122097(-) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721040.1         -            744 4511at5820           -            508     5e-11   40.5   0.1   2   3   2.7e-07   0.00035   17.9   0.1   249   322   469   540   462   578 0.86 | transcript=PVPAM_100030800_t1 | gene=PVPAM_100030800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000010:1119863-1122097(-) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721040.1         -            744 4511at5820           -            508     5e-11   40.5   0.1   3   3   8.7e-08   0.00011   19.6   0.0   450   503   681   736   669   739 0.79 | transcript=PVPAM_100030800_t1 | gene=PVPAM_100030800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000010:1119863-1122097(-) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718494.1         -            584 4511at5820           -            508   6.8e-11   40.1   0.4   1   1     1e-13   1.3e-10   39.1   0.4   245   503   321   576   303   580 0.79 | transcript=PVPAM_040023800_t1 | gene=PVPAM_040023800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000004:794417-796171(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 4511at5820           -            508     0.006   13.9   0.8   1   3     0.043        55    0.8   0.0   203   239   428   464   421   468 0.88 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 4511at5820           -            508     0.006   13.9   0.8   2   3   9.3e-05      0.12    9.6   1.0   250   316   594   661   586   672 0.79 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720991.1         -           1077 4511at5820           -            508     0.006   13.9   0.8   3   3      0.44   5.7e+02   -2.6   0.0   464   496  1038  1070  1011  1074 0.71 | transcript=PVPAM_100026000_t1 | gene=PVPAM_100026000 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000010:913078-916311(-) | protein_length=1077 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
