#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720234.1         -            532 4796at5820           -            494         0 1064.1  12.5   1   1         0         0 1063.9  12.5     1   494     8   529     8   529 0.98 | transcript=PVPAM_080045700_t1 | gene=PVPAM_080045700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=CASCJQ010000008:1782375-1783973(+) | protein_length=532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720607.1         -            543 4796at5820           -            494   5.7e-84  281.0   6.6   1   1   1.1e-86   7.6e-84  280.6   6.6    14   494    15   538     6   538 0.84 | transcript=PVPAM_090037100_t1 | gene=PVPAM_090037100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=CASCJQ010000009:1421873-1423746(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720099.1         -            535 4796at5820           -            494   1.8e-76  256.3  18.6   1   1   3.1e-79   2.2e-76  256.0  18.6     9   488    23   530    14   533 0.84 | transcript=PVPAM_080032100_t1 | gene=PVPAM_080032100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=CASCJQ010000008:1235751-1237358(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720221.1         -            540 4796at5820           -            494   1.3e-70  237.0  12.7   1   1   2.9e-73   2.1e-70  236.3  12.7     2   489    12   526    11   530 0.84 | transcript=PVPAM_080044400_t1 | gene=PVPAM_080044400 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=CASCJQ010000008:1728057-1729848(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721279.1         -            529 4796at5820           -            494   7.8e-66  221.2  17.5   1   1   1.5e-68   1.1e-65  220.7  17.5    10   489    18   528    11   529 0.83 | transcript=PVPAM_110018100_t1 | gene=PVPAM_110018100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=CASCJQ010000011:558026-560321(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723633.1         -            544 4796at5820           -            494   7.4e-54  181.7  15.2   1   1   1.3e-56   9.6e-54  181.3  15.2     3   488    12   527    10   532 0.81 | transcript=PVPAM_140055700_t1 | gene=PVPAM_140055700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=CASCJQ010000014:2189697-2191558(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718470.1         -            544 4796at5820           -            494   3.8e-36  123.3  22.8   1   1   6.6e-39   4.8e-36  123.0  22.8     2   491    12   527    11   529 0.80 | transcript=PVPAM_040021600_t1 | gene=PVPAM_040021600 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=CASCJQ010000004:707280-709172(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721544.1         -            543 4796at5820           -            494   2.6e-23   80.9  12.3   1   1   3.9e-25   2.8e-22   77.5  12.3    25   489    29   535    17   538 0.77 | transcript=PVPAM_110044900_t1 | gene=PVPAM_110044900 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=CASCJQ010000011:1669251-1671098(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723577.1         -            251 4796at5820           -            494    0.0017   15.6   0.2   1   2   0.00014       0.1    9.7   0.1    22    70    55    99    48   119 0.86 | transcript=PVPAM_140050100_t1 | gene=PVPAM_140050100 | organism=Plasmodium_vivax_PAM | gene_product=50S ribosomal protein L24, putative | transcript_product=50S ribosomal protein L24, putative | location=CASCJQ010000014:1952599-1953354(-) | protein_length=251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723577.1         -            251 4796at5820           -            494    0.0017   15.6   0.2   2   2     0.008       5.7    3.9   0.0   172   209   161   201   152   208 0.82 | transcript=PVPAM_140050100_t1 | gene=PVPAM_140050100 | organism=Plasmodium_vivax_PAM | gene_product=50S ribosomal protein L24, putative | transcript_product=50S ribosomal protein L24, putative | location=CASCJQ010000014:1952599-1953354(-) | protein_length=251 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
