#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723799.1         -            209 12243at5820          -            188  9.1e-109  360.1   4.4   1   1  2.1e-111  1.1e-108  359.9   4.4     1   188     5   209     5   209 0.95 | transcript=PVPAM_140072200_t1 | gene=PVPAM_140072200 | organism=Plasmodium_vivax_PAM | gene_product=myosin A-tail interacting protein, putative | transcript_product=myosin A-tail interacting protein, putative | location=CASCJQ010000014:2858420-2859049(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722807.1         -            149 12243at5820          -            188   1.4e-12   46.5   1.2   1   2   0.00011     0.054   12.0   0.0   124   175     9    60     3    69 0.87 | transcript=PVPAM_130030800_t1 | gene=PVPAM_130030800 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1169241-1170239(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722807.1         -            149 12243at5820          -            188   1.4e-12   46.5   1.2   2   2   1.3e-11   6.4e-09   34.5   0.3   106   184    64   144    57   148 0.86 | transcript=PVPAM_130030800_t1 | gene=PVPAM_130030800 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000013:1169241-1170239(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717924.1         -            168 12243at5820          -            188     6e-11   41.2   1.5   1   1   1.4e-13   7.2e-11   40.9   1.5    51   170    18   144     4   159 0.77 | transcript=PVPAM_020015600_t1 | gene=PVPAM_020015600 | organism=Plasmodium_vivax_PAM | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=CASCJQ010000002:450095-451406(-) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721361.1         -            136 12243at5820          -            188   2.6e-10   39.1   0.7   1   1     6e-13     3e-10   38.9   0.7    63   182    11   133     1   136 0.73 | transcript=PVPAM_110026400_t1 | gene=PVPAM_110026400 | organism=Plasmodium_vivax_PAM | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=CASCJQ010000011:937732-939202(+) | protein_length=136 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 12243at5820          -            188     4e-10   38.5   4.1   1   2    0.0052       2.6    6.5   0.1   121   165    12    56     2    61 0.80 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 12243at5820          -            188     4e-10   38.5   4.1   2   2   5.4e-11   2.7e-08   32.5   1.9    97   176    61   141    44   154 0.85 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719231.1         -            179 12243at5820          -            188   6.2e-10   37.9   1.5   1   1   1.5e-12   7.5e-10   37.6   1.5    52   174    33   159    12   171 0.77 | transcript=PVPAM_060023800_t1 | gene=PVPAM_060023800 | organism=Plasmodium_vivax_PAM | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=CASCJQ010000006:804255-805655(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 12243at5820          -            188   8.9e-08   30.8   7.0   1   3    0.0081         4    5.9   0.1   126   172    11    57     4    68 0.83 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 12243at5820          -            188   8.9e-08   30.8   7.0   2   3     0.024        12    4.3   0.0    53    88    44    79    38    97 0.84 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 12243at5820          -            188   8.9e-08   30.8   7.0   3   3   2.2e-09   1.1e-06   27.3   1.6   103   183   147   229   104   233 0.87 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 12243at5820          -            188   9.7e-08   30.7   0.2   1   2      0.19        95    1.4   0.0   122   154    23    55    19    64 0.84 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722421.1         -            168 12243at5820          -            188   9.7e-08   30.7   0.2   2   2   2.2e-09   1.1e-06   27.2   0.1   104   170    78   144    67   160 0.88 | transcript=PVPAM_120065700_t1 | gene=PVPAM_120065700 | organism=Plasmodium_vivax_PAM | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=CASCJQ010000012:2470167-2470928(+) | protein_length=168 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720470.1         -            662 12243at5820          -            188   1.9e-05   23.2   0.5   1   5       1.3   6.3e+02   -1.3   0.0   120   155   225   261   196   271 0.75 | transcript=PVPAM_090023500_t1 | gene=PVPAM_090023500 | organism=Plasmodium_vivax_PAM | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=CASCJQ010000009:854829-859763(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720470.1         -            662 12243at5820          -            188   1.9e-05   23.2   0.5   2   5       5.5   2.7e+03   -3.4   0.0    76   102   282   311   272   322 0.67 | transcript=PVPAM_090023500_t1 | gene=PVPAM_090023500 | organism=Plasmodium_vivax_PAM | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=CASCJQ010000009:854829-859763(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720470.1         -            662 12243at5820          -            188   1.9e-05   23.2   0.5   3   5       4.6   2.3e+03   -3.1   0.1    51    86   338   373   333   384 0.65 | transcript=PVPAM_090023500_t1 | gene=PVPAM_090023500 | organism=Plasmodium_vivax_PAM | gene_product=myosin light chain B, putative | transcript_product=myosin light chain B, putative | location=CASCJQ010000009:854829-859763(-) | protein_length=662 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
