#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_1007500|PVP01_1007500.1|unknown -            329 9479at5820           -            296    5e-157  520.4  18.2   1   1  1.1e-159  7.1e-157  519.9  18.2     1   296    12   329    12   329 0.95 -
GCA_040114635.1|PVP01_0511500|PVP01_0511500.1|unknown -            324 9479at5820           -            296     1e-08   33.5   8.6   1   4    0.0036       2.3    6.1   0.1    42    80    28    66    21    72 0.85 -
GCA_040114635.1|PVP01_0511500|PVP01_0511500.1|unknown -            324 9479at5820           -            296     1e-08   33.5   8.6   2   4   4.4e-05     0.028   12.4   6.3     8   153    39   181    32   184 0.85 -
GCA_040114635.1|PVP01_0511500|PVP01_0511500.1|unknown -            324 9479at5820           -            296     1e-08   33.5   8.6   3   4     4e-06    0.0025   15.8   0.0   229   286   178   234   168   244 0.87 -
GCA_040114635.1|PVP01_0511500|PVP01_0511500.1|unknown -            324 9479at5820           -            296     1e-08   33.5   8.6   4   4     0.078        49    1.7   0.0     6    32   295   321   289   324 0.85 -
GCA_040114635.1|PVP01_1107300|PVP01_1107300.1|unknown -            382 9479at5820           -            296   8.3e-08   30.5   1.6   1   2   1.1e-09     7e-07   27.5   0.1    82   201    14   134     6   146 0.80 -
GCA_040114635.1|PVP01_1107300|PVP01_1107300.1|unknown -            382 9479at5820           -            296   8.3e-08   30.5   1.6   2   2     0.064        40    2.0   0.1   230   287   262   321   233   325 0.67 -
GCA_040114635.1|PVP01_0507600|PVP01_0507600.1|unknown -            322 9479at5820           -            296   2.5e-07   28.9   6.1   1   3   7.8e-09   4.9e-06   24.7   1.7    16   164    32   186    26   193 0.81 -
GCA_040114635.1|PVP01_0507600|PVP01_0507600.1|unknown -            322 9479at5820           -            296   2.5e-07   28.9   6.1   2   3    0.0071       4.4    5.1   0.2    45   121   194   271   181   285 0.88 -
GCA_040114635.1|PVP01_0507600|PVP01_0507600.1|unknown -            322 9479at5820           -            296   2.5e-07   28.9   6.1   3   3      0.42   2.7e+02   -0.7   0.0    20    37   302   319   292   321 0.73 -
GCA_040114635.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 9479at5820           -            296   2.5e-06   25.7   4.5   1   3   2.7e-05     0.017   13.1   0.2    49   108   120   181   105   209 0.86 -
GCA_040114635.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 9479at5820           -            296   2.5e-06   25.7   4.5   2   3      0.93   5.9e+02   -1.8   0.1    48    98   365   419   352   462 0.55 -
GCA_040114635.1|PVP01_0946700|PVP01_0946700.1|unknown -            660 9479at5820           -            296   2.5e-06   25.7   4.5   3   3   2.9e-05     0.018   13.0   0.1    21   118   466   565   450   575 0.78 -
GCA_040114635.1|PVP01_0831600|PVP01_0831600.1|unknown -            498 9479at5820           -            296   3.6e-05   21.8   3.3   1   3    0.0046       2.9    5.7   0.1    11    80   260   330   254   344 0.82 -
GCA_040114635.1|PVP01_0831600|PVP01_0831600.1|unknown -            498 9479at5820           -            296   3.6e-05   21.8   3.3   2   3   6.9e-06    0.0043   15.0   0.2    12    83   349   417   341   449 0.84 -
GCA_040114635.1|PVP01_0831600|PVP01_0831600.1|unknown -            498 9479at5820           -            296   3.6e-05   21.8   3.3   3   3       0.4   2.5e+02   -0.6   0.0    33    75   452   494   434   497 0.79 -
GCA_040114635.1|PVP01_1207800|PVP01_1207800.1|unknown -            363 9479at5820           -            296   9.6e-05   20.4   8.9   1   3     2e-05     0.013   13.5   2.9     8   124    20   147    17   150 0.74 -
GCA_040114635.1|PVP01_1207800|PVP01_1207800.1|unknown -            363 9479at5820           -            296   9.6e-05   20.4   8.9   2   3    0.0017       1.1    7.1   0.1   177   205   222   250   193   265 0.73 -
GCA_040114635.1|PVP01_1207800|PVP01_1207800.1|unknown -            363 9479at5820           -            296   9.6e-05   20.4   8.9   3   3      0.11        72    1.2   0.0    19    42   278   301   261   313 0.77 -
GCA_040114635.1|PVP01_0519300|PVP01_0519300.1|unknown -            458 9479at5820           -            296    0.0033   15.4   1.6   1   2       0.8     5e+02   -1.6   0.0    20    43   163   186   154   196 0.78 -
GCA_040114635.1|PVP01_0519300|PVP01_0519300.1|unknown -            458 9479at5820           -            296    0.0033   15.4   1.6   2   2   1.1e-05    0.0069   14.4   0.6    96   154   332   391   262   430 0.73 -
GCA_040114635.1|PVP01_1448900|PVP01_1448900.1|unknown -            754 9479at5820           -            296    0.0056   14.7   8.8   1   3      0.73   4.6e+02   -1.5   0.1    48    81     9    42     6    48 0.80 -
GCA_040114635.1|PVP01_1448900|PVP01_1448900.1|unknown -            754 9479at5820           -            296    0.0056   14.7   8.8   2   3    0.0033       2.1    6.2   0.1    15    78    67   133    55   149 0.78 -
GCA_040114635.1|PVP01_1448900|PVP01_1448900.1|unknown -            754 9479at5820           -            296    0.0056   14.7   8.8   3   3   5.3e-05     0.033   12.1   1.1    21   107   197   295   193   307 0.79 -
