#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_0811700|PVP01_0811700.1|unknown -            543 6346at5820           -            465   2.5e-67  226.2  10.7   1   1     2e-70   3.2e-67  225.8  10.7    13   127    45   159    30   163 0.94 -
GCA_040114635.1|PVP01_1140700|PVP01_1140700.1|unknown -           1217 6346at5820           -            465   1.3e-05   22.6  19.0   1   4    0.0095        15    2.7   0.0   108   162    80   133    62   145 0.78 -
GCA_040114635.1|PVP01_1140700|PVP01_1140700.1|unknown -           1217 6346at5820           -            465   1.3e-05   22.6  19.0   2   4   0.00045      0.71    7.1   0.2   126   171   188   233   182   245 0.69 -
GCA_040114635.1|PVP01_1140700|PVP01_1140700.1|unknown -           1217 6346at5820           -            465   1.3e-05   22.6  19.0   3   4   2.5e-07   0.00039   17.8   8.7   123   222   341   445   331   483 0.79 -
GCA_040114635.1|PVP01_1140700|PVP01_1140700.1|unknown -           1217 6346at5820           -            465   1.3e-05   22.6  19.0   4   4      0.16   2.5e+02   -1.4   0.0   138   164   558   584   546   637 0.65 -
GCA_040114635.1|PVP01_0713700|PVP01_0713700.1|unknown -            718 6346at5820           -            465     0.074   10.3  12.6   1   4   2.7e-05     0.043   11.1   0.8    42   145    61   169    44   223 0.72 -
GCA_040114635.1|PVP01_0713700|PVP01_0713700.1|unknown -            718 6346at5820           -            465     0.074   10.3  12.6   2   4      0.26     4e+02   -2.0   0.1    88   146   388   448   376   454 0.65 -
GCA_040114635.1|PVP01_0713700|PVP01_0713700.1|unknown -            718 6346at5820           -            465     0.074   10.3  12.6   3   4    0.0011       1.8    5.8   1.0   194   247   527   581   522   597 0.71 -
GCA_040114635.1|PVP01_0713700|PVP01_0713700.1|unknown -            718 6346at5820           -            465     0.074   10.3  12.6   4   4      0.11   1.8e+02   -0.9   0.0    25    65   580   619   572   629 0.76 -
GCA_040114635.1|PVP01_1444700|PVP01_1444700.1|unknown -           1233 6346at5820           -            465      0.31    8.3  12.4   1   3      0.64     1e+03   -3.4   0.1   111   150   134   173   130   193 0.68 -
GCA_040114635.1|PVP01_1444700|PVP01_1444700.1|unknown -           1233 6346at5820           -            465      0.31    8.3  12.4   2   3      0.94   1.5e+03   -3.9   0.1   172   199   295   322   260   324 0.73 -
GCA_040114635.1|PVP01_1444700|PVP01_1444700.1|unknown -           1233 6346at5820           -            465      0.31    8.3  12.4   3   3   2.6e-06    0.0041   14.4   4.6    63   159   406   504   403   556 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6346at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6346at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6346at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:17:57 2026
# [ok]
