#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_0810600|PVP01_0810600.1|unknown -            188 12151at5820          -            140   1.2e-82  273.4   5.8   1   1     7e-82   5.5e-79  261.6   5.8     1   140     1   167     1   167 0.92 -
GCA_040114635.1|PVP01_0836800|PVP01_0836800.1|unknown -            611 12151at5820          -            140   2.6e-10   39.1   0.5   1   2    0.0018       1.4    7.5   0.1    96   113    82    99    38   123 0.73 -
GCA_040114635.1|PVP01_0836800|PVP01_0836800.1|unknown -            611 12151at5820          -            140   2.6e-10   39.1   0.5   2   2   3.6e-10   2.9e-07   29.2   0.0    36    93   154   212   134   221 0.91 -
GCA_040114635.1|PVP01_0618800|PVP01_0618800.1|unknown -            482 12151at5820          -            140   4.8e-09   35.0   0.5   1   4         4   3.1e+03   -3.3   0.0    86    94    22    30     6    36 0.70 -
GCA_040114635.1|PVP01_0618800|PVP01_0618800.1|unknown -            482 12151at5820          -            140   4.8e-09   35.0   0.5   2   4   7.2e-06    0.0056   15.3   0.0    11    96    61   150    52   155 0.81 -
GCA_040114635.1|PVP01_0618800|PVP01_0618800.1|unknown -            482 12151at5820          -            140   4.8e-09   35.0   0.5   3   4   6.4e-06    0.0051   15.5   0.0    40    92   159   212   153   224 0.88 -
GCA_040114635.1|PVP01_0618800|PVP01_0618800.1|unknown -            482 12151at5820          -            140   4.8e-09   35.0   0.5   4   4       2.8   2.2e+03   -2.8   0.0    85   109   339   363   332   374 0.68 -
GCA_040114635.1|PVP01_0607100|PVP01_0607100.1|unknown -           1913 12151at5820          -            140   5.7e-09   34.8   9.2   1   4   7.4e-09   5.8e-06   25.0   0.2    39    98  1097  1157  1067  1165 0.83 -
GCA_040114635.1|PVP01_0607100|PVP01_0607100.1|unknown -           1913 12151at5820          -            140   5.7e-09   34.8   9.2   2   4    0.0012      0.93    8.1   0.1    43   102  1177  1237  1160  1242 0.87 -
GCA_040114635.1|PVP01_0607100|PVP01_0607100.1|unknown -           1913 12151at5820          -            140   5.7e-09   34.8   9.2   3   4     0.003       2.3    6.8   0.0    38    92  1239  1294  1236  1303 0.89 -
GCA_040114635.1|PVP01_0607100|PVP01_0607100.1|unknown -           1913 12151at5820          -            140   5.7e-09   34.8   9.2   4   4       7.7   6.1e+03   -4.2   0.2   100   130  1429  1463  1416  1468 0.59 -
GCA_040114635.1|PVP01_0919600|PVP01_0919600.1|unknown -            366 12151at5820          -            140   6.6e-06   24.8   0.1   1   1   1.8e-08   1.4e-05   23.8   0.1    41    95   287   342   258   349 0.87 -
GCA_040114635.1|PVP01_1414800|PVP01_1414800.1|unknown -            400 12151at5820          -            140   1.5e-05   23.7   6.2   1   3   8.7e-05     0.069   11.8   1.3    52    97    85   131    40   138 0.85 -
GCA_040114635.1|PVP01_1414800|PVP01_1414800.1|unknown -            400 12151at5820          -            140   1.5e-05   23.7   6.2   2   3   2.9e-05     0.022   13.4   0.2    39    91   138   191   131   202 0.85 -
GCA_040114635.1|PVP01_1414800|PVP01_1414800.1|unknown -            400 12151at5820          -            140   1.5e-05   23.7   6.2   3   3      0.66   5.2e+02   -0.7   0.0    72    90   207   225   190   251 0.75 -
GCA_040114635.1|PVP01_1232100|PVP01_1232100.1|unknown -            641 12151at5820          -            140    0.0003   19.4   0.0   1   1   8.8e-07   0.00069   18.3   0.0    38    93    78   134    42   144 0.85 -
GCA_040114635.1|PVP01_0509200|PVP01_0509200.1|unknown -            185 12151at5820          -            140    0.0023   16.6   2.6   1   2   3.6e-05     0.029   13.0   0.4    47    95    21    69    10    76 0.84 -
GCA_040114635.1|PVP01_0509200|PVP01_0509200.1|unknown -            185 12151at5820          -            140    0.0023   16.6   2.6   2   2     0.032        25    3.5   0.1    71    96   113   138    82   174 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12151at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12151at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12151at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:56:03 2026
# [ok]
