#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_1004200|PVP01_1004200.1|unknown -            927 3266at5820           -            679   6.5e-46  155.4   6.6   1   1   5.5e-49   8.7e-46  155.0   6.6     6   105    26   125    19   134 0.93 -
GCA_040114635.1|PVP01_1439800|PVP01_1439800.1|unknown -            836 3266at5820           -            679   3.7e-14   50.5  48.7   1   3   5.7e-07    0.0009   16.1   1.9   317   422    79   185    67   190 0.92 -
GCA_040114635.1|PVP01_1439800|PVP01_1439800.1|unknown -            836 3266at5820           -            679   3.7e-14   50.5  48.7   2   3   6.6e-10     1e-06   25.8  22.1   122   330   190   403   185   409 0.82 -
GCA_040114635.1|PVP01_1439800|PVP01_1439800.1|unknown -            836 3266at5820           -            679   3.7e-14   50.5  48.7   3   3   1.4e-08   2.3e-05   21.4  19.8   230   404   338   515   337   522 0.85 -
GCA_040114635.1|PVP01_1444700|PVP01_1444700.1|unknown -           1233 3266at5820           -            679    0.0007   16.5  13.4   1   3      0.18   2.9e+02   -2.1   0.3   128   175   123   172    83   189 0.53 -
GCA_040114635.1|PVP01_1444700|PVP01_1444700.1|unknown -           1233 3266at5820           -            679    0.0007   16.5  13.4   2   3   2.1e-05     0.033   11.0   0.0   337   421   239   324   219   331 0.91 -
GCA_040114635.1|PVP01_1444700|PVP01_1444700.1|unknown -           1233 3266at5820           -            679    0.0007   16.5  13.4   3   3   0.00014      0.21    8.3   6.5   246   348   409   507   403   545 0.85 -
GCA_040114635.1|PVP01_1140700|PVP01_1140700.1|unknown -           1217 3266at5820           -            679       4.1    4.0  22.3   1   4     0.049        77   -0.2   0.1   183   228    87   132    72   138 0.82 -
GCA_040114635.1|PVP01_1140700|PVP01_1140700.1|unknown -           1217 3266at5820           -            679       4.1    4.0  22.3   2   4     0.028        44    0.7   0.1   240   272   194   226   186   243 0.68 -
GCA_040114635.1|PVP01_1140700|PVP01_1140700.1|unknown -           1217 3266at5820           -            679       4.1    4.0  22.3   3   4   0.00017      0.26    8.0   8.5   275   379   350   454   346   500 0.61 -
GCA_040114635.1|PVP01_1140700|PVP01_1140700.1|unknown -           1217 3266at5820           -            679       4.1    4.0  22.3   4   4      0.13     2e+02   -1.5   0.3    70   144   561   637   552   655 0.60 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3266at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3266at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3266at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:06:20 2026
# [ok]
