#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_0105600|PVP01_0105600.1|unknown -            832 2617at5820           -            738    1e-256  852.1   5.6   1   1  1.4e-259  1.3e-256  851.7   5.6     1   385    13   430    13   430 0.97 -
GCA_040114635.1|PVP01_1116800|PVP01_1116800.1|unknown -            944 2617at5820           -            738   4.5e-90  301.1   8.2   1   2   1.3e-13   1.2e-10   38.5   0.1   161   294   218   349   209   361 0.86 -
GCA_040114635.1|PVP01_1116800|PVP01_1116800.1|unknown -            944 2617at5820           -            738   4.5e-90  301.1   8.2   2   2   5.5e-82   4.9e-79  264.6   5.1   251   666   349   764   347   829 0.81 -
GCA_040114635.1|PVP01_1418000|PVP01_1418000.1|unknown -            955 2617at5820           -            738   5.2e-85  284.4   7.7   1   3   2.1e-06    0.0019   14.7   0.5   175   292   280   404   268   456 0.69 -
GCA_040114635.1|PVP01_1418000|PVP01_1418000.1|unknown -            955 2617at5820           -            738   5.2e-85  284.4   7.7   2   3   3.5e-82   3.1e-79  265.3   0.5   317   553   459   697   455   720 0.93 -
GCA_040114635.1|PVP01_1418000|PVP01_1418000.1|unknown -            955 2617at5820           -            738   5.2e-85  284.4   7.7   3   3   0.00045      0.41    7.0   0.0   621   656   816   854   757   867 0.68 -
GCA_040114635.1|PVP01_1310900|PVP01_1310900.1|unknown -            758 2617at5820           -            738   9.3e-75  250.5   0.3   1   1   1.5e-77   1.4e-74  249.9   0.3   241   650   260   664   240   706 0.88 -
GCA_040114635.1|PVP01_1331100|PVP01_1331100.1|unknown -            972 2617at5820           -            738   1.2e-72  243.5   0.4   1   2   2.2e-14     2e-11   41.1   0.0   220   379   367   519   305   530 0.73 -
GCA_040114635.1|PVP01_1331100|PVP01_1331100.1|unknown -            972 2617at5820           -            738   1.2e-72  243.5   0.4   2   2   1.4e-62   1.3e-59  200.4   0.1   382   655   546   840   537   864 0.87 -
GCA_040114635.1|PVP01_1006800|PVP01_1006800.1|unknown -            971 2617at5820           -            738   9.2e-65  217.4   7.9   1   3   1.7e-67   1.5e-64  216.7   0.2   239   556   285   600   275   623 0.90 -
GCA_040114635.1|PVP01_1006800|PVP01_1006800.1|unknown -            971 2617at5820           -            738   9.2e-65  217.4   7.9   2   3    0.0012       1.1    5.6   0.0   587   642   709   762   686   778 0.80 -
GCA_040114635.1|PVP01_1006800|PVP01_1006800.1|unknown -            971 2617at5820           -            738   9.2e-65  217.4   7.9   3   3       1.7   1.5e+03   -4.8   1.0   643   676   825   858   824   881 0.72 -
GCA_040114635.1|PVP01_0525700|PVP01_0525700.1|unknown -           1314 2617at5820           -            738   5.8e-32  109.0   7.1   1   3    0.0013       1.2    5.5   0.0   239   302   507   566   496   577 0.86 -
GCA_040114635.1|PVP01_0525700|PVP01_0525700.1|unknown -           1314 2617at5820           -            738   5.8e-32  109.0   7.1   2   3     8e-33   7.2e-30  102.0   3.9   388   555   878  1046   868  1052 0.91 -
GCA_040114635.1|PVP01_0525700|PVP01_0525700.1|unknown -           1314 2617at5820           -            738   5.8e-32  109.0   7.1   3   3      0.15   1.3e+02   -1.3   0.0   621   663  1195  1237  1186  1272 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2617at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2617at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2617at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:07:42 2026
# [ok]
