#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_0837600|PVP01_0837600.1|unknown -           1363 1711at5820           -            877  1.5e-195  650.2  52.6   1   1  3.5e-196  2.4e-193  642.9  52.6     7   381   169   589   167   595 0.93 -
GCA_040114635.1|PVP01_1010900|PVP01_1010900.1|unknown -           1464 1711at5820           -            877   2.1e-53  179.9  22.5   1   7       1.1   7.9e+02   -4.0  14.6    43   253    62   274    50   310 0.69 -
GCA_040114635.1|PVP01_1010900|PVP01_1010900.1|unknown -           1464 1711at5820           -            877   2.1e-53  179.9  22.5   2   7   6.8e-41   4.7e-38  129.1  14.7   543   850   337   654   332   681 0.86 -
GCA_040114635.1|PVP01_1010900|PVP01_1010900.1|unknown -           1464 1711at5820           -            877   2.1e-53  179.9  22.5   3   7      0.84   5.8e+02   -3.6   0.0   853   875   704   726   701   727 0.88 -
GCA_040114635.1|PVP01_1010900|PVP01_1010900.1|unknown -           1464 1711at5820           -            877   2.1e-53  179.9  22.5   4   7   5.8e-05      0.04   10.2   9.7    73   174   861   969   821   991 0.76 -
GCA_040114635.1|PVP01_1010900|PVP01_1010900.1|unknown -           1464 1711at5820           -            877   2.1e-53  179.9  22.5   5   7     0.011       7.4    2.7   0.2   582   657  1161  1236  1146  1242 0.83 -
GCA_040114635.1|PVP01_1010900|PVP01_1010900.1|unknown -           1464 1711at5820           -            877   2.1e-53  179.9  22.5   6   7     0.061        42    0.2   0.2   637   685  1270  1317  1254  1327 0.85 -
GCA_040114635.1|PVP01_1010900|PVP01_1010900.1|unknown -           1464 1711at5820           -            877   2.1e-53  179.9  22.5   7   7   1.3e-21     9e-19   65.3   0.9   748   850  1325  1431  1311  1461 0.82 -
GCA_040114635.1|PVP01_0946200|PVP01_0946200.1|unknown -            783 1711at5820           -            877   4.8e-35  119.2  53.0   1   3   7.7e-18   5.4e-15   52.8  29.0    34   314   205   497   176   513 0.82 -
GCA_040114635.1|PVP01_0946200|PVP01_0946200.1|unknown -            783 1711at5820           -            877   4.8e-35  119.2  53.0   2   3   1.6e-06    0.0011   15.4   8.5   580   704   551   676   541   681 0.87 -
GCA_040114635.1|PVP01_0946200|PVP01_0946200.1|unknown -            783 1711at5820           -            877   4.8e-35  119.2  53.0   3   3   5.5e-21   3.9e-18   63.2   2.4   748   854   668   778   662   781 0.92 -
GCA_040114635.1|PVP01_1259100|PVP01_1259100.1|unknown -           1570 1711at5820           -            877   4.7e-33  112.6  35.7   1   3   3.5e-05     0.025   10.9  28.0    43   323   364   659   357   677 0.78 -
GCA_040114635.1|PVP01_1259100|PVP01_1259100.1|unknown -           1570 1711at5820           -            877   4.7e-33  112.6  35.7   2   3   1.6e-13   1.1e-10   38.5   0.1   579   685   681   786   669   791 0.95 -
GCA_040114635.1|PVP01_1259100|PVP01_1259100.1|unknown -           1570 1711at5820           -            877   4.7e-33  112.6  35.7   3   3   4.2e-22   2.9e-19   66.9   0.1   748   871   794   918   786   923 0.92 -
GCA_040114635.1|PVP01_1214900|PVP01_1214900.1|unknown -            823 1711at5820           -            877   5.2e-21   72.7  15.3   1   3       1.2   8.7e+02   -4.1   0.2    92   127   201   236   195   267 0.73 -
GCA_040114635.1|PVP01_1214900|PVP01_1214900.1|unknown -            823 1711at5820           -            877   5.2e-21   72.7  15.3   2   3   5.7e-11     4e-08   30.1   2.2   585   685   488   591   483   600 0.87 -
GCA_040114635.1|PVP01_1214900|PVP01_1214900.1|unknown -            823 1711at5820           -            877   5.2e-21   72.7  15.3   3   3   1.4e-17     1e-14   51.9   1.0   753   864   696   807   676   810 0.92 -
GCA_040114635.1|PVP01_1309000|PVP01_1309000.1|unknown -            926 1711at5820           -            877   3.5e-15   53.4  29.0   1   2   1.6e-13   1.1e-10   38.5  19.6    28   327   225   539   200   555 0.74 -
GCA_040114635.1|PVP01_1309000|PVP01_1309000.1|unknown -            926 1711at5820           -            877   3.5e-15   53.4  29.0   2   2   5.1e-08   3.6e-05   20.3   1.9   601   690   623   712   617   752 0.89 -
GCA_040114635.1|PVP01_1202700|PVP01_1202700.1|unknown -            998 1711at5820           -            877   9.1e-15   52.1  19.2   1   3         9   6.3e+03  -11.4  42.4    40   243   337   558   299   602 0.67 -
GCA_040114635.1|PVP01_1202700|PVP01_1202700.1|unknown -            998 1711at5820           -            877   9.1e-15   52.1  19.2   2   3   9.1e-15   6.3e-12   42.7  10.1   599   704   770   870   737   881 0.86 -
GCA_040114635.1|PVP01_1202700|PVP01_1202700.1|unknown -            998 1711at5820           -            877   9.1e-15   52.1  19.2   3   3   4.1e-09   2.8e-06   24.0   1.7   776   849   894   967   863   991 0.82 -
GCA_040114635.1|PVP01_1322800|PVP01_1322800.1|unknown -            695 1711at5820           -            877     3e-08   30.5   0.1   1   3     0.028        20    1.3   0.2   618   706    68   152    36   171 0.74 -
GCA_040114635.1|PVP01_1322800|PVP01_1322800.1|unknown -            695 1711at5820           -            877     3e-08   30.5   0.1   2   3   4.3e-11     3e-08   30.5   0.1   764   863   161   264   121   272 0.77 -
GCA_040114635.1|PVP01_1322800|PVP01_1322800.1|unknown -            695 1711at5820           -            877     3e-08   30.5   0.1   3   3       6.1   4.3e+03   -6.4   5.8   146   204   521   577   494   603 0.57 -
GCA_040114635.1|PVP01_1335400|PVP01_1335400.1|unknown -            351 1711at5820           -            877   1.8e-07   27.9   2.1   1   2    0.0029       2.1    4.6   0.1   601   652   117   170    12   177 0.73 -
GCA_040114635.1|PVP01_1335400|PVP01_1335400.1|unknown -            351 1711at5820           -            877   1.8e-07   27.9   2.1   2   2   6.5e-09   4.6e-06   23.3   0.2   775   860   246   334   227   350 0.76 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1711at5820.hmm
