#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_0702500|PVP01_0702500.1|unknown -           1319 1635at5820           -            845         0 1080.8  29.7   1   1         0         0 1080.4  29.7     1   469     4   472     4   482 0.99 -
GCA_040114635.1|PVP01_1251400|PVP01_1251400.1|unknown -           1038 1635at5820           -            845   6.4e-39  132.0  38.6   1   3   1.5e-22   2.4e-19   67.3   9.4    13   261     5   256     1   262 0.86 -
GCA_040114635.1|PVP01_1251400|PVP01_1251400.1|unknown -           1038 1635at5820           -            845   6.4e-39  132.0  38.6   2   3   1.2e-23   1.9e-20   70.9   9.6   270   448   311   488   299   500 0.91 -
GCA_040114635.1|PVP01_1251400|PVP01_1251400.1|unknown -           1038 1635at5820           -            845   6.4e-39  132.0  38.6   3   3   0.00057      0.89    5.8   3.7   543   590   635   681   545   689 0.71 -
GCA_040114635.1|PVP01_1132000|PVP01_1132000.1|unknown -           1290 1635at5820           -            845   2.4e-22   77.2  29.0   1   4   2.8e-19   4.4e-16   56.5  16.8    16   209    12   214     4   223 0.87 -
GCA_040114635.1|PVP01_1132000|PVP01_1132000.1|unknown -           1290 1635at5820           -            845   2.4e-22   77.2  29.0   2   4     4e-13   6.3e-10   36.1   4.2   288   432   556   703   536   744 0.80 -
GCA_040114635.1|PVP01_1132000|PVP01_1132000.1|unknown -           1290 1635at5820           -            845   2.4e-22   77.2  29.0   3   4     0.077   1.2e+02   -1.2   4.0   465   597   770   898   753   925 0.66 -
GCA_040114635.1|PVP01_1132000|PVP01_1132000.1|unknown -           1290 1635at5820           -            845   2.4e-22   77.2  29.0   4   4         1   1.6e+03   -4.9   4.2   726   795  1024  1098  1006  1126 0.66 -
GCA_040114635.1|PVP01_1135600|PVP01_1135600.1|unknown -           1004 1635at5820           -            845   1.5e-05   21.6   0.6   1   2   9.7e-09   1.5e-05   21.6   0.6    49   204    56   207    35   218 0.85 -
GCA_040114635.1|PVP01_1135600|PVP01_1135600.1|unknown -           1004 1635at5820           -            845   1.5e-05   21.6   0.6   2   2      0.11   1.7e+02   -1.7   0.1   363   393   459   490   449   510 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1635at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1635at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1635at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:02:13 2026
# [ok]
