#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_1102300|PVP01_1102300.1|unknown -            176 12801at5820          -            151     7e-90  297.2  15.0   1   1   1.3e-92   8.1e-90  297.0  15.0     1   151     1   157     1   157 0.97 -
GCA_040114635.1|PVP01_0617900|PVP01_0617900.1|unknown -            317 12801at5820          -            151   1.2e-14   53.0  41.0   1   5    0.0009      0.57    8.6   1.8    94   127    25    58     9    63 0.78 -
GCA_040114635.1|PVP01_0617900|PVP01_0617900.1|unknown -            317 12801at5820          -            151   1.2e-14   53.0  41.0   2   5   2.5e-09   1.6e-06   26.7  19.6     7   123    29   142    25   143 0.93 -
GCA_040114635.1|PVP01_0617900|PVP01_0617900.1|unknown -            317 12801at5820          -            151   1.2e-14   53.0  41.0   3   5   2.7e-09   1.7e-06   26.5   8.9    20    99    86   162    81   164 0.91 -
GCA_040114635.1|PVP01_0617900|PVP01_0617900.1|unknown -            317 12801at5820          -            151   1.2e-14   53.0  41.0   4   5   2.8e-07   0.00018   20.0   5.8    25   117   135   223   134   229 0.81 -
GCA_040114635.1|PVP01_0617900|PVP01_0617900.1|unknown -            317 12801at5820          -            151   1.2e-14   53.0  41.0   5   5     2e-05     0.013   14.0   7.5    53   140   208   298   205   307 0.79 -
GCA_040114635.1|PVP01_1317100|PVP01_1317100.1|unknown -           1481 12801at5820          -            151   6.2e-10   37.7  60.0   1   6     0.035        22    3.5   6.4    41   119    30   106     4   110 0.84 -
GCA_040114635.1|PVP01_1317100|PVP01_1317100.1|unknown -           1481 12801at5820          -            151   6.2e-10   37.7  60.0   2   6   1.5e-07   9.4e-05   20.9   2.7    42   149   120   233   108   235 0.81 -
GCA_040114635.1|PVP01_1317100|PVP01_1317100.1|unknown -           1481 12801at5820          -            151   6.2e-10   37.7  60.0   3   6    0.0079         5    5.5   0.2    81   114   789   822   769   865 0.63 -
GCA_040114635.1|PVP01_1317100|PVP01_1317100.1|unknown -           1481 12801at5820          -            151   6.2e-10   37.7  60.0   4   6     0.036        22    3.4  11.1     8   138   983  1112   977  1123 0.77 -
GCA_040114635.1|PVP01_1317100|PVP01_1317100.1|unknown -           1481 12801at5820          -            151   6.2e-10   37.7  60.0   5   6    0.0004      0.25    9.7   1.7    39   111  1173  1252  1147  1257 0.66 -
