#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_1310200|PVP01_1310200.1|unknown -           1665 1387at5820           -           1102         0 1334.2  33.3   1   1         0         0 1333.4  33.3     1   637    12   685    12   710 0.95 -
GCA_040114635.1|PVP01_0822600|PVP01_0822600.1|unknown -           1383 1387at5820           -           1102   8.8e-38  128.1  37.5   1   3   6.9e-08   8.7e-05   18.9   0.2    79   140    60   121    18   125 0.81 -
GCA_040114635.1|PVP01_0822600|PVP01_0822600.1|unknown -           1383 1387at5820           -           1102   8.8e-38  128.1  37.5   2   3   1.3e-37   1.6e-34  117.3  16.4   170   485   231   536   221   565 0.83 -
GCA_040114635.1|PVP01_0822600|PVP01_0822600.1|unknown -           1383 1387at5820           -           1102   8.8e-38  128.1  37.5   3   3      0.17   2.1e+02   -2.3   7.5  1012  1093   824   904   798   913 0.67 -
GCA_040114635.1|PVP01_1462700|PVP01_1462700.1|unknown -           1504 1387at5820           -           1102     2e-31  107.0  25.5   1   4   1.7e-11   2.2e-08   30.8   0.3    84   140   150   206    99   210 0.90 -
GCA_040114635.1|PVP01_1462700|PVP01_1462700.1|unknown -           1504 1387at5820           -           1102     2e-31  107.0  25.5   2   4   7.4e-18   9.3e-15   51.9   3.2   138   332   245   424   236   440 0.81 -
GCA_040114635.1|PVP01_1462700|PVP01_1462700.1|unknown -           1504 1387at5820           -           1102     2e-31  107.0  25.5   3   4   1.4e-14   1.7e-11   41.0   0.1   354   412   507   565   505   619 0.86 -
GCA_040114635.1|PVP01_1462700|PVP01_1462700.1|unknown -           1504 1387at5820           -           1102     2e-31  107.0  25.5   4   4       2.5   3.1e+03   -6.2   4.1   961  1011  1441  1494  1402  1501 0.63 -
GCA_040114635.1|PVP01_0320600|PVP01_0320600.1|unknown -           2294 1387at5820           -           1102   1.3e-12   44.8   6.6   1   2   0.00043      0.54    6.3   0.1    80   140   300   355   228   365 0.74 -
GCA_040114635.1|PVP01_0320600|PVP01_0320600.1|unknown -           2294 1387at5820           -           1102   1.3e-12   44.8   6.6   2   2     2e-13   2.5e-10   37.2   3.2   170   428   637   875   627   893 0.78 -
GCA_040114635.1|PVP01_0113900|PVP01_0113900.1|unknown -            787 1387at5820           -           1102     2e-10   37.5  10.8   1   2   3.1e-10   3.9e-07   26.7   0.3    88   152   102   167    88   173 0.87 -
GCA_040114635.1|PVP01_0113900|PVP01_0113900.1|unknown -            787 1387at5820           -           1102     2e-10   37.5  10.8   2   2     9e-06     0.011   11.9   5.1   233   408   232   392   223   406 0.69 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1387at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1387at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1387at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:01:25 2026
# [ok]
