#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_1318100|PVP01_1318100.1|unknown -            783 4413at5820           -            552   6.8e-62  208.3  13.8   1   1     9e-65   9.5e-62  207.9  13.8     2   147     9   171     5   177 0.88 -
GCA_040114635.1|PVP01_1326000|PVP01_1326000.1|unknown -            518 4413at5820           -            552   4.6e-24   83.5  18.9   1   3       0.3   3.2e+02   -1.8   1.5   137   171    29    63     4    85 0.65 -
GCA_040114635.1|PVP01_1326000|PVP01_1326000.1|unknown -            518 4413at5820           -            552   4.6e-24   83.5  18.9   2   3     4e-12   4.2e-09   34.1   3.7   138   290   128   295   108   311 0.67 -
GCA_040114635.1|PVP01_1326000|PVP01_1326000.1|unknown -            518 4413at5820           -            552   4.6e-24   83.5  18.9   3   3     5e-20   5.2e-17   60.2   0.6   359   519   319   475   297   480 0.86 -
GCA_040114635.1|PVP01_0310000|PVP01_0310000.1|unknown -            790 4413at5820           -            552     6e-09   33.6   0.3   1   1   1.2e-11   1.3e-08   32.5   0.3   322   419   521   613   409   630 0.79 -
GCA_040114635.1|PVP01_1005000|PVP01_1005000.1|unknown -            533 4413at5820           -            552   8.9e-09   33.0   1.5   1   2         6   6.3e+03   -6.3   3.3    70    79    33    42     8    79 0.48 -
GCA_040114635.1|PVP01_1005000|PVP01_1005000.1|unknown -            533 4413at5820           -            552   8.9e-09   33.0   1.5   2   2   8.5e-12   8.9e-09   33.0   1.5   212   284   188   258   170   268 0.86 -
GCA_040114635.1|PVP01_1020500|PVP01_1020500.1|unknown -            336 4413at5820           -            552   2.3e-07   28.3   0.0   1   1   3.2e-10   3.4e-07   27.8   0.0   362   424    85   150    52   181 0.74 -
GCA_040114635.1|PVP01_1436100|PVP01_1436100.1|unknown -            871 4413at5820           -            552     1e-06   26.2   7.3   1   3   0.00048       0.5    7.4   0.0   362   422   293   359   283   373 0.75 -
GCA_040114635.1|PVP01_1436100|PVP01_1436100.1|unknown -            871 4413at5820           -            552     1e-06   26.2   7.3   2   3   2.5e-07   0.00026   18.3   0.4   340   396   547   603   533   618 0.82 -
GCA_040114635.1|PVP01_1436100|PVP01_1436100.1|unknown -            871 4413at5820           -            552     1e-06   26.2   7.3   3   3     0.016        17    2.4   0.9   212   270   649   704   630   770 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4413at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4413at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4413at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:12:05 2026
# [ok]
