#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_0916300|PVP01_0916300.1|unknown -            240 11393at5820          -            175  4.5e-105  347.8   7.6   1   1    1e-107  5.7e-105  347.5   7.6    13   174    78   239    71   240 0.98 -
GCA_040114635.1|PVP01_0807400|PVP01_0807400.1|unknown -           1381 11393at5820          -            175     1e-09   37.3   3.2   1   4   2.7e-05     0.015   13.9   0.2   114   169   407   462   372   472 0.74 -
GCA_040114635.1|PVP01_0807400|PVP01_0807400.1|unknown -           1381 11393at5820          -            175     1e-09   37.3   3.2   2   4   1.3e-05    0.0076   14.9   0.0    63   104   620   661   607   678 0.88 -
GCA_040114635.1|PVP01_0807400|PVP01_0807400.1|unknown -           1381 11393at5820          -            175     1e-09   37.3   3.2   3   4      0.01       5.9    5.5   0.0   118   171   776   832   715   836 0.86 -
GCA_040114635.1|PVP01_0807400|PVP01_0807400.1|unknown -           1381 11393at5820          -            175     1e-09   37.3   3.2   4   4       8.1   4.6e+03   -3.9   0.0   107   133  1297  1323  1291  1329 0.79 -
GCA_040114635.1|PVP01_1457300|PVP01_1457300.1|unknown -           2419 11393at5820          -            175   0.00038   19.1   0.0   1   1   1.5e-06   0.00085   18.0   0.0   124   169  2083  2128  2072  2134 0.90 -
GCA_040114635.1|PVP01_1016100|PVP01_1016100.1|unknown -           1432 11393at5820          -            175    0.0012   17.5  10.1   1   4     0.069        39    2.8   0.0   129   166   343   379   324   387 0.83 -
GCA_040114635.1|PVP01_1016100|PVP01_1016100.1|unknown -           1432 11393at5820          -            175    0.0012   17.5  10.1   2   4     0.005       2.9    6.5   0.0    72   103   814   845   807   868 0.86 -
GCA_040114635.1|PVP01_1016100|PVP01_1016100.1|unknown -           1432 11393at5820          -            175    0.0012   17.5  10.1   3   4       2.3   1.3e+03   -2.1   0.1    41    83   964  1008   951  1032 0.64 -
GCA_040114635.1|PVP01_1016100|PVP01_1016100.1|unknown -           1432 11393at5820          -            175    0.0012   17.5  10.1   4   4    0.0004      0.23   10.1   2.8    48    95  1049  1098  1038  1116 0.82 -
GCA_040114635.1|PVP01_1320200|PVP01_1320200.1|unknown -            799 11393at5820          -            175    0.0013   17.5   0.5   1   1   4.2e-06    0.0024   16.5   0.5    66   108    59   101    24   115 0.68 -
GCA_040114635.1|PVP01_0303400|PVP01_0303400.1|unknown -           3543 11393at5820          -            175    0.0047   15.6   0.6   1   1   1.9e-05     0.011   14.4   0.6    67   107   906   947   883   954 0.83 -
GCA_040114635.1|PVP01_0943800|PVP01_0943800.1|unknown -           1921 11393at5820          -            175    0.0049   15.5   0.4   1   1   2.4e-05     0.014   14.1   0.4    90   168  1786  1871  1775  1879 0.68 -
GCA_040114635.1|PVP01_1418100|PVP01_1418100.1|unknown -           2534 11393at5820          -            175    0.0075   14.9   0.2   1   1   3.2e-05     0.019   13.7   0.2    63   120  1255  1310  1251  1316 0.88 -
GCA_040114635.1|PVP01_0118100|PVP01_0118100.1|unknown -           2594 11393at5820          -            175     0.011   14.4   0.0   1   1   3.5e-05      0.02   13.5   0.0   124   168  2539  2583  2525  2594 0.71 -
GCA_040114635.1|PVP01_0940100|PVP01_0940100.1|unknown -           2821 11393at5820          -            175     0.078   11.6  17.4   1   4    0.0005      0.29    9.8   0.0   123   171   189   237   141   243 0.84 -
GCA_040114635.1|PVP01_0940100|PVP01_0940100.1|unknown -           2821 11393at5820          -            175     0.078   11.6  17.4   2   4   0.00032      0.18   10.4   0.3    64   111   286   333   276   352 0.72 -
GCA_040114635.1|PVP01_0940100|PVP01_0940100.1|unknown -           2821 11393at5820          -            175     0.078   11.6  17.4   3   4       3.4   1.9e+03   -2.7   0.1    85   129  1974  2018  1962  2025 0.79 -
GCA_040114635.1|PVP01_0940100|PVP01_0940100.1|unknown -           2821 11393at5820          -            175     0.078   11.6  17.4   4   4      0.13        72    2.0   0.2   112   174  2507  2565  2491  2566 0.83 -
GCA_040114635.1|PVP01_1144800|PVP01_1144800.1|unknown -           1937 11393at5820          -            175       0.1   11.2   4.0   1   2    0.0011      0.63    8.7   0.5    72   112   104   144    91   177 0.84 -
GCA_040114635.1|PVP01_1144800|PVP01_1144800.1|unknown -           1937 11393at5820          -            175       0.1   11.2   4.0   2   2     0.042        24    3.5   0.2    70   108   178   216   171   222 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11393at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11393at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11393at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:00:13 2026
# [ok]
