#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_0829000|PVP01_0829000.1|unknown -           1296 2069at5820           -            719   2.8e-96  322.3   0.0   1   1   2.6e-99   4.1e-96  321.7   0.0    21   215   219   419   213   435 0.95 -
GCA_040114635.1|PVP01_1244900|PVP01_1244900.1|unknown -           1071 2069at5820           -            719   4.9e-40  136.3  13.7   1   4   2.7e-22   4.3e-19   67.1   2.9    13   218    16   237     7   264 0.81 -
GCA_040114635.1|PVP01_1244900|PVP01_1244900.1|unknown -           1071 2069at5820           -            719   4.9e-40  136.3  13.7   2   4   2.4e-09   3.7e-06   24.3   0.1   308   366   412   477   404   493 0.80 -
GCA_040114635.1|PVP01_1244900|PVP01_1244900.1|unknown -           1071 2069at5820           -            719   4.9e-40  136.3  13.7   3   4   1.7e-15   2.6e-12   44.7   0.0   397   491   534   626   507   639 0.82 -
GCA_040114635.1|PVP01_1244900|PVP01_1244900.1|unknown -           1071 2069at5820           -            719   4.9e-40  136.3  13.7   4   4    0.0024       3.8    4.4   0.2   494   549   666   721   652   792 0.76 -
GCA_040114635.1|PVP01_0506200|PVP01_0506200.1|unknown -           1310 2069at5820           -            719   0.00011   19.5  22.9   1   4   4.2e-05     0.065   10.3   1.6    73   212   158   291   149   327 0.87 -
GCA_040114635.1|PVP01_0506200|PVP01_0506200.1|unknown -           1310 2069at5820           -            719   0.00011   19.5  22.9   2   4      0.03        47    0.8   0.1   398   432   708   742   692   790 0.67 -
GCA_040114635.1|PVP01_0506200|PVP01_0506200.1|unknown -           1310 2069at5820           -            719   0.00011   19.5  22.9   3   4    0.0043       6.8    3.6   0.3   482   540   918   976   910   982 0.92 -
GCA_040114635.1|PVP01_0506200|PVP01_0506200.1|unknown -           1310 2069at5820           -            719   0.00011   19.5  22.9   4   4   6.9e-07    0.0011   16.2   3.6   573   651  1097  1179  1072  1201 0.73 -
GCA_040114635.1|PVP01_1443300|PVP01_1443300.1|unknown -           1620 2069at5820           -            719     0.017   12.2   1.5   1   1   1.5e-05     0.024   11.7   1.5    44   121   192   268   164   286 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2069at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2069at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2069at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:04:43 2026
# [ok]
