#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_0418600|PVP01_0418600.1|unknown -            106 14551at5820          -             99   2.6e-60  199.5  13.2   1   1   2.6e-63   3.3e-60  199.2  13.2     1    99     1   106     1   106 0.95 -
GCA_040114635.1|PVP01_1423600|PVP01_1423600.1|unknown -            435 14551at5820          -             99   1.3e-08   33.7   0.8   1   4       2.8   3.6e+03   -3.0   0.0    53    76    35    58    27    66 0.58 -
GCA_040114635.1|PVP01_1423600|PVP01_1423600.1|unknown -            435 14551at5820          -             99   1.3e-08   33.7   0.8   2   4       2.1   2.6e+03   -2.6   0.2    61    61   112   112    82   143 0.57 -
GCA_040114635.1|PVP01_1423600|PVP01_1423600.1|unknown -            435 14551at5820          -             99   1.3e-08   33.7   0.8   3   4       1.8   2.3e+03   -2.4   0.3    31    52   311   332   292   348 0.65 -
GCA_040114635.1|PVP01_1423600|PVP01_1423600.1|unknown -            435 14551at5820          -             99   1.3e-08   33.7   0.8   4   4     1e-11   1.3e-08   33.7   0.8    46    98   382   434   354   435 0.78 -
GCA_040114635.1|PVP01_0306600|PVP01_0306600.1|unknown -            462 14551at5820          -             99   1.1e-06   27.5   3.0   1   2      0.78   9.8e+02   -1.2   0.5    21    36   292   308   274   320 0.61 -
GCA_040114635.1|PVP01_0306600|PVP01_0306600.1|unknown -            462 14551at5820          -             99   1.1e-06   27.5   3.0   2   2   8.6e-10   1.1e-06   27.5   3.0    30    95   393   456   373   459 0.83 -
GCA_040114635.1|PVP01_0204700|PVP01_0204700.1|unknown -            252 14551at5820          -             99   0.00023   20.1   7.0   1   1   4.8e-07    0.0006   18.7   7.0     3    98     5   115     3   118 0.66 -
GCA_040114635.1|PVP01_1458500|PVP01_1458500.1|unknown -           2129 14551at5820          -             99    0.0041   16.0   1.3   1   1   7.1e-06     0.009   15.0   1.3     2    52  1099  1148  1098  1168 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14551at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14551at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14551at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:03:35 2026
# [ok]
