#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
GCA_040114635.1|PVP01_0415900|PVP01_0415900.1|unknown -           2215 252at5820            -           1874         0 2504.7  51.7   1   1         0         0 2503.1  51.7     8  1527     7  1777     1  1790 0.93 -
GCA_040114635.1|PVP01_0415800|PVP01_0415800.1|unknown -           2776 252at5820            -           1874   9.9e-76  253.4 107.5   1   7   1.2e-14   1.8e-11   40.3  29.9   883  1404   298   867   290   875 0.65 -
GCA_040114635.1|PVP01_0415800|PVP01_0415800.1|unknown -           2776 252at5820            -           1874   9.9e-76  253.4 107.5   2   7   4.3e-18   6.8e-15   51.7  32.6   547  1142   606  1238   597  1244 0.71 -
GCA_040114635.1|PVP01_0415800|PVP01_0415800.1|unknown -           2776 252at5820            -           1874   9.9e-76  253.4 107.5   3   7    0.0023       3.6    2.9   0.1   550   597  1396  1445  1339  1468 0.74 -
GCA_040114635.1|PVP01_0415800|PVP01_0415800.1|unknown -           2776 252at5820            -           1874   9.9e-76  253.4 107.5   4   7   2.5e-17     4e-14   49.1   6.4   938  1160  1492  1715  1476  1744 0.77 -
GCA_040114635.1|PVP01_0415800|PVP01_0415800.1|unknown -           2776 252at5820            -           1874   9.9e-76  253.4 107.5   5   7   2.1e-07   0.00033   16.2   0.1   383  1789  1831  1928  1793  1937 0.54 -
GCA_040114635.1|PVP01_0415800|PVP01_0415800.1|unknown -           2776 252at5820            -           1874   9.9e-76  253.4 107.5   6   7   3.4e-23   5.3e-20   68.6  16.8   939  1177  2230  2492  2117  2548 0.73 -
GCA_040114635.1|PVP01_0415800|PVP01_0415800.1|unknown -           2776 252at5820            -           1874   9.9e-76  253.4 107.5   7   7   1.3e-17     2e-14   50.1   7.7  1631  1851  2514  2745  2485  2764 0.68 -
GCA_040114635.1|PVP01_1026000|PVP01_1026000.1|unknown -            355 252at5820            -           1874   1.7e-08   30.5   5.5   1   2    0.0077        12    1.1   0.5  1784  1841    81   140    65   151 0.67 -
GCA_040114635.1|PVP01_1026000|PVP01_1026000.1|unknown -            355 252at5820            -           1874   1.7e-08   30.5   5.5   2   2   1.1e-11   1.7e-08   30.5   5.5  1015  1156   145   304   138   310 0.72 -
GCA_040114635.1|PVP01_1136300|PVP01_1136300.1|unknown -            209 252at5820            -           1874   5.1e-05   18.9   0.0   1   2   0.00016      0.25    6.7   0.0  1506  1607    58   152    52   168 0.71 -
GCA_040114635.1|PVP01_1136300|PVP01_1136300.1|unknown -            209 252at5820            -           1874   5.1e-05   18.9   0.0   2   2   5.3e-06    0.0083   11.6   0.0  1666  1722   152   208   147   209 0.69 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/252at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/MHC087_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/252at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/252at5820.hmm /v3/inputs/annotations/ncbi-datasets/MHC087.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:07:22 2026
# [ok]
