#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098880.1-p1      -            515 7500at5820           -            277  1.4e-162  538.2  35.8   1   4   3.5e-58     2e-55  186.7   3.1     1    93    83   175    83   178 0.99 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 7500at5820           -            277  1.4e-162  538.2  35.8   2   4   1.1e-59   5.9e-57  191.7   7.7    92   195   209   316   198   320 0.93 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 7500at5820           -            277  1.4e-162  538.2  35.8   3   4   1.4e-53   7.5e-51  171.7   8.7   187   277   396   486   389   486 0.96 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098880.1-p1      -            515 7500at5820           -            277  1.4e-162  538.2  35.8   4   4       0.6   3.3e+02   -1.0   0.0    66    84   486   504   485   509 0.90 | transcript=PVX_098880.1 | gene=PVX_098880 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:327459-329195(+) | protein_length=515 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 7500at5820           -            277   1.9e-20   72.0   6.8   1   3   7.2e-21     4e-18   64.4   2.5    15   185    16   209     5   219 0.79 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 7500at5820           -            277   1.9e-20   72.0   6.8   2   3    0.0023       1.3    7.0   0.2   103   242   216   248   204   273 0.58 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 7500at5820           -            277   1.9e-20   72.0   6.8   3   3      0.06        33    2.3   0.0    43    70   257   283   246   300 0.77 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 7500at5820           -            277     4e-20   70.9   6.8   1   3   1.1e-20     6e-18   63.8   2.5    15   185    16   209     5   220 0.79 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 7500at5820           -            277     4e-20   70.9   6.8   2   3    0.0054         3    5.7   0.0   213   239   219   245   207   258 0.60 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 7500at5820           -            277     4e-20   70.9   6.8   3   3     0.069        38    2.1   0.0    43    70   257   283   246   302 0.76 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 7500at5820           -            277   2.7e-13   48.5   5.0   1   2     0.022        12    3.7   0.0   102   129     6    33     1    71 0.63 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
