#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113635.1-p1      -           1574 1726at5820           -            880         0 1175.2 126.8   1   9   0.00024       1.3    5.4   4.3     1    20     2    21     2    28 0.88 | transcript=PVX_113635.1 | gene=PVX_113635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1621055-1626021(-) | protein_length=1574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113635.1-p1      -           1574 1726at5820           -            880         0 1175.2 126.8   2   9   2.6e-57   1.4e-53  180.6   0.5    14   160    49   211    43   217 0.85 | transcript=PVX_113635.1 | gene=PVX_113635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1621055-1626021(-) | protein_length=1574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113635.1-p1      -           1574 1726at5820           -            880         0 1175.2 126.8   3   9   1.1e-48   6.3e-45  152.0   6.3   123   239   224   342   214   349 0.88 | transcript=PVX_113635.1 | gene=PVX_113635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1621055-1626021(-) | protein_length=1574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113635.1-p1      -           1574 1726at5820           -            880         0 1175.2 126.8   4   9     5e-11   2.8e-07   27.5   0.1   240   268   389   417   385   420 0.94 | transcript=PVX_113635.1 | gene=PVX_113635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1621055-1626021(-) | protein_length=1574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113635.1-p1      -           1574 1726at5820           -            880         0 1175.2 126.8   5   9   9.2e-13   5.1e-09   33.2   0.4   268   317   448   506   439   513 0.78 | transcript=PVX_113635.1 | gene=PVX_113635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1621055-1626021(-) | protein_length=1574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113635.1-p1      -           1574 1726at5820           -            880         0 1175.2 126.8   6   9   4.3e-32   2.4e-28   97.2  11.7   323   433   665   791   647   801 0.86 | transcript=PVX_113635.1 | gene=PVX_113635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1621055-1626021(-) | protein_length=1574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113635.1-p1      -           1574 1726at5820           -            880         0 1175.2 126.8   7   9   4.6e-55   2.5e-51  173.2   4.0   441   559   989  1116   978  1119 0.92 | transcript=PVX_113635.1 | gene=PVX_113635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1621055-1626021(-) | protein_length=1574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113635.1-p1      -           1574 1726at5820           -            880         0 1175.2 126.8   8   9   6.1e-97   3.3e-93  311.7  15.2   557   734  1144  1330  1135  1342 0.92 | transcript=PVX_113635.1 | gene=PVX_113635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1621055-1626021(-) | protein_length=1574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113635.1-p1      -           1574 1726at5820           -            880         0 1175.2 126.8   9   9   1.2e-73   6.4e-70  234.7  28.6   743   880  1421  1574  1406  1574 0.89 | transcript=PVX_113635.1 | gene=PVX_113635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1621055-1626021(-) | protein_length=1574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1726at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1726at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1726at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:24 2026
# [ok]
