#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111080.1-p1      -           1461 2415at5820           -            990         0 1309.4  68.6   1   9   1.1e-17     3e-14   50.2   1.2     1    45     2    46     2    51 0.90 | transcript=PVX_111080.1 | gene=PVX_111080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:729691-734076(-) | protein_length=1461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111080.1-p1      -           1461 2415at5820           -            990         0 1309.4  68.6   2   9   2.4e-13   6.8e-10   35.8   0.0    41    85    75   118    65   133 0.81 | transcript=PVX_111080.1 | gene=PVX_111080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:729691-734076(-) | protein_length=1461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111080.1-p1      -           1461 2415at5820           -            990         0 1309.4  68.6   3   9     2e-73   5.5e-70  234.7   1.9    79   210   152   283   143   286 0.95 | transcript=PVX_111080.1 | gene=PVX_111080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:729691-734076(-) | protein_length=1461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111080.1-p1      -           1461 2415at5820           -            990         0 1309.4  68.6   4   9   1.2e-49   3.4e-46  155.9   0.3   210   319   316   435   305   440 0.90 | transcript=PVX_111080.1 | gene=PVX_111080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:729691-734076(-) | protein_length=1461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111080.1-p1      -           1461 2415at5820           -            990         0 1309.4  68.6   5   9  3.4e-103  9.4e-100  333.2   6.9   316   543   517   777   509   783 0.88 | transcript=PVX_111080.1 | gene=PVX_111080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:729691-734076(-) | protein_length=1461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111080.1-p1      -           1461 2415at5820           -            990         0 1309.4  68.6   6   9     7e-28   1.9e-24   83.9   1.3   545   649   808   949   802   956 0.80 | transcript=PVX_111080.1 | gene=PVX_111080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:729691-734076(-) | protein_length=1461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111080.1-p1      -           1461 2415at5820           -            990         0 1309.4  68.6   7   9   4.4e-21   1.2e-17   61.4   2.6   641   711   971  1062   965  1064 0.84 | transcript=PVX_111080.1 | gene=PVX_111080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:729691-734076(-) | protein_length=1461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111080.1-p1      -           1461 2415at5820           -            990         0 1309.4  68.6   8   9   2.1e-51   5.8e-48  161.8   0.3   710   838  1124  1268  1119  1275 0.87 | transcript=PVX_111080.1 | gene=PVX_111080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:729691-734076(-) | protein_length=1461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111080.1-p1      -           1461 2415at5820           -            990         0 1309.4  68.6   9   9   8.7e-70   2.4e-66  222.6   5.0   839   989  1294  1454  1286  1455 0.92 | transcript=PVX_111080.1 | gene=PVX_111080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:729691-734076(-) | protein_length=1461 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082480.1-p1      -            663 2415at5820           -            990      0.27    7.3   3.1   1   1   0.00017      0.46    6.5   3.1    13    92   292   374   286   382 0.74 | transcript=PVX_082480.1 | gene=PVX_082480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:881623-883851(-) | protein_length=663 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
