#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091585.1-p1      -            366 10221at5820          -            271  1.2e-117  390.4   6.9   1   3     1e-37   4.3e-35  119.7   0.5     1   100     8   129     8   151 0.83 | transcript=PVX_091585.1 | gene=PVX_091585 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=Pv_Sal1_chr09:628205-629305(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091585.1-p1      -            366 10221at5820          -            271  1.2e-117  390.4   6.9   2   3   1.7e-20   7.4e-18   63.2   0.0    99   155   156   217   149   221 0.89 | transcript=PVX_091585.1 | gene=PVX_091585 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=Pv_Sal1_chr09:628205-629305(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091585.1-p1      -            366 10221at5820          -            271  1.2e-117  390.4   6.9   3   3     7e-63     3e-60  202.2   1.5   155   271   244   361   241   361 0.97 | transcript=PVX_091585.1 | gene=PVX_091585 | organism=Plasmodium_vivax_Sal-1 | gene_product=acyl-CoA-binding protein, putative | transcript_product=acyl-CoA-binding protein, putative | location=Pv_Sal1_chr09:628205-629305(-) | protein_length=366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085325.1-p1      -            708 10221at5820          -            271   6.4e-23   79.8   1.1   1   3   5.3e-14   2.2e-11   42.0   0.0   161   253   380   475   349   480 0.84 | transcript=PVX_085325.1 | gene=PVX_085325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1105001-1107127(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085325.1-p1      -            708 10221at5820          -            271   6.4e-23   79.8   1.1   2   3   2.1e-08   9.1e-06   23.6   0.0   196   249   487   540   475   560 0.87 | transcript=PVX_085325.1 | gene=PVX_085325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1105001-1107127(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085325.1-p1      -            708 10221at5820          -            271   6.4e-23   79.8   1.1   3   3   6.8e-05     0.029   12.1   0.0   196   256   620   677   548   683 0.78 | transcript=PVX_085325.1 | gene=PVX_085325 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1105001-1107127(-) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001960.1-p1      -           1849 10221at5820          -            271   2.4e-22   77.9   7.2   1   3   3.7e-16   1.6e-13   49.0   0.9   173   257  1013  1097  1001  1107 0.93 | transcript=PVX_001960.1 | gene=PVX_001960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:297275-302824(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001960.1-p1      -           1849 10221at5820          -            271   2.4e-22   77.9   7.2   2   3   3.6e-09   1.5e-06   26.1   0.2   197   249  1113  1165  1100  1180 0.89 | transcript=PVX_001960.1 | gene=PVX_001960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:297275-302824(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001960.1-p1      -           1849 10221at5820          -            271   2.4e-22   77.9   7.2   3   3     0.012       5.3    4.7   0.0   198   249  1181  1232  1169  1239 0.92 | transcript=PVX_001960.1 | gene=PVX_001960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:297275-302824(-) | protein_length=1849 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094745.1-p1      -            188 10221at5820          -            271   4.9e-18   63.8   3.4   1   2   4.7e-13     2e-10   38.8   0.1   198   262    42   106    35   108 0.95 | transcript=PVX_094745.1 | gene=PVX_094745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:498590-500320(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094745.1-p1      -            188 10221at5820          -            271   4.9e-18   63.8   3.4   2   2   9.7e-10   4.1e-07   28.0   1.0   194   252   104   162   100   175 0.89 | transcript=PVX_094745.1 | gene=PVX_094745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:498590-500320(+) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 10221at5820          -            271   7.1e-18   63.3   2.9   1   3       3.3   1.4e+03   -3.3   0.0   195   235   860   901   849   904 0.66 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 10221at5820          -            271   7.1e-18   63.3   2.9   2   3     5e-11   2.1e-08   32.2   0.2   197   248  1199  1250  1129  1252 0.74 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097965.1-p1      -           1569 10221at5820          -            271   7.1e-18   63.3   2.9   3   3   8.5e-14   3.6e-11   41.3   0.2   193   269  1228  1304  1224  1306 0.94 | transcript=PVX_097965.1 | gene=PVX_097965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1013578-1018287(-) | protein_length=1569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 10221at5820          -            271   1.1e-16   59.4   0.4   1   3   2.7e-05     0.011   13.4   0.1   150   253    12   117     6   118 0.83 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 10221at5820          -            271   1.1e-16   59.4   0.4   2   3   3.3e-10   1.4e-07   29.5   0.0   175   256    70   153    43   160 0.81 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 10221at5820          -            271   1.1e-16   59.4   0.4   3   3   1.8e-09   7.5e-07   27.1   0.0   197   257   160   219   150   231 0.87 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 10221at5820          -            271   1.3e-15   55.8  10.8   1   4    0.0089       3.8    5.1   0.0   214   259  1216  1261  1205  1266 0.88 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 10221at5820          -            271   1.3e-15   55.8  10.8   2   4     0.046        20    2.8   0.0   195   253  1451  1512  1448  1520 0.70 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 10221at5820          -            271   1.3e-15   55.8  10.8   3   4   1.4e-11   5.8e-09   34.1   2.2   180   261  1607  1689  1561  1696 0.83 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114460.1-p1      -           1847 10221at5820          -            271   1.3e-15   55.8  10.8   4   4   1.5e-05    0.0066   14.2   0.3   190   236  1719  1765  1701  1780 0.89 | transcript=PVX_114460.1 | gene=PVX_114460 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:947884-953427(-) | protein_length=1847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 10221at5820          -            271     1e-11   43.0  10.5   1   4   5.8e-08   2.5e-05   22.1   0.1   195   250    48   104    17   120 0.82 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 10221at5820          -            271     1e-11   43.0  10.5   2   4   1.4e-09     6e-07   27.4   0.0   189   252   151   214   136   225 0.93 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 10221at5820          -            271     1e-11   43.0  10.5   3   4       2.3   9.6e+02   -2.8   0.2    65   103   255   291   247   299 0.65 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 10221at5820          -            271     1e-11   43.0  10.5   4   4       5.3   2.3e+03   -4.0   0.3     5    29   518   542   516   545 0.87 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089105.1-p1      -            185 10221at5820          -            271   1.9e-10   38.9   5.8   1   2   5.6e-07   0.00024   18.9   1.2   187   266     5    83     1    88 0.88 | transcript=PVX_089105.1 | gene=PVX_089105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:309875-311318(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089105.1-p1      -            185 10221at5820          -            271   1.9e-10   38.9   5.8   2   2   5.1e-08   2.2e-05   22.3   0.2   187   233   105   151    88   175 0.82 | transcript=PVX_089105.1 | gene=PVX_089105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:309875-311318(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122515.1-p1      -            400 10221at5820          -            271   9.6e-10   36.6  20.5   1   5   0.00074      0.31    8.7   0.5   168   226     6    67     1    75 0.79 | transcript=PVX_122515.1 | gene=PVX_122515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:652051-653253(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122515.1-p1      -            400 10221at5820          -            271   9.6e-10   36.6  20.5   2   5   1.3e-10   5.6e-08   30.8   6.9   153   262    65   172    62   181 0.83 | transcript=PVX_122515.1 | gene=PVX_122515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:652051-653253(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122515.1-p1      -            400 10221at5820          -            271   9.6e-10   36.6  20.5   3   5   5.8e-05     0.025   12.3   0.2   200   245   143   188   139   200 0.79 | transcript=PVX_122515.1 | gene=PVX_122515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:652051-653253(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122515.1-p1      -            400 10221at5820          -            271   9.6e-10   36.6  20.5   4   5    0.0033       1.4    6.5   0.1   204   270   179   248   174   249 0.77 | transcript=PVX_122515.1 | gene=PVX_122515 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:652051-653253(-) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
