#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085880.1-p1      -           1860 571at5820            -           1466         0 2927.8 119.6   1   4  3.4e-211  6.2e-208  691.7  24.5     1   356     6   435     6   441 0.95 | transcript=PVX_085880.1 | gene=PVX_085880 | organism=Plasmodium_vivax_Sal-1 | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=Pv_Sal1_chr13:1591108-1596690(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085880.1-p1      -           1860 571at5820            -           1466         0 2927.8 119.6   2   4  7.3e-244  1.3e-240  800.0  11.6   355   748   522   933   506   952 0.93 | transcript=PVX_085880.1 | gene=PVX_085880 | organism=Plasmodium_vivax_Sal-1 | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=Pv_Sal1_chr13:1591108-1596690(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085880.1-p1      -           1860 571at5820            -           1466         0 2927.8 119.6   3   4   5.6e-43     1e-39  134.2   0.7   744   838  1029  1124  1013  1135 0.91 | transcript=PVX_085880.1 | gene=PVX_085880 | organism=Plasmodium_vivax_Sal-1 | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=Pv_Sal1_chr13:1591108-1596690(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085880.1-p1      -           1860 571at5820            -           1466         0 2927.8 119.6   4   4         0         0 1318.7  60.1   838  1466  1219  1860  1214  1860 0.98 | transcript=PVX_085880.1 | gene=PVX_085880 | organism=Plasmodium_vivax_Sal-1 | gene_product=plastid replication-repair enzyme, putative | transcript_product=plastid replication-repair enzyme, putative | location=Pv_Sal1_chr13:1591108-1596690(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114370.1-p1      -           1221 571at5820            -           1466   1.2e-12   44.5  28.6   1   4      0.28   5.2e+02   -4.0   0.1   986  1022   347   386   339   388 0.63 | transcript=PVX_114370.1 | gene=PVX_114370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase 1, putative | transcript_product=DNA polymerase 1, putative | location=Pv_Sal1_chr11:1011779-1015444(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114370.1-p1      -           1221 571at5820            -           1466   1.2e-12   44.5  28.6   2   4     0.015        28    0.3   4.0  1046  1138   528   620   510   631 0.78 | transcript=PVX_114370.1 | gene=PVX_114370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase 1, putative | transcript_product=DNA polymerase 1, putative | location=Pv_Sal1_chr11:1011779-1015444(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114370.1-p1      -           1221 571at5820            -           1466   1.2e-12   44.5  28.6   3   4   9.5e-13   1.8e-09   34.0   3.8  1165  1227   785   848   745   854 0.76 | transcript=PVX_114370.1 | gene=PVX_114370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase 1, putative | transcript_product=DNA polymerase 1, putative | location=Pv_Sal1_chr11:1011779-1015444(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114370.1-p1      -           1221 571at5820            -           1466   1.2e-12   44.5  28.6   4   4   9.5e-10   1.8e-06   24.1   1.3  1240  1401   911  1068   906  1141 0.83 | transcript=PVX_114370.1 | gene=PVX_114370 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA polymerase 1, putative | transcript_product=DNA polymerase 1, putative | location=Pv_Sal1_chr11:1011779-1015444(+) | protein_length=1221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081475.1-p1      -            481 571at5820            -           1466   2.6e-07   26.9   1.9   1   1     2e-10   3.6e-07   26.4   1.9   950  1079   153   280   136   303 0.83 | transcript=PVX_081475.1 | gene=PVX_081475 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA binding protein, putative | transcript_product=DNA binding protein, putative | location=Pv_Sal1_chr02:367363-368808(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/571at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/571at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/571at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:04 2026
# [ok]
