#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113775.1-p1      -            362 10105at5820          -            265  2.6e-102  339.8  15.8   1   1  3.1e-101   1.9e-98  327.1  15.8     6   249    24   320    21   325 0.84 | transcript=PVX_113775.1 | gene=PVX_113775 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr11:1516825-1517913(+) | protein_length=362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1   1  13   1.8e-06    0.0011   16.4   2.3    79   252   374   545   271   557 0.76 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1   2  13      0.15        91    0.3   0.9     8    48   584   628   581   654 0.75 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1   3  13   7.7e-09   4.7e-06   24.2   0.2   107   177   773   837   755   843 0.89 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1   4  13   7.7e-07   0.00048   17.6   0.5    43   113   849   922   846  1004 0.74 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1   5  13   2.8e-11   1.7e-08   32.1   1.3   118   237  1097  1212  1030  1230 0.75 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1   6  13       2.6   1.6e+03   -3.8   0.0    25    49  1395  1419  1372  1427 0.70 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1   7  13   4.8e-23   2.9e-20   70.7   5.3    49   243  1468  1676  1462  1690 0.80 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1   8  13   3.5e-10   2.1e-07   28.6   0.5     9   188  1702  1898  1697  1911 0.67 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1   9  13     0.023        14    2.9   0.1   216   246  1986  2020  1960  2026 0.70 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 10105at5820          -            265   5.6e-74  246.8  83.1  10  13    0.0034       2.1    5.6   0.0     6    42  2089  2129  2084  2141 0.79 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
