#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2   1  17   9.5e-15   2.6e-11   39.9   0.7    16    65   140   189   137   192 0.91 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2   2  17   1.6e-24   4.4e-21   72.3   6.1    62   118   234   291   225   297 0.88 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2   3  17   3.6e-32     1e-28   97.7   0.2   138   261   672   836   657   844 0.75 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2   4  17   1.2e-20   3.2e-17   59.5   0.0   275   338   961  1024   924  1032 0.82 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2   5  17   2.3e-54   6.3e-51  171.2   0.2   334   436  1084  1186  1059  1198 0.92 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2   6  17   1.9e-69   5.1e-66  221.2   0.1   468   593  1379  1504  1317  1511 0.81 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2   7  17   9.4e-15   2.6e-11   39.9   0.0   594   637  1532  1577  1527  1580 0.91 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2   8  17  5.3e-142  1.5e-138  461.7  17.7   636   872  1667  1904  1656  1917 0.95 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2   9  17   1.8e-13   4.9e-10   35.7   5.0   868   932  2112  2176  2102  2199 0.71 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2  10  17   1.8e-16   4.9e-13   45.6   1.3   928   983  2231  2287  2190  2317 0.80 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 445at5820            -           1541         0 1917.9 135.2  11  17   2.3e-44   6.4e-41  138.1   0.2   988  1095  2362  2469  2338  2472 0.92 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
