#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098080.1-p1      -            432 7687at5820           -            308  1.1e-149  496.0  38.5   1   4   1.1e-61   1.9e-58  196.3   1.9     1   114     1   114     1   138 0.94 | transcript=PVX_098080.1 | gene=PVX_098080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:908928-910226(-) | protein_length=432 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098080.1-p1      -            432 7687at5820           -            308  1.1e-149  496.0  38.5   2   4   1.5e-13   2.8e-10   38.1   2.1   103   157   147   211   134   222 0.83 | transcript=PVX_098080.1 | gene=PVX_098080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:908928-910226(-) | protein_length=432 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098080.1-p1      -            432 7687at5820           -            308  1.1e-149  496.0  38.5   3   4     1e-13   1.9e-10   38.7   0.5   155   191   247   289   233   292 0.83 | transcript=PVX_098080.1 | gene=PVX_098080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:908928-910226(-) | protein_length=432 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098080.1-p1      -            432 7687at5820           -            308  1.1e-149  496.0  38.5   4   4   1.1e-74     2e-71  239.0  13.4   167   308   291   432   289   432 0.98 | transcript=PVX_098080.1 | gene=PVX_098080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:908928-910226(-) | protein_length=432 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000615.1-p1      -            517 7687at5820           -            308   1.3e-09   36.0  16.3   1   4   4.2e-08   7.7e-05   20.3   1.1    17    74    27    89    14    98 0.78 | transcript=PVX_000615.1 | gene=PVX_000615 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:432262-433815(+) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000615.1-p1      -            517 7687at5820           -            308   1.3e-09   36.0  16.3   2   4      0.38   7.1e+02   -2.6   0.2    58    72   222   234   208   272 0.64 | transcript=PVX_000615.1 | gene=PVX_000615 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:432262-433815(+) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000615.1-p1      -            517 7687at5820           -            308   1.3e-09   36.0  16.3   3   4    0.0053       9.8    3.5   0.0   199   222   366   389   346   414 0.73 | transcript=PVX_000615.1 | gene=PVX_000615 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:432262-433815(+) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000615.1-p1      -            517 7687at5820           -            308   1.3e-09   36.0  16.3   4   4   1.7e-08   3.1e-05   21.6   1.2   237   295   436   491   433   496 0.85 | transcript=PVX_000615.1 | gene=PVX_000615 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:432262-433815(+) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092870.1-p1      -             90 7687at5820           -            308   0.00059   17.4   0.8   1   1   3.9e-07   0.00073   17.1   0.8   214   262    25    73    17    89 0.86 | transcript=PVX_092870.1 | gene=PVX_092870 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine-rich PDZ-binding protein, putative | transcript_product=cysteine-rich PDZ-binding protein, putative | location=Pv_Sal1_chr09:1783995-1784866(-) | protein_length=90 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7687at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7687at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7687at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:30 2026
# [ok]
