#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_086140.1-p1      -           1020 8193at5820           -            626  7.8e-276  915.0 175.4   1   6   1.3e-63   1.4e-60  203.9  15.2     1   132     9   143     9   153 0.94 | transcript=PVX_086140.1 | gene=PVX_086140 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1867210-1870445(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086140.1-p1      -           1020 8193at5820           -            626  7.8e-276  915.0 175.4   2   6   6.1e-05     0.067   10.1   1.1   131   152   204   225   203   229 0.93 | transcript=PVX_086140.1 | gene=PVX_086140 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1867210-1870445(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086140.1-p1      -           1020 8193at5820           -            626  7.8e-276  915.0 175.4   3   6   3.5e-54   3.9e-51  172.7  19.4   129   272   237   394   226   398 0.86 | transcript=PVX_086140.1 | gene=PVX_086140 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1867210-1870445(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086140.1-p1      -           1020 8193at5820           -            626  7.8e-276  915.0 175.4   4   6  1.4e-110  1.5e-107  359.0  54.0   269   499   489   757   486   760 0.88 | transcript=PVX_086140.1 | gene=PVX_086140 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1867210-1870445(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086140.1-p1      -           1020 8193at5820           -            626  7.8e-276  915.0 175.4   5   6   3.5e-63   3.9e-60  202.5  36.3   484   623   767   914   758   917 0.90 | transcript=PVX_086140.1 | gene=PVX_086140 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1867210-1870445(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086140.1-p1      -           1020 8193at5820           -            626  7.8e-276  915.0 175.4   6   6         5   5.5e+03  -12.6  10.9   599   621   977  1002   937  1018 0.50 | transcript=PVX_086140.1 | gene=PVX_086140 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1867210-1870445(-) | protein_length=1020 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 8193at5820           -            626   5.4e-10   36.8   5.7   1   2       0.2   2.2e+02   -1.6   5.2     3   114    91   206    89   226 0.62 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099460.1-p1      -            475 8193at5820           -            626   5.4e-10   36.8   5.7   2   2   4.9e-13   5.4e-10   36.8   5.7   190   274   296   385   245   390 0.87 | transcript=PVX_099460.1 | gene=PVX_099460 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:790787-792409(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113475.1-p1      -            611 8193at5820           -            626   1.8e-09   35.1   2.0   1   3   0.00017      0.19    8.6   0.3   198   260    10    72     4    85 0.91 | transcript=PVX_113475.1 | gene=PVX_113475 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:1775380-1777794(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113475.1-p1      -            611 8193at5820           -            626   1.8e-09   35.1   2.0   2   3   1.6e-12   1.8e-09   35.1   2.0   196   269   165   238   131   265 0.89 | transcript=PVX_113475.1 | gene=PVX_113475 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:1775380-1777794(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113475.1-p1      -            611 8193at5820           -            626   1.8e-09   35.1   2.0   3   3         5   5.5e+03   -9.0   5.4   583   598   491   506   483   526 0.52 | transcript=PVX_113475.1 | gene=PVX_113475 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:1775380-1777794(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099605.1-p1      -            202 8193at5820           -            626   1.2e-06   25.7   0.1   1   1   1.4e-09   1.5e-06   25.4   0.1   186   272    60   148    38   151 0.90 | transcript=PVX_099605.1 | gene=PVX_099605 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:907263-908738(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 8193at5820           -            626    0.0022   15.0   1.3   1   3    0.0001      0.11    9.3   0.1   281   339    90   149    87   158 0.90 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 8193at5820           -            626    0.0022   15.0   1.3   2   3    0.0073         8    3.2   0.0   275   332   184   241   167   277 0.78 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 8193at5820           -            626    0.0022   15.0   1.3   3   3      0.17   1.9e+02   -1.3   0.1   225   264   402   441   398   467 0.68 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8193at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8193at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8193at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:22 2026
# [ok]
