#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085080.1-p1      -            378 7976at5820           -            295  2.6e-144  478.4  23.1   1   1  5.2e-147  3.2e-144  478.1  23.1     1   295    36   374    36   374 0.94 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 7976at5820           -            295   6.7e-66  221.0  73.9   1   8   1.3e-09   8.2e-07   27.0   2.7   216   270    97   154    82   155 0.82 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 7976at5820           -            295   6.7e-66  221.0  73.9   2   8   2.1e-18   1.3e-15   55.9   6.0   206   274   145   219   137   225 0.82 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 7976at5820           -            295   6.7e-66  221.0  73.9   3   8   1.3e-09     8e-07   27.1   0.2   218   273   222   279   217   285 0.84 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 7976at5820           -            295   6.7e-66  221.0  73.9   4   8   3.9e-13   2.4e-10   38.6   4.9   168   268   288   408   285   421 0.75 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 7976at5820           -            295   6.7e-66  221.0  73.9   5   8     0.087        53    1.4   0.4    62   240   660   681   648   709 0.53 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 7976at5820           -            295   6.7e-66  221.0  73.9   6   8   3.4e-13   2.1e-10   38.8   4.8    32   127   710   812   705   824 0.81 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 7976at5820           -            295   6.7e-66  221.0  73.9   7   8   2.4e-16   1.5e-13   49.1  11.6    37   128   948  1044   935  1061 0.83 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100685.1-p1      -           1153 7976at5820           -            295   6.7e-66  221.0  73.9   8   8   9.5e-07   0.00058   17.7   0.1    76   135  1064  1129  1052  1137 0.77 | transcript=PVX_100685.1 | gene=PVX_100685 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2297067-2300670(-) | protein_length=1153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 7976at5820           -            295   3.8e-50  169.3  58.0   1   4    0.0035       2.1    6.0   0.2    55    74   207   226   200   231 0.81 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 7976at5820           -            295   3.8e-50  169.3  58.0   2   4   4.5e-28   2.8e-25   87.7  18.8     1   134   213   357   213   358 0.87 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
