#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117255.1-p1      -            350 10858at5820          -            253  1.2e-122  406.7  60.6   1   3   7.3e-09     8e-06   23.9   5.9     1    38     1    41     1    51 0.70 | transcript=PVX_117255.1 | gene=PVX_117255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1711581-1713010(+) | protein_length=350 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117255.1-p1      -            350 10858at5820          -            253  1.2e-122  406.7  60.6   2   3  1.7e-107  1.9e-104  347.0  36.4    24   250    50   290    41   293 0.87 | transcript=PVX_117255.1 | gene=PVX_117255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1711581-1713010(+) | protein_length=350 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117255.1-p1      -            350 10858at5820          -            253  1.2e-122  406.7  60.6   3   3   3.5e-16   3.8e-13   47.8   3.7   211   252   308   349   298   350 0.87 | transcript=PVX_117255.1 | gene=PVX_117255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1711581-1713010(+) | protein_length=350 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 10858at5820          -            253   3.7e-08   31.5  12.5   1   2   1.8e-08     2e-05   22.6   5.3    33    96   491   558   480   564 0.82 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 10858at5820          -            253   3.7e-08   31.5  12.5   2   2     2e-05     0.022   12.6   0.6    40    90   567   621   560   629 0.81 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001830.1-p1      -           1471 10858at5820          -            253   8.7e-07   27.0   9.1   1   2   9.6e-09   1.1e-05   23.4   3.9    48    98     2    56     1    61 0.82 | transcript=PVX_001830.1 | gene=PVX_001830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:171699-176518(-) | protein_length=1471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001830.1-p1      -           1471 10858at5820          -            253   8.7e-07   27.0   9.1   2   2    0.0014       1.6    6.5   0.2    43    73    63    92    56   107 0.80 | transcript=PVX_001830.1 | gene=PVX_001830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:171699-176518(-) | protein_length=1471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094625.1-p1      -            502 10858at5820          -            253    0.0001   20.3   8.4   1   3   9.1e-08    0.0001   20.3   8.4    24    98     5    84     1    93 0.77 | transcript=PVX_094625.1 | gene=PVX_094625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:403557-405065(+) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094625.1-p1      -            502 10858at5820          -            253    0.0001   20.3   8.4   2   3   3.7e-05     0.041   11.7   1.5    45    72    97   124    83   134 0.81 | transcript=PVX_094625.1 | gene=PVX_094625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:403557-405065(+) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094625.1-p1      -            502 10858at5820          -            253    0.0001   20.3   8.4   3   3      0.55   6.1e+02   -2.0   1.8   212   244   315   350   308   353 0.62 | transcript=PVX_094625.1 | gene=PVX_094625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:403557-405065(+) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099800.1-p1      -           1239 10858at5820          -            253    0.0012   16.8   5.9   1   2   2.5e-06    0.0028   15.5   1.3    44    97     4    62     2    66 0.79 | transcript=PVX_099800.1 | gene=PVX_099800 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:1048682-1053069(+) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
