#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084615.1-p1      -            758 2821at5820           -            413  8.9e-276  912.5  17.9   1   3  2.7e-130  1.9e-127  423.9   4.5     1   192     1   196     1   211 0.97 | transcript=PVX_084615.1 | gene=PVX_084615 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=Pv_Sal1_chr13:484118-486858(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084615.1-p1      -            758 2821at5820           -            413  8.9e-276  912.5  17.9   2   3  7.8e-133  5.4e-130  432.3   0.1   190   380   229   421   219   429 0.97 | transcript=PVX_084615.1 | gene=PVX_084615 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=Pv_Sal1_chr13:484118-486858(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084615.1-p1      -            758 2821at5820           -            413  8.9e-276  912.5  17.9   3   3   4.1e-21   2.8e-18   64.4   1.5   374   413   458   497   447   497 0.94 | transcript=PVX_084615.1 | gene=PVX_084615 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=Pv_Sal1_chr13:484118-486858(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 2821at5820           -            413   2.9e-30  103.9   5.9   1   4       0.1        69    0.5   0.0   107   196   145   231    93   243 0.72 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 2821at5820           -            413   2.9e-30  103.9   5.9   2   4   2.5e-20   1.7e-17   61.8   0.0   220   379   287   446   278   457 0.86 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 2821at5820           -            413   2.9e-30  103.9   5.9   3   4     4e-14   2.8e-11   41.3   1.1   374   413   485   524   473   524 0.95 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 2821at5820           -            413   2.9e-30  103.9   5.9   4   4      0.84   5.8e+02   -2.5   0.0    29    73   719   763   712   770 0.79 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087810.1-p1      -            832 2821at5820           -            413   1.4e-29  101.6   1.0   1   2   4.3e-21     3e-18   64.3   0.1   219   381   285   449   265   460 0.86 | transcript=PVX_087810.1 | gene=PVX_087810 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=Pv_Sal1_chr01:185096-187594(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087810.1-p1      -            832 2821at5820           -            413   1.4e-29  101.6   1.0   2   2   2.1e-12   1.4e-09   35.7   0.1   374   413   486   525   467   525 0.94 | transcript=PVX_087810.1 | gene=PVX_087810 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=Pv_Sal1_chr01:185096-187594(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085565.1-p1      -            972 2821at5820           -            413   3.5e-26   90.4   0.4   1   3   6.7e-14   4.6e-11   40.6   0.0   220   357   383   520   375   534 0.84 | transcript=PVX_085565.1 | gene=PVX_085565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=Pv_Sal1_chr13:1282041-1285136(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085565.1-p1      -            972 2821at5820           -            413   3.5e-26   90.4   0.4   2   3    0.0017       1.2    6.3   0.0   363   378   550   565   526   574 0.79 | transcript=PVX_085565.1 | gene=PVX_085565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=Pv_Sal1_chr13:1282041-1285136(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085565.1-p1      -            972 2821at5820           -            413   3.5e-26   90.4   0.4   3   3   1.4e-13   9.5e-11   39.6   0.1   376   413   607   644   588   644 0.93 | transcript=PVX_085565.1 | gene=PVX_085565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=Pv_Sal1_chr13:1282041-1285136(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114735.1-p1      -            944 2821at5820           -            413     1e-24   85.6   5.2   1   3   2.1e-07   0.00015   19.2   0.0   216   272   292   348   277   371 0.87 | transcript=PVX_114735.1 | gene=PVX_114735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=Pv_Sal1_chr11:679166-682000(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
